season,season_type,player_id,player_name,player_display_name,games,position,position_group,headshot_url,team,def_tackles,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_fumble_recovery_own,def_fumble_recovery_yards_own,def_fumble_recovery_opp,def_fumble_recovery_yards_opp,def_safety,def_penalty,def_penalty_yards
2020,REG,00-0027539,A.Levine,Anthony Levine,5,SS,DB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gew5y4jtrh2jd7guowwk",BAL,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,20
2020,REG,00-0027647,D.McCourty,Devin McCourty,16,FS,DB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ykgtrwxckxvxdvadgqjf",NE,45,39,6,23,2,3,0,0,0,0,2,62,6,1,0,0,0,0,0,0,1,5
2020,REG,00-0027656,R.Gronkowski,Rob Gronkowski,1,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/svpo7chliiymc0r7hegp",NO,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,REG,00-0027662,C.Dunlap,Carlos Dunlap,7,OLB,LB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wbg4avjy9bbdyeri6b6j",CIN,13,13,0,5,2,6,0,1,9,4,0,0,2,0,0,0,0,0,0,0,2,20
2020,REG,00-0027662,C.Dunlap,Carlos Dunlap,8,OLB,LB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wbg4avjy9bbdyeri6b6j",SEA,7,7,0,7,6,7,0,5,31.5,14,0,0,2,0,0,0,0,0,0,0,1,15
2020,REG,00-0027663,S.Lee,Sean Lee,8,OLB,LB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gjep6wyeoq45kwfocpg6",DAL,11,11,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020,REG,00-0027685,E.Sanders,Emmanuel Sanders,1,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/potkibjtm855tsawozs0",LV,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,REG,00-0027685,E.Sanders,Emmanuel Sanders,1,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/potkibjtm855tsawozs0",MIN,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,REG,00-0027686,C.Peters,Corey Peters,9,DT,DL,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zutvrtzwir9awk4zh7yn",ARI,10,10,0,5,3,1,0,2,19,4,0,0,1,0,0,0,0,0,0,0,1,5
2020,REG,00-0027688,C.McCoy,Colt McCoy,1,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mvcoi7f6thyudufnh0dx",SEA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,REG,00-0027696,J.Graham,Jimmy Graham,1,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/h7xs06oj6g03mippwtse",NO,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,REG,00-0027701,E.Griffen,Everson Griffen,7,DE,DL,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fqvc0dkghdix5fq9tfaq",DAL,10,10,0,10,3,2,0,2.5,8.5,6,0,0,1,0,0,0,0,0,0,0,2,10
2020,REG,00-0027701,E.Griffen,Everson Griffen,7,DE,DL,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fqvc0dkghdix5fq9tfaq",DET,8,6,2,5,4,1,0,3.5,17,8,0,0,3,0,0,0,0,0,0,0,3,16
2020,REG,00-0027720,G.Atkins,Geno Atkins,2,DT,DL,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/iqenztfw9q4ws6a3eamq",CIN,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5
2020,REG,00-0027743,S.McManis,Sherrick McManis,3,SS,DB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/m5gfxr0yinksqqfv07yt",CHI,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,10
2020,REG,00-0027793,A.Brown,Antonio Brown,1,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ecxsx9t7bfg42bgfwj3v",NO,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,REG,00-0027855,N.Suh,Ndamukong Suh,15,DE,DL,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/amvgudlseikg7eq0nn9d",TB,27,27,0,17,9,5,1,6,45,19,0,0,2,0,0,0,0,0,0,0,6,30
2020,REG,00-0027857,T.Williams,Trent Williams,1,T,OL,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pngn7zttto574ellwslr",NYJ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,REG,00-0027860,J.Haden,Joe Haden,14,CB,DB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/caumqxwppfoakjvpqxej",PIT,44,42,2,8,2,1,0,0,0,0,2,38,12,1,0,0,0,0,0,0,4,47
2020,REG,00-0027862,T.Alualu,Tyson Alualu,14,NT,DL,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wz7lyukjawvr7xfdszmb",PIT,17,14,3,21,4,6,1,2,18,5,0,0,5,0,0,0,0,0,0,0,2,10
2020,REG,00-0027865,B.Graham,Brandon Graham,16,DE,DL,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/e6iqegrredwqev7qx81m",PHI,35,32,3,11,13,22,2,8,49,16,0,0,0,0,0,0,0,1,0,0,4,29
2020,REG,00-0027867,J.Pierre-Paul,Jason Pierre-Paul,14,DE,DL,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pwl0fkpfwut1rizcarub",TB,34,32,2,21,7,7,4,9.5,62,14,2,15,6,0,0,0,0,2,6,0,3,25
2020,REG,00-0027872,K.Jackson,Kareem Jackson,16,SS,DB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vzmcqsvgotnfsmmzgtwa",DEN,67,67,0,22,1,0,0,0,0,0,1,13,4,0,0,0,0,2,2,0,1,15
2020,REG,00-0027881,J.Hughes,Jerry Hughes,14,DE,DL,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/holacsltnj1mvxkeqgp0",BUF,19,16,3,10,4,4,2,4.5,20,11,1,-3,3,1,0,0,0,2,21,0,2,20
2020,REG,00-0027882,P.Robinson,Patrick Robinson,7,CB,DB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/movisxigazsjsehb1qhl",NO,11,11,0,3,1,5,0,0,0,0,2,0,4,0,0,0,0,0,0,0,2,33
2020,REG,00-0027885,L.Joseph,Linval Joseph,15,NT,DL,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xm9kvvx4uujqqjkqxngq",LAC,33,30,3,29,3,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3
2020,REG,00-0027891,G.Tate,Golden Tate,1,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/yfqebrp2o9t1gt1wqjku",PHI,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,REG,00-0027891,G.Tate,Golden Tate,1,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/yfqebrp2o9t1gt1wqjku",TB,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,REG,00-0027914,A.Sendejo,Andrew Sendejo,14,FS,DB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/siupf4yvtt6m2vo8eed9",CLE,50,45,5,16,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,30
2020,REG,00-0027943,P.Peterson,Patrick Peterson,16,CB,DB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hefuj7lvfmgvr4tme7te",ARI,52,51,1,9,0,0,0,0,0,0,3,7,8,0,0,0,0,0,0,0,10,114
2020,REG,00-0027945,A.Smith,Aldon Smith,15,DE,DL,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gytzk7llt9p0qw22iayb",DAL,31,30,1,17,5,2,0,5,16,14,0,0,2,1,0,0,0,2,78,0,3,14
2020,REG,00-0027949,J.Watt,J.J. Watt,16,DE,DL,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pooulgm7mdcx5x9gza7l",HOU,36,32,4,16,14,23,2,5,41,17,1,19,7,1,0,0,0,1,0,0,2,9
2020,REG,00-0027952,R.Quinn,Robert Quinn,13,OLB,LB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/g8hslz6tb43l7xbmxzfh",CHI,14,14,0,6,0,0,3,2,12,6,0,0,0,0,0,0,0,1,0,0,2,20
2020,REG,00-0027954,R.Kerrigan,Ryan Kerrigan,10,DE,DL,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zi9qhkog8osjo2pk5bg4",WAS,9,9,0,8,5,0,0,5.5,43,6,0,0,1,0,0,0,0,1,6,0,2,10
2020,REG,00-0027956,C.Liuget,Corey Liuget,4,DT,DL,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dhettmtaamsu9qlepzzf",HOU,2,2,0,2,2,2,0,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0
2020,REG,00-0027958,A.Clayborn,Adrian Clayborn,8,DE,DL,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qoymtyk5nvoiw4f1qn13",CLE,6,6,0,6,3,2,1,3.5,33,7,0,0,1,0,0,0,0,0,0,0,0,0
2020,REG,00-0027962,C.Jordan,Cameron Jordan,16,DE,DL,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/wxcyaqstm1qguagtp1ye",NO,34,32,2,17,11,18,1,7.5,42,16,0,0,3,0,0,0,0,0,0,0,6,47
2020,REG,00-0027963,J.Carpenter,James Carpenter,1,G,OL,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zdpq6ozj3pcjwhe0g4ia",DET,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,REG,00-0027965,J.Smith,Jimmy Smith,11,CB,DB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/uycb0wytmroih8dz8rag",BAL,23,21,2,4,2,0,0,1,1,1,0,0,1,0,0,1,4,0,4,0,2,16
2020,REG,00-0027969,C.Heyward,Cameron Heyward,15,DT,DL,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jroymb3jdu14pusq9wu8",PIT,30,25,5,24,7,6,0,4,28.5,19,1,0,3,0,0,0,0,0,0,0,2,30
2020,REG,00-0027975,J.Sheard,Jabaal Sheard,1,DE,DL,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lgti1akk6lj57zbfuobf",JAX,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,13
2020,REG,00-0027975,J.Sheard,Jabaal Sheard,7,DE,DL,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lgti1akk6lj57zbfuobf",NYG,10,9,1,9,2,5,1,1.5,15.5,4,0,0,0,0,0,0,0,0,0,0,0,0
2020,REG,00-0027980,B.Reed,Brooks Reed,2,OLB,LB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hcnuqe5ulqoldxue1xjt",TEN,2,2,0,1,1,0,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0
2020,REG,00-0027981,K.Rudolph,Kyle Rudolph,1,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mtvrkfel5750mlevcvtp",TEN,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,REG,00-0027988,M.Gilchrist,Marcus Gilchrist,1,FS,DB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/n7mvjgjfbohmmyrm7zis",BAL,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,REG,00-0027993,R.Hudson,Rodney Hudson,1,C,OL,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qcyahgqlx44j8n9bzkwg",DEN,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,REG,00-0028002,R.Cobb,Randall Cobb,1,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kuwo5hnkbtesfw6n9w1s",BAL,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,REG,00-0028008,J.Houston,Justin Houston,14,OLB,LB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uvob2wz6eezshbjclcya",IND,19,16,3,6,8,5,1,8,64.5,12,0,0,0,0,0,0,0,2,0,2,1,5
2020,REG,00-0028015,J.Casey,Jurrell Casey,3,DT,DL,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xgjvec15hvgvk0hy483n",DEN,7,7,0,7,1,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
2020,REG,00-0028024,A.Bailey,Allen Bailey,10,DE,DL,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/azkptzmv2pnh5lezg38j",ATL,8,7,1,7,2,1,0,1.5,14.5,5,0,0,0,0,0,0,0,0,0,0,0,0
2020,REG,00-0028037,K.Wright,K.J. Wright,16,OLB,LB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/z1lt2ic9salihpdevh7p",SEA,60,56,4,26,11,11,1,2,8,3,1,7,10,0,0,0,0,2,0,0,2,15
2020,REG,00-0028042,L.Stocker,Luke Stocker,1,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/keoilbfzupthtliuou1a",KC,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,REG,00-0028063,T.Jones,Taiwan Jones,4,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/va09vgfr7bdc2wb6ikq4",BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,37
2020,REG,00-0028075,B.Skrine,Buster Skrine,12,CB,DB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/veok5ok0xu5vjfg5uni4",CHI,52,50,2,14,1,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,5,36
2020,REG,00-0028087,D.Lewis,Dion Lewis,1,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/erzmtaaz3eimbg998hyq",SF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,REG,00-0028092,R.Sherman,Richard Sherman,5,CB,DB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bdfb1uulaykfcryanimb",SF,16,15,1,2,1,1,0,0,0,0,1,18,1,0,0,0,0,0,0,0,1,4
2020,REG,00-0028103,P.McPhee,Pernell McPhee,14,OLB,LB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ybkcgchf6dxet313tmji",BAL,26,24,2,8,3,0,0,3,22,15,0,0,1,0,0,0,0,0,0,0,2,30
