captured_at,state,event_id,event_name,kickoff,away,home,away_spread,away_spread_odds,home_spread,home_spread_odds,total,over_odds,under_odds,away_ml,home_ml
2026-09-26T18:15:26Z,IL,36094759,Central Michigan @ Miami Florida,2026-09-26T22:30:00.000Z,Central Michigan,Miami Florida,41.5,-106,-41.5,-114,53.5,-112,-108,,
2026-09-26T18:15:26Z,IL,36073889,Louisiana @ Charlotte,2026-09-26T22:30:00.000Z,Louisiana,Charlotte,-10.5,100,10.5,-122,49.5,-104,-118,-400,310
2026-09-26T18:15:26Z,IL,36073965,Kennesaw State @ Arkansas State,2026-09-26T23:00:00.000Z,Kennesaw State,Arkansas State,6.5,-110,-6.5,-110,52.5,-115,-105,195,-240
2026-09-26T18:15:26Z,IL,36073816,Kansas State @ Cincinnati,2026-09-26T23:00:00.000Z,Kansas State,Cincinnati,-5.5,-120,5.5,-102,55.5,-105,-115,-235,190
2026-09-26T18:15:26Z,IL,36073967,Middle Tennessee @ Jacksonville State,2026-09-26T23:00:00.000Z,Middle Tennessee,Jacksonville State,7.5,-118,-7.5,-104,51.5,-110,-110,235,-295
2026-09-26T18:15:26Z,IL,36073895,Southern Miss @ Tulane,2026-09-26T23:00:00.000Z,Southern Miss,Tulane,18.5,-112,-18.5,-108,52.5,-110,-110,680,-1100
2026-09-26T18:15:26Z,IL,36094770,Oklahoma State @ West Virginia,2026-09-26T23:00:00.000Z,Oklahoma State,West Virginia,1.5,-105,-1.5,-115,61.5,-105,-115,105,-126
2026-09-26T18:15:26Z,IL,36073966,Mercyhurst @ Western Kentucky,2026-09-26T23:00:00.000Z,Mercyhurst,Western Kentucky,40.5,-110,-40.5,-110,58.5,-118,-104,3500,-20000
2026-09-26T18:15:26Z,IL,36073964,South Carolina @ Alabama,2026-09-26T23:00:00.000Z,South Carolina,Alabama,12.5,-110,-12.5,-110,54.5,-106,-114,390,-530
2026-09-26T18:15:26Z,IL,36094893,West Florida @ Southeast Missouri State,2026-09-26T23:01:00.000Z,West Florida,Southeast Missouri State,4.5,-110,-4.5,-110,51.5,-106,-114,158,-196
2026-09-26T18:15:26Z,IL,36094856,Cal Poly @ Eastern Washington,2026-09-26T23:01:00.000Z,Cal Poly,Eastern Washington,2.5,104,-2.5,-128,61.5,-112,-108,124,-152
2026-09-26T18:15:26Z,IL,36094884,Prairie View @ Grambling,2026-09-26T23:01:00.000Z,Prairie View,Grambling,-10.5,-115,10.5,-105,55.5,-104,-118,-470,340
