captured_at,away,home,kickoff,away_spread,away_spread_odds,away_ml,total,over_odds,home_spread,home_spread_odds,home_ml,under_odds,source
2026-09-04T18:01Z,Florida Atlantic,Florida,SAT 7:45PM ET,26.5,-108,1600,59.5,-106,-26.5,-112,-4500,-114,"FanDuel Virginia (proxy for comparison display, not Garrett TN book)"
2026-09-04T18:01Z,Lamar,Louisiana,SAT 8:00PM ET,19.5,-108,890,49.5,-108,-19.5,-112,-1700,-112,"FanDuel Virginia (proxy for comparison display, not Garrett TN book)"
2026-09-04T18:01Z,Utah Tech,BYU,SAT 8:00PM ET,51.5,-110,,61.5,-105,-51.5,-110,,-115,"FanDuel Virginia (proxy for comparison display, not Garrett TN book)"
2026-09-04T18:01Z,South Dakota State,Northwestern,SAT 8:00PM ET,13.5,-112,400,46.5,-114,-13.5,-108,-550,-106,"FanDuel Virginia (proxy for comparison display, not Garrett TN book)"
2026-09-04T18:01Z,Mercyhurst,New Mexico State,SAT 9:00PM ET,28.5,-108,2400,51.5,-110,-28.5,-112,-10000,-110,"FanDuel Virginia (proxy for comparison display, not Garrett TN book)"
2026-09-04T18:01Z,Portland State,San Diego State,SAT 9:30PM ET,39.5,-110,,62.5,-105,-39.5,-110,,-115,"FanDuel Virginia (proxy for comparison display, not Garrett TN book)"
2026-09-04T18:01Z,Northern Arizona,Arizona,SAT 9:30PM ET,31.5,-108,3000,58.5,-105,-31.5,-112,-30000,-115,"FanDuel Virginia (proxy for comparison display, not Garrett TN book)"
2026-09-04T18:01Z,Morgan State,Arizona State,SAT 10:00PM ET,43.5,-105,,53.5,-106,-43.5,-115,,-114,"FanDuel Virginia (proxy for comparison display, not Garrett TN book)"
2026-09-04T18:01Z,Mississippi Valley State,Sacramento State,SAT 10:00PM ET,38.5,-110,7000,56.5,-115,-38.5,-110,,-105,"FanDuel Virginia (proxy for comparison display, not Garrett TN book)"
2026-09-04T18:01Z,Central Michigan,New Mexico,SAT 10:00PM ET,10.5,-105,350,46.5,-110,-10.5,-115,-465,-110,"FanDuel Virginia (proxy for comparison display, not Garrett TN book)"
2026-09-04T18:01Z,UNLV,Hawaii,SAT 10:00PM ET,-3.5,100,-150,56.5,-106,3.5,-122,125,-114,"FanDuel Virginia (proxy for comparison display, not Garrett TN book)"
2026-09-04T18:01Z,Western Kentucky,Nevada,SAT 10:30PM ET,-1.5,-108,-118,52.5,-110,1.5,-112,-102,-110,"FanDuel Virginia (proxy for comparison display, not Garrett TN book)"
2026-09-04T18:01Z,UCLA,California,SAT 10:30PM ET,-2.5,-106,-124,53.5,-110,2.5,-114,106,-110,"FanDuel Virginia (proxy for comparison display, not Garrett TN book)"
