captured_at,state,event_id,event_name,kickoff,away,home,away_spread,away_spread_odds,home_spread,home_spread_odds,total,over_odds,under_odds,away_ml,home_ml
2026-09-08T12:21:36Z,TN,35993582,Maryland @ Connecticut,2026-09-12T19:30:00.000Z,Maryland,Connecticut,-12.5,-110,12.5,-110,52.5,-110,-110,-520,385
2026-09-08T12:21:36Z,TN,35993624,UL Monroe @ UAB,2026-09-12T19:30:00.000Z,UL Monroe,UAB,10.5,-112,-10.5,-108,55.5,-110,-110,290,-375
2026-09-08T12:21:36Z,TN,35993625,Robert Morris @ Akron,2026-09-12T19:30:00.000Z,Robert Morris,Akron,28.5,-110,-28.5,-110,43.5,-110,-110,2000,-7000
2026-09-08T12:21:36Z,TN,35993664,Sacred Heart @ Massachusetts,2026-09-12T19:30:00.000Z,Sacred Heart,Massachusetts,21.5,-105,-21.5,-115,54.5,-110,-110,1000,-2100
2026-09-08T12:21:36Z,TN,35993665,Central Connecticut @ Toledo,2026-09-12T19:30:00.000Z,Central Connecticut,Toledo,35.5,-110,-35.5,-110,56.5,-110,-110,,
2026-09-08T12:21:36Z,TN,35993666,Wagner @ James Madison,2026-09-12T19:30:00.000Z,Wagner,James Madison,45.5,-110,-45.5,-110,55.5,-105,-115,,
2026-09-08T12:21:36Z,TN,36042345,Rice @ Notre Dame,2026-09-12T19:30:00.000Z,Rice,Notre Dame,43.5,-110,-43.5,-110,55.5,-105,-115,,
2026-09-08T12:21:36Z,TN,35993667,UNLV @ North Texas,2026-09-12T19:45:00.000Z,UNLV,North Texas,-3.5,-115,3.5,-105,57.5,-110,-110,-192,158
2026-09-08T12:21:36Z,TN,35993117,Mercyhurst @ New Mexico,2026-09-12T20:00:00.000Z,Mercyhurst,New Mexico,41.5,-110,-41.5,-110,52.5,-105,-115,,
2026-09-08T12:21:36Z,TN,35993675,Northern Colorado @ Wyoming,2026-09-12T20:00:00.000Z,Northern Colorado,Wyoming,23.5,-110,-23.5,-110,48.5,-114,-106,1400,-4000
2026-09-08T12:21:36Z,TN,35993676,Alabama State @ Troy,2026-09-12T20:00:00.000Z,Alabama State,Troy,22.5,-110,-22.5,-110,52.5,-110,-110,920,-1800
2026-09-08T12:21:36Z,TN,35993678,Delaware @ Vanderbilt,2026-09-12T20:15:00.000Z,Delaware,Vanderbilt,20.5,-110,-20.5,-110,54.5,-114,-106,860,-1600
2026-09-08T12:21:36Z,TN,35993682,Campbell @ Florida,2026-09-12T21:30:00.000Z,Campbell,Florida,49.5,-110,-49.5,-110,67.5,-110,-110,,
2026-09-08T12:21:36Z,TN,35993684,Memphis @ Boise State,2026-09-12T22:00:00.000Z,Memphis,Boise State,7.5,-104,-7.5,-118,53.5,-114,-106,255,-320
2026-09-08T12:21:36Z,TN,35993685,Buffalo @ FIU,2026-09-12T22:00:00.000Z,Buffalo,FIU,10.5,-110,-10.5,-110,47.5,-115,-105,340,-450
2026-09-08T12:21:36Z,TN,35993689,Gardner Webb @ Liberty,2026-09-12T22:00:00.000Z,Gardner Webb,Liberty,27.5,-110,-27.5,-110,54.5,-110,-110,1600,-4500
2026-09-08T12:21:36Z,TN,35993695,Jacksonville State @ Ohio,2026-09-12T22:00:00.000Z,Jacksonville State,Ohio,2.5,-106,-2.5,-114,51.5,-108,-112,118,-142
2026-09-08T12:21:36Z,TN,35993697,Monmouth @ Western Michigan,2026-09-12T22:30:00.000Z,Monmouth,Western Michigan,24.5,-105,-24.5,-115,53.5,-110,-110,1280,-3500
2026-09-08T12:21:36Z,TN,35993696,Tennessee @ Georgia Tech,2026-09-12T23:00:00.000Z,Tennessee,Georgia Tech,-12.5,-110,12.5,-110,55.5,-112,-108,-550,400
2026-09-08T12:21:36Z,TN,35993699,Southern @ Houston,2026-09-12T23:00:00.000Z,Southern,Houston,50.5,-110,-50.5,-110,60.5,-110,-110,,
2026-09-08T12:21:36Z,TN,35993700,Towson @ South Carolina,2026-09-12T23:00:00.000Z,Towson,South Carolina,42.5,-110,-42.5,-110,55.5,-102,-120,,
2026-09-08T12:21:36Z,TN,35993701,Western Carolina @ Cincinnati,2026-09-12T23:00:00.000Z,Western Carolina,Cincinnati,36.5,-110,-36.5,-110,60.5,-110,-110,,
2026-09-08T12:21:36Z,TN,35993707,South Alabama @ Tulane,2026-09-12T23:00:00.000Z,South Alabama,Tulane,9.5,-105,-9.5,-115,49.5,-106,-114,300,-385
2026-09-08T12:21:36Z,TN,35993708,Southern Utah @ Colorado State,2026-09-12T23:00:00.000Z,Southern Utah,Colorado State,20.5,-110,-20.5,-110,57.5,-110,-110,920,-1800
2026-09-08T12:21:36Z,TN,35993709,Tulsa @ Sam Houston State,2026-09-12T23:00:00.000Z,Tulsa,Sam Houston State,-13.5,-114,13.5,-106,51.5,-108,-112,-630,460
2026-09-08T12:21:36Z,TN,35993710,Bowling Green @ Nebraska,2026-09-12T23:00:00.000Z,Bowling Green,Nebraska,28.5,-105,-28.5,-115,51.5,-115,-105,2500,-10000
2026-09-08T12:21:36Z,TN,36042873,Lindenwood @ Missouri State,2026-09-12T23:00:00.000Z,Lindenwood,Missouri State,21.5,-114,-21.5,-106,53.5,-110,-110,1100,-2500
2026-09-08T12:21:36Z,TN,36042896,Illinois State @ Northern Illinois,2026-09-12T23:00:00.000Z,Illinois State,Northern Illinois,-3.5,-110,3.5,-110,47.5,-105,-115,-166,138
2026-09-08T12:21:36Z,TN,36045338,Georgia State @ Kennesaw State,2026-09-12T23:00:00.000Z,Georgia State,Kennesaw State,8.5,-105,-8.5,-115,54.5,-110,-110,285,-365
2026-09-08T12:21:36Z,TN,36045339,Middle Tennessee @ Marshall,2026-09-12T23:00:00.000Z,Middle Tennessee,Marshall,14.5,-120,-14.5,-102,58.5,-110,-110,460,-650
2026-09-08T12:21:36Z,TN,36029139,San Diego State @ UCLA,2026-09-12T23:15:00.000Z,San Diego State,UCLA,12.5,-110,-12.5,-110,53.5,-110,-110,390,-530
2026-09-08T12:21:36Z,TN,36042879,Western Illinois @ Wisconsin,2026-09-12T23:15:00.000Z,Western Illinois,Wisconsin,36.5,-106,-36.5,-114,49.5,-110,-110,,
2026-09-08T12:21:36Z,TN,35170581,Ohio State @ Texas,2026-09-12T23:30:00.000Z,Ohio State,Texas,1.5,-114,-1.5,-106,48.5,-108,-112,-102,-118
2026-09-08T12:21:36Z,TN,35632809,Iowa State @ Iowa,2026-09-12T23:30:00.000Z,Iowa State,Iowa,14.5,-118,-14.5,-104,40.5,-122,100,480,-690
2026-09-08T12:21:36Z,TN,36029136,Texas Tech @ Oregon State,2026-09-12T23:30:00.000Z,Texas Tech,Oregon State,-26.5,-110,26.5,-110,52.5,-105,-115,-4500,1600
2026-09-08T12:21:36Z,TN,36042365,Louisiana Tech @ LSU,2026-09-12T23:30:00.000Z,Louisiana Tech,LSU,34.5,-102,-34.5,-120,56.5,-110,-110,,
2026-09-08T12:21:36Z,TN,36042366,Navy @ Florida Atlantic,2026-09-12T23:30:00.000Z,Navy,Florida Atlantic,-4.5,-110,4.5,-110,59.5,-110,-110,-192,158
2026-09-08T12:21:36Z,TN,36042367,Georgia Southern @ Clemson,2026-09-12T23:30:00.000Z,Georgia Southern,Clemson,20.5,-105,-20.5,-115,55.5,-110,-110,920,-1800
2026-09-08T12:21:36Z,TN,36042368,Fordham @ Coastal Carolina,2026-09-12T23:30:00.000Z,Fordham,Coastal Carolina,31.5,-110,-31.5,-110,53.5,-110,-110,2400,-10000
2026-09-08T12:21:36Z,TN,36042369,Southern Miss @ Auburn,2026-09-12T23:45:00.000Z,Southern Miss,Auburn,31.5,-110,-31.5,-110,54.5,-106,-114,2400,-10000
2026-09-08T12:21:36Z,TN,36042389,Charlotte @ Ole Miss,2026-09-12T23:45:00.000Z,Charlotte,Ole Miss,47.5,-110,-47.5,-110,61.5,-110,-110,,
2026-09-08T12:21:36Z,TN,36042371,Prairie View @ Baylor,2026-09-13T00:00:00.000Z,Prairie View,Baylor,38.5,-110,-38.5,-110,55.5,-106,-114,,
2026-09-08T12:21:36Z,TN,36042372,Grambling @ TCU,2026-09-13T00:00:00.000Z,Grambling,TCU,44.5,-110,-44.5,-110,54.5,-110,-110,,
2026-09-08T12:21:36Z,TN,35993116,Cal Poly @ San Jose State,2026-09-13T01:00:00.000Z,Cal Poly,San Jose State,20.5,-102,-20.5,-120,57.5,-110,-110,1060,-2300
2026-09-08T12:21:36Z,TN,36042377,Texas Southern @ UTEP,2026-09-13T01:00:00.000Z,Texas Southern,UTEP,27.5,-110,-27.5,-110,53.5,-110,-110,2000,-7000
2026-09-08T12:21:36Z,TN,36045302,North Dakota State @ Air Force,2026-09-13T02:00:00.000Z,North Dakota State,Air Force,-2.5,-122,2.5,100,47.5,-110,-110,-144,120
2026-09-08T12:21:36Z,TN,35360156,Arkansas @ Utah,2026-09-13T02:15:00.000Z,Arkansas,Utah,12.5,-110,-12.5,-110,56.5,-110,-110,365,-490
2026-09-08T12:21:36Z,TN,36042382,Sacramento State @ Fresno State,2026-09-13T02:30:00.000Z,Sacramento State,Fresno State,18.5,-110,-18.5,-110,45.5,-105,-115,760,-1300
2026-09-08T12:21:36Z,TN,36042383,Montana State @ Nevada,2026-09-13T02:30:00.000Z,Montana State,Nevada,-4.5,-110,4.5,-110,50.5,-110,-110,-194,158
2026-09-08T12:21:36Z,TN,36042388,Louisiana @ USC,2026-09-13T03:00:00.000Z,Louisiana,USC,30.5,-110,-30.5,-110,60.5,-110,-110,2400,-10000
2026-09-08T12:21:36Z,TN,36042385,New Mexico State @ Hawaii,2026-09-13T03:59:00.000Z,New Mexico State,Hawaii,9.5,-110,-9.5,-110,50.5,-110,-110,275,-350
