capture_id,quote_id,captured_at,source,source_updated_at,state,sport,event_id,event_name,kickoff_display,book,market_type,selection,line,american_price,quote_status,model_version
interim-il-20260925T1216Z,bf491160-2eb2-4f3f-b2f3-327307e329d3,2026-09-25T12:16:58Z,FanDuel rendered sportsbook page,,IL,NFL,36076206,Carolina Panthers @ Cleveland Browns,SUN 12:01PM CT,FanDuel,spread,Carolina Panthers,-2.5,-115,open,v3-forward-measurement
interim-il-20260925T1216Z,f2ca92f9-3e32-43bd-a62c-accdffc9c54f,2026-09-25T12:16:58Z,FanDuel rendered sportsbook page,,IL,NFL,36076206,Carolina Panthers @ Cleveland Browns,SUN 12:01PM CT,FanDuel,spread,Cleveland Browns,+2.5,-105,open,v3-forward-measurement
interim-il-20260925T1216Z,15f835c8-90f6-45ef-bacf-45dd82175c63,2026-09-25T12:16:58Z,FanDuel rendered sportsbook page,,IL,NFL,36076206,Carolina Panthers @ Cleveland Browns,SUN 12:01PM CT,FanDuel,moneyline,Carolina Panthers,,-142,open,v3-forward-measurement
interim-il-20260925T1216Z,f7612afb-f20d-4822-bb7f-d84ae505b985,2026-09-25T12:16:58Z,FanDuel rendered sportsbook page,,IL,NFL,36076206,Carolina Panthers @ Cleveland Browns,SUN 12:01PM CT,FanDuel,moneyline,Cleveland Browns,,+120,open,v3-forward-measurement
interim-il-20260925T1216Z,624d2678-a48e-4c7e-893c-84ace7b2143e,2026-09-25T12:16:58Z,FanDuel rendered sportsbook page,,IL,NFL,36076206,Carolina Panthers @ Cleveland Browns,SUN 12:01PM CT,FanDuel,total,Over,41.5,-115,open,v3-forward-measurement
interim-il-20260925T1216Z,00ae7ca3-da98-41a1-9a70-9a7df73c950a,2026-09-25T12:16:58Z,FanDuel rendered sportsbook page,,IL,NFL,36076206,Carolina Panthers @ Cleveland Browns,SUN 12:01PM CT,FanDuel,total,Under,41.5,-105,open,v3-forward-measurement
interim-il-20260925T1216Z,4225d5e5-1cf2-439a-b504-e090948a71de,2026-09-25T12:16:58Z,FanDuel rendered sportsbook page,,IL,NFL,36076207,New York Jets @ Detroit Lions,SUN 12:01PM CT,FanDuel,spread,New York Jets,+6.5,-105,open,v3-forward-measurement
interim-il-20260925T1216Z,37dc31d8-ae90-46cd-9c08-04ec11848ff5,2026-09-25T12:16:58Z,FanDuel rendered sportsbook page,,IL,NFL,36076207,New York Jets @ Detroit Lions,SUN 12:01PM CT,FanDuel,spread,Detroit Lions,-6.5,-115,open,v3-forward-measurement
interim-il-20260925T1216Z,358160b2-a684-42b6-a230-204db69688c3,2026-09-25T12:16:58Z,FanDuel rendered sportsbook page,,IL,NFL,36076207,New York Jets @ Detroit Lions,SUN 12:01PM CT,FanDuel,moneyline,New York Jets,,+260,open,v3-forward-measurement
interim-il-20260925T1216Z,3813ccbd-86ce-415f-a2db-4808f0de995f,2026-09-25T12:16:58Z,FanDuel rendered sportsbook page,,IL,NFL,36076207,New York Jets @ Detroit Lions,SUN 12:01PM CT,FanDuel,moneyline,Detroit Lions,,-320,open,v3-forward-measurement
interim-il-20260925T1216Z,b4a97f4a-aede-4551-9251-afa74f48d9fe,2026-09-25T12:16:58Z,FanDuel rendered sportsbook page,,IL,NFL,36076207,New York Jets @ Detroit Lions,SUN 12:01PM CT,FanDuel,total,Over,47.5,-115,open,v3-forward-measurement
interim-il-20260925T1216Z,4bd7ff3e-f690-44cd-b408-f6e48883b699,2026-09-25T12:16:58Z,FanDuel rendered sportsbook page,,IL,NFL,36076207,New York Jets @ Detroit Lions,SUN 12:01PM CT,FanDuel,total,Under,47.5,-105,open,v3-forward-measurement
interim-il-20260925T1216Z,cee17563-dedc-4596-b385-ebe3be48af14,2026-09-25T12:16:58Z,FanDuel rendered sportsbook page,,IL,NFL,36076209,New England Patriots @ Jacksonville Jaguars,SUN 12:01PM CT,FanDuel,spread,New England Patriots,+2.5,-104,open,v3-forward-measurement
interim-il-20260925T1216Z,de76f8f7-bf22-43f9-81b9-3a78e11e0ef1,2026-09-25T12:16:58Z,FanDuel rendered sportsbook page,,IL,NFL,36076209,New England Patriots @ Jacksonville Jaguars,SUN 12:01PM CT,FanDuel,spread,Jacksonville Jaguars,-2.5,-118,open,v3-forward-measurement
interim-il-20260925T1216Z,1a66d21e-44a8-46b4-9d50-a44a8b275149,2026-09-25T12:16:58Z,FanDuel rendered sportsbook page,,IL,NFL,36076209,New England Patriots @ Jacksonville Jaguars,SUN 12:01PM CT,FanDuel,moneyline,New England Patriots,,+130,open,v3-forward-measurement
interim-il-20260925T1216Z,cfd17073-95ca-4655-a059-39cec2f7946e,2026-09-25T12:16:58Z,FanDuel rendered sportsbook page,,IL,NFL,36076209,New England Patriots @ Jacksonville Jaguars,SUN 12:01PM CT,FanDuel,moneyline,Jacksonville Jaguars,,-154,open,v3-forward-measurement
interim-il-20260925T1216Z,6d353e15-1403-447a-a715-c24fd3039be9,2026-09-25T12:16:58Z,FanDuel rendered sportsbook page,,IL,NFL,36076209,New England Patriots @ Jacksonville Jaguars,SUN 12:01PM CT,FanDuel,total,Over,45.5,-115,open,v3-forward-measurement
interim-il-20260925T1216Z,9ab975d0-5159-44a5-bc71-2279dc941b0a,2026-09-25T12:16:58Z,FanDuel rendered sportsbook page,,IL,NFL,36076209,New England Patriots @ Jacksonville Jaguars,SUN 12:01PM CT,FanDuel,total,Under,45.5,-105,open,v3-forward-measurement
interim-il-20260925T1216Z,e8d47ba6-70f0-4c3b-a50f-18572007699e,2026-09-25T12:16:58Z,FanDuel rendered sportsbook page,,IL,NFL,36076210,Houston Texans @ Indianapolis Colts,SUN 12:01PM CT,FanDuel,spread,Houston Texans,-1.5,-115,open,v3-forward-measurement
interim-il-20260925T1216Z,8bf074a0-ccf4-4aa2-b67c-83b7a9311542,2026-09-25T12:16:58Z,FanDuel rendered sportsbook page,,IL,NFL,36076210,Houston Texans @ Indianapolis Colts,SUN 12:01PM CT,FanDuel,spread,Indianapolis Colts,+1.5,-105,open,v3-forward-measurement
interim-il-20260925T1216Z,05353e38-2e3d-478e-ae0f-cf0dba2288af,2026-09-25T12:16:58Z,FanDuel rendered sportsbook page,,IL,NFL,36076210,Houston Texans @ Indianapolis Colts,SUN 12:01PM CT,FanDuel,moneyline,Houston Texans,,-126,open,v3-forward-measurement
interim-il-20260925T1216Z,81825d69-430a-4788-91a3-c2a271dc2b07,2026-09-25T12:16:58Z,FanDuel rendered sportsbook page,,IL,NFL,36076210,Houston Texans @ Indianapolis Colts,SUN 12:01PM CT,FanDuel,moneyline,Indianapolis Colts,,+108,open,v3-forward-measurement
interim-il-20260925T1216Z,5b85bbfd-5040-485d-991e-fc78322b273b,2026-09-25T12:16:58Z,FanDuel rendered sportsbook page,,IL,NFL,36076210,Houston Texans @ Indianapolis Colts,SUN 12:01PM CT,FanDuel,total,Over,42.5,-118,open,v3-forward-measurement
interim-il-20260925T1216Z,bb33ce5f-a5c4-4c58-9398-28449e0934ab,2026-09-25T12:16:58Z,FanDuel rendered sportsbook page,,IL,NFL,36076210,Houston Texans @ Indianapolis Colts,SUN 12:01PM CT,FanDuel,total,Under,42.5,-104,open,v3-forward-measurement
interim-il-20260925T1216Z,4786a12a-e59c-46af-be35-09836db16280,2026-09-25T12:16:58Z,FanDuel rendered sportsbook page,,IL,NFL,36076211,Los Angeles Chargers @ Buffalo Bills,SUN 12:01PM CT,FanDuel,spread,Los Angeles Chargers,+7.5,-120,open,v3-forward-measurement
interim-il-20260925T1216Z,70a330e1-ce00-4819-9eb3-6eb8c2d6e8b1,2026-09-25T12:16:58Z,FanDuel rendered sportsbook page,,IL,NFL,36076211,Los Angeles Chargers @ Buffalo Bills,SUN 12:01PM CT,FanDuel,spread,Buffalo Bills,-7.5,-102,open,v3-forward-measurement
interim-il-20260925T1216Z,84b41c35-cd57-4f00-86bf-fe52f2873794,2026-09-25T12:16:58Z,FanDuel rendered sportsbook page,,IL,NFL,36076211,Los Angeles Chargers @ Buffalo Bills,SUN 12:01PM CT,FanDuel,moneyline,Los Angeles Chargers,,+295,open,v3-forward-measurement
interim-il-20260925T1216Z,ecfb9d0b-e560-40d1-b7f0-7945edf3d582,2026-09-25T12:16:58Z,FanDuel rendered sportsbook page,,IL,NFL,36076211,Los Angeles Chargers @ Buffalo Bills,SUN 12:01PM CT,FanDuel,moneyline,Buffalo Bills,,-370,open,v3-forward-measurement
interim-il-20260925T1216Z,85e51259-8589-47a1-a138-5399c0bdbefa,2026-09-25T12:16:58Z,FanDuel rendered sportsbook page,,IL,NFL,36076211,Los Angeles Chargers @ Buffalo Bills,SUN 12:01PM CT,FanDuel,total,Over,50.5,-105,open,v3-forward-measurement
interim-il-20260925T1216Z,c70d4934-854d-4c8a-be2a-e4bc4aaddc20,2026-09-25T12:16:58Z,FanDuel rendered sportsbook page,,IL,NFL,36076211,Los Angeles Chargers @ Buffalo Bills,SUN 12:01PM CT,FanDuel,total,Under,50.5,-115,open,v3-forward-measurement
interim-il-20260925T1216Z,2af79358-2dec-4064-b873-0d72263f8de8,2026-09-25T12:16:58Z,FanDuel rendered sportsbook page,,IL,NFL,36076212,Kansas City Chiefs @ Miami Dolphins,SUN 12:01PM CT,FanDuel,spread,Kansas City Chiefs,-10.5,-115,open,v3-forward-measurement
interim-il-20260925T1216Z,22a437fc-dbeb-463b-a284-5160acc30ba1,2026-09-25T12:16:58Z,FanDuel rendered sportsbook page,,IL,NFL,36076212,Kansas City Chiefs @ Miami Dolphins,SUN 12:01PM CT,FanDuel,spread,Miami Dolphins,+10.5,-105,open,v3-forward-measurement
interim-il-20260925T1216Z,145e234b-96e6-4f2c-97f0-f9b2c3fde86b,2026-09-25T12:16:58Z,FanDuel rendered sportsbook page,,IL,NFL,36076212,Kansas City Chiefs @ Miami Dolphins,SUN 12:01PM CT,FanDuel,moneyline,Kansas City Chiefs,,-720,open,v3-forward-measurement
