captured_at,state,event_id,event_name,kickoff,away,home,away_spread,away_spread_odds,home_spread,home_spread_odds,total,over_odds,under_odds,away_ml,home_ml
2026-09-12T12:16:38Z,TN,35170578,Oklahoma @ Michigan,2026-09-12T16:00:00.000Z,Oklahoma,Michigan,-4.5,-114,4.5,-106,43.5,-108,-112,-200,172
2026-09-12T12:16:38Z,TN,35632815,Oregon @ Oklahoma State,2026-09-12T16:00:00.000Z,Oregon,Oklahoma State,-23.5,-105,23.5,-115,54.5,-115,-105,-2100,1000
2026-09-12T12:16:38Z,TN,35993160,Penn State @ Temple,2026-09-12T16:00:00.000Z,Penn State,Temple,-23.5,-120,23.5,-102,50.5,-115,-105,-4000,1400
2026-09-12T12:16:38Z,TN,35993161,Washington State @ Kansas State,2026-09-12T16:00:00.000Z,Washington State,Kansas State,17.5,-110,-17.5,-110,49.5,-105,-115,740,-1250
2026-09-12T12:16:38Z,TN,35993162,South Florida @ Army,2026-09-12T16:00:00.000Z,South Florida,Army,3.5,-120,-3.5,-102,45.5,-110,-110,136,-164
2026-09-12T12:16:38Z,TN,35993163,Appalachian State @ East Carolina,2026-09-12T16:00:00.000Z,Appalachian State,East Carolina,6.5,-110,-6.5,-110,56.5,-106,-114,195,-240
2026-09-12T12:16:38Z,TN,35993164,Wake Forest @ Purdue,2026-09-12T16:00:00.000Z,Wake Forest,Purdue,-2.5,-120,2.5,-102,49.5,-115,-105,-152,126
2026-09-12T12:16:38Z,TN,35993165,Arizona State @ Texas A&M,2026-09-12T16:00:00.000Z,Arizona State,Texas A&M,14.5,-110,-14.5,-110,50.5,-112,-108,530,-780
2026-09-12T12:16:38Z,TN,35993166,East Tennessee State @ North Carolina,2026-09-12T16:00:00.000Z,East Tennessee State,North Carolina,36.5,-112,-36.5,-108,54.5,-115,-105,4000,-30000
2026-09-12T12:16:38Z,TN,35993169,Old Dominion @ Virginia Tech,2026-09-12T16:00:00.000Z,Old Dominion,Virginia Tech,18.5,-106,-18.5,-114,47.5,-110,-110,800,-1400
2026-09-12T12:16:38Z,TN,35993263,Wofford @ Kent State,2026-09-12T16:00:00.000Z,Wofford,Kent State,11.5,-110,-11.5,-110,46.5,-115,-105,360,-480
2026-09-12T12:16:38Z,TN,35993666,Wagner @ James Madison,2026-09-12T16:00:00.000Z,Wagner,James Madison,46.5,-110,-46.5,-110,56.5,-110,-110,,
2026-09-12T12:16:38Z,TN,35993689,Gardner Webb @ Liberty,2026-09-12T16:00:00.000Z,Gardner Webb,Liberty,27.5,-104,-27.5,-118,54.5,-115,-105,1600,-4500
2026-09-12T12:16:38Z,TN,36042424,Howard @ Indiana,2026-09-12T16:00:00.000Z,Howard,Indiana,57.5,-110,-57.5,-110,66.5,-114,-106,,
2026-09-12T12:16:38Z,TN,36038584,Elon @ Rhode Island,2026-09-12T16:01:00.000Z,Elon,Rhode Island,8.5,-110,-8.5,-110,48.5,-110,-110,235,-300
2026-09-12T12:16:38Z,TN,36038605,Albany @ Long Island,2026-09-12T16:01:00.000Z,Albany,Long Island,-3.5,100,3.5,-122,43.5,-115,-105,-164,134
2026-09-12T12:16:38Z,TN,36038594,Marist @ Lafayette,2026-09-12T16:31:00.000Z,Marist,Lafayette,13.5,-105,-13.5,-115,47,-110,-110,410,-590
2026-09-12T12:16:38Z,TN,36042436,Western Kentucky @ Georgia,2026-09-12T16:45:00.000Z,Western Kentucky,Georgia,40.5,-114,-40.5,-106,55.5,-112,-108,,
2026-09-12T12:16:38Z,TN,35993266,Colgate @ Central Michigan,2026-09-12T17:00:00.000Z,Colgate,Central Michigan,22.5,-110,-22.5,-110,49.5,-110,-110,1280,-3500
2026-09-12T12:16:38Z,TN,35993284,Holy Cross @ Miami Ohio,2026-09-12T17:00:00.000Z,Holy Cross,Miami Ohio,31.5,-118,-31.5,-104,50.5,-110,-110,2200,-8000
2026-09-12T12:16:38Z,TN,36042901,UT Martin @ West Virginia,2026-09-12T17:00:00.000Z,UT Martin,West Virginia,41.5,-104,-41.5,-118,56.5,-110,-110,,
2026-09-12T12:16:38Z,TN,36038578,Bucknell @ VMI,2026-09-12T17:31:00.000Z,Bucknell,VMI,-10.5,-110,10.5,-110,46.5,-106,-114,-400,300
2026-09-12T12:16:38Z,TN,35993268,Stony Brook @ Ball State,2026-09-12T18:00:00.000Z,Stony Brook,Ball State,14.5,-114,-14.5,-106,55.5,-106,-114,520,-750
2026-09-12T12:16:38Z,TN,36038573,Duquesne @ Youngstown State,2026-09-12T18:01:00.000Z,Duquesne,Youngstown State,22.5,-110,-22.5,-110,53.5,-110,-110,920,-2000
2026-09-12T12:16:38Z,TN,36038574,Eastern Washington @ South Dakota,2026-09-12T18:01:00.000Z,Eastern Washington,South Dakota,16.5,-110,-16.5,-110,60.5,-110,-110,490,-750
2026-09-12T12:16:38Z,TN,36038576,Drake @ Northern Iowa,2026-09-12T18:01:00.000Z,Drake,Northern Iowa,11.5,-110,-11.5,-110,58.5,-110,-110,360,-500
2026-09-12T12:16:38Z,TN,36038598,William & Mary @ Lehigh,2026-09-12T18:01:00.000Z,William & Mary,Lehigh,12,104,-12,-128,47.5,-110,-110,390,-550
2026-09-12T12:16:38Z,TN,36038582,Utah Tech @ Montana,2026-09-12T19:01:00.000Z,Utah Tech,Montana,38.5,-110,-38.5,-110,56.5,-110,-110,3500,-50000
2026-09-12T12:16:38Z,TN,35993271,Alabama @ Kentucky,2026-09-12T19:30:00.000Z,Alabama,Kentucky,-10.5,100,10.5,-122,48.5,-105,-115,-375,290
2026-09-12T12:16:38Z,TN,35993273,Mississippi State @ Minnesota,2026-09-12T19:30:00.000Z,Mississippi State,Minnesota,-1.5,100,1.5,-122,54.5,-115,-105,-105,-114
2026-09-12T12:16:38Z,TN,35993299,Arizona @ BYU,2026-09-12T19:30:00.000Z,Arizona,BYU,7.5,-110,-7.5,-110,48.5,-106,-114,245,-310
2026-09-12T12:16:38Z,TN,35993301,Utah State @ Washington,2026-09-12T19:30:00.000Z,Utah State,Washington,27.5,-105,-27.5,-115,55.5,-110,-110,2000,-7000
2026-09-12T12:16:38Z,TN,35993477,Weber State @ Colorado,2026-09-12T19:30:00.000Z,Weber State,Colorado,34.5,-115,-34.5,-105,55.5,-112,-108,4000,-30000
