event_id,event_name,kickoff
35599552,Detroit Lions @ Buffalo Bills,2026-09-18T00:15:00.000Z
36048239,Carolina Panthers @ Atlanta Falcons,2026-09-20T17:01:00.000Z
36048240,New Orleans Saints @ Baltimore Ravens,2026-09-20T17:01:00.000Z
36048241,Green Bay Packers @ New York Jets,2026-09-20T17:01:00.000Z
36048242,Minnesota Vikings @ Chicago Bears,2026-09-20T17:01:00.000Z
36048244,Cincinnati Bengals @ Houston Texans,2026-09-20T17:01:00.000Z
36048245,Pittsburgh Steelers @ New England Patriots,2026-09-20T17:01:00.000Z
36048247,Cleveland Browns @ Tampa Bay Buccaneers,2026-09-20T17:01:00.000Z
36048248,Philadelphia Eagles @ Tennessee Titans,2026-09-20T17:01:00.000Z
36048249,Jacksonville Jaguars @ Denver Broncos,2026-09-20T20:06:00.000Z
36048250,Las Vegas Raiders @ Los Angeles Chargers,2026-09-20T20:06:00.000Z
36048243,Seattle Seahawks @ Arizona Cardinals,2026-09-20T20:26:00.000Z
36048251,Miami Dolphins @ San Francisco 49ers,2026-09-20T20:26:00.000Z
36049680,Washington Commanders @ Dallas Cowboys,2026-09-20T20:26:00.000Z
36048252,Indianapolis Colts @ Kansas City Chiefs,2026-09-21T00:21:00.000Z
36048246,New York Giants @ Los Angeles Rams,2026-09-22T00:16:00.000Z
