captured_at,state,event_id,event_name,kickoff,away,home,away_spread,away_spread_odds,home_spread,home_spread_odds,total,over_odds,under_odds,away_ml,home_ml
2026-09-25T12:16:58Z,IL,36073771,Army @ Temple,2026-09-25T20:00:00.000Z,Army,Temple,-3.5,-102,+3.5,-120,48.5,-105,-115,-162,+134
2026-09-25T12:16:58Z,IL,36073774,Howard @ Rutgers,2026-09-25T23:00:00.000Z,Howard,Rutgers,+43.5,-108,-43.5,-112,56.5,-108,-112,,
2026-09-25T12:16:58Z,IL,36073778,Navy @ UAB,2026-09-25T23:00:00.000Z,Navy,UAB,-6.5,-110,+6.5,-110,51.5,-105,-115,-240,+195
2026-09-25T12:16:58Z,IL,36094630,Clemson @ California,2026-09-26T02:30:00.000Z,Clemson,California,-1.5,-108,+1.5,-112,50.5,-110,-110,-115,-104
2026-09-25T12:16:58Z,IL,36073932,Wake Forest @ Louisville,2026-09-26T16:00:00.000Z,Wake Forest,Louisville,+13.5,-105,-13.5,-115,57.5,-110,-110,+430,-600
2026-09-25T12:16:58Z,IL,36073883,San Diego State @ Toledo,2026-09-26T16:00:00.000Z,San Diego State,Toledo,+2.5,+100,-2.5,-122,51.5,-110,-110,+122,-146
2026-09-25T12:16:58Z,IL,36073934,Virginia Tech @ Boston College,2026-09-26T16:00:00.000Z,Virginia Tech,Boston College,-14.5,+100,+14.5,-122,47.5,-114,-106,-650,+460
2026-09-25T12:16:58Z,IL,36073903,UNLV @ Akron,2026-09-26T16:00:00.000Z,UNLV,Akron,-13.5,-110,+13.5,-110,52.5,-110,-110,-520,+385
2026-09-25T12:16:58Z,IL,36073885,Colorado State @ UTSA,2026-09-26T16:00:00.000Z,Colorado State,UTSA,+14.5,-122,-14.5,+100,57.5,-118,-104,+400,-550
2026-09-25T12:16:58Z,IL,36073909,Ball State @ Kent State,2026-09-26T16:00:00.000Z,Ball State,Kent State,+2.5,-104,-2.5,-118,51.5,-102,-120,+122,-146
2026-09-25T12:16:58Z,IL,36073814,Colorado @ Baylor,2026-09-26T16:00:00.000Z,Colorado,Baylor,+9.5,-104,-9.5,-118,55.5,-108,-112,+300,-385
2026-09-25T12:16:58Z,IL,36073933,Bucknell @ Pittsburgh,2026-09-26T16:00:00.000Z,Bucknell,Pittsburgh,+52.5,-110,-52.5,-110,62.5,-112,-108,,
2026-09-25T12:16:58Z,IL,36073928,Texas @ Tennessee,2026-09-26T16:00:00.000Z,Texas,Tennessee,-4.5,-114,+4.5,-106,54.5,-112,-108,-210,+172
2026-09-25T12:16:58Z,IL,36073803,Sam Houston State @ Texas Tech,2026-09-26T16:00:00.000Z,Sam Houston State,Texas Tech,+34.5,-110,-34.5,-110,55.5,-105,-115,+4000,-30000
2026-09-25T12:16:58Z,IL,36073935,South Alabama @ Kentucky,2026-09-26T16:45:00.000Z,South Alabama,Kentucky,+20.5,-110,-20.5,-110,54.5,-110,-110,+920,-1800
2026-09-25T12:16:58Z,IL,36073938,Lindenwood @ Eastern Michigan,2026-09-26T17:00:00.000Z,Lindenwood,Eastern Michigan,+26.5,-110,-26.5,-110,50.5,-110,-110,+2200,-8000
2026-09-25T12:16:58Z,IL,36073875,UCLA @ Maryland,2026-09-26T17:30:00.000Z,UCLA,Maryland,-1.5,-114,+1.5,-106,56.5,-110,-110,-125,+104
2026-09-25T12:16:58Z,IL,36073789,Notre Dame @ Purdue,2026-09-26T18:00:00.000Z,Notre Dame,Purdue,-27.5,-118,+27.5,-104,58.5,-106,-114,-4500,+1600
2026-09-25T12:16:58Z,IL,36073941,Central Arkansas @ Florida State,2026-09-26T19:00:00.000Z,Central Arkansas,Florida State,+45.5,-115,-45.5,-105,62.5,-106,-114,+8000,
2026-09-25T12:16:58Z,IL,36073947,Hawaii @ Wyoming,2026-09-26T19:00:00.000Z,Hawaii,Wyoming,-2.5,-118,+2.5,-104,43.5,-114,-106,-140,+116
2026-09-25T12:16:58Z,IL,36073887,Connecticut @ Miami Ohio,2026-09-26T19:30:00.000Z,Connecticut,Miami Ohio,+3.5,-115,-3.5,-105,52.5,-105,-115,+146,-176
2026-09-25T12:16:58Z,IL,36073804,Utah @ Iowa State,2026-09-26T19:30:00.000Z,Utah,Iowa State,-8.5,-105,+8.5,-115,47.5,-114,-106,-330,+265
2026-09-25T12:16:58Z,IL,36073786,Oklahoma @ Georgia,2026-09-26T19:30:00.000Z,Oklahoma,Georgia,+12.5,-106,-12.5,-114,44.5,-106,-114,+400,-550
2026-09-25T12:16:58Z,IL,36073950,New Mexico @ New Mexico State,2026-09-26T19:30:00.000Z,New Mexico,New Mexico State,-11.5,-105,+11.5,-115,48.5,-115,-105,-450,+340
2026-09-25T12:16:58Z,IL,36102692,William & Mary @ Duke,2026-09-26T19:30:00.000Z,William & Mary,Duke,+43.5,-110,-43.5,-110,62.5,-110,-110,+8000,
2026-09-25T12:16:58Z,IL,36073886,Boise State @ Western Michigan,2026-09-26T19:30:00.000Z,Boise State,Western Michigan,-7.5,+100,+7.5,-122,49.5,-115,-105,-275,+220
2026-09-25T12:16:58Z,IL,36073807,Iowa @ Michigan,2026-09-26T19:30:00.000Z,Iowa,Michigan,+5.5,-112,-5.5,-108,38.5,-110,-110,+180,-220
