player,player_id,position,team_name,player_game_count,caught_percent,first_downs,franchise_id,fumbles,longest,receptions,targets,touchdowns,yards,yards_per_reception
Reggie Gilliam,40951,FB,BUF,2,100.0,0,4,0,7,3,3,0,12,4.0
Dontrell Hilliard,45691,HB,TEN,1,100.0,1,31,0,5,3,3,0,13,4.3
Darrell Daniels,12122,TE,ARZ,1,66.7,0,1,0,2,2,3,0,2,1.0
A.J. Green,6156,WR,ARZ,1,0.0,0,1,0,0,0,3,0,0,
Breshad Perriman,9459,WR,TB,1,33.3,0,30,0,5,1,3,0,5,5.0
Foster Moreau,47043,TE,LV,1,0.0,0,23,0,0,0,3,0,0,
Kyle Juszczyk,7912,FB,SF,3,66.7,0,28,0,10,2,3,0,15,7.5
Jalen Reagor,61697,WR,PHI,1,50.0,0,24,0,2,1,2,0,2,2.0
Chester Rogers,10918,WR,TEN,1,50.0,0,31,0,3,1,2,0,3,3.0
JaMycal Hasty,25582,HB,SF,3,50.0,0,28,0,6,1,2,0,6,6.0
Dominique Dafney,62825,TE,GB,1,0.0,0,12,0,0,0,2,0,0,
Nelson Agholor,9453,WR,NE,1,50.0,1,19,0,18,1,2,0,18,18.0
Benny Snell Jr.,45954,HB,PIT,1,100.0,2,25,0,11,2,2,0,16,8.0
Ray-Ray McCloud III,47895,WR,PIT,1,100.0,1,25,0,12,2,2,0,20,10.0
Trent Sherfield,48021,WR,SF,2,0.0,0,28,0,0,0,2,0,0,
Ke'Shawn Vaughn,45866,HB,TB,1,100.0,0,30,0,5,2,2,0,9,4.5
Drew Sample,47259,TE,CIN,4,50.0,0,7,0,4,1,2,0,4,4.0
Travis Benjamin,7100,WR,SF,3,50.0,1,28,0,17,1,2,0,17,17.0
Chris Evans,27303,HB,CIN,3,50.0,1,7,0,3,1,2,0,3,3.0
DeSean Jackson,4363,WR,LV,1,50.0,1,23,0,26,1,2,0,26,26.0
Tony Pollard,27126,HB,DAL,1,100.0,1,9,0,10,2,2,0,12,6.0
Najee Harris,57121,HB,PIT,1,100.0,0,25,1,0,2,2,0,-1,-0.5
Eno Benjamin,57136,HB,ARZ,1,100.0,2,1,0,13,2,2,0,26,13.0
James Conner,11860,HB,ARZ,1,50.0,0,1,0,5,1,2,0,5,5.0
O.J. Howard,11774,TE,TB,2,100.0,1,30,0,7,2,2,0,10,5.0
Marcedes Lewis,2973,TE,GB,1,100.0,0,12,1,0,1,1,0,0,0.0
C.J. Goodwin,9243,S,DAL,1,100.0,1,9,0,16,1,1,0,16,16.0
Khari Blasingame,44889,FB,TEN,1,0.0,0,31,0,0,0,1,0,0,
Chase Edmonds,45851,HB,ARZ,1,0.0,0,1,0,0,0,1,0,0,
Jakob Johnson,32565,FB,NE,1,0.0,0,19,0,0,0,1,0,0,
Josiah Deguara,47034,TE,GB,1,0.0,0,12,0,0,0,1,0,0,
Blake Jarwin,12320,TE,DAL,1,0.0,0,9,0,0,0,1,0,0,
Nick Westbrook-Ikhine,47861,WR,TEN,1,0.0,0,31,0,0,0,1,0,0,
Jalen Richard,11395,HB,LV,1,100.0,0,23,0,4,1,1,0,4,4.0
Matthew Stafford,4924,QB,LA,4,0.0,0,26,0,0,0,1,0,0,
Malik Turner,48078,WR,DAL,1,100.0,0,9,0,6,1,1,0,6,6.0
Allen Lazard,48135,WR,GB,1,100.0,1,12,0,6,1,1,0,6,6.0
Randall Cobb,6216,WR,GB,1,0.0,0,12,0,0,0,1,0,0,
Anthony Firkser,51837,TE,TEN,1,0.0,0,31,0,0,0,1,0,0,
Jordan Howard,10784,HB,PHI,1,100.0,0,24,0,7,1,1,0,7,7.0
Derek Watt,10832,FB,PIT,1,0.0,0,25,0,0,0,1,0,0,
Mike Thomas,10840,WR,CIN,3,100.0,0,7,0,17,1,1,0,17,17.0
Blake Bell,9550,TE,KC,3,100.0,0,16,0,3,1,1,0,3,3.0
Antoine Wesley,39967,WR,ARZ,1,0.0,0,1,0,0,0,1,0,0,
Tommy Doyle,40459,T,BUF,2,100.0,1,4,0,1,1,1,1,1,1.0
Boston Scott,39462,HB,PHI,1,100.0,0,24,0,1,1,1,0,1,1.0
Nick Allegretti,39268,G,KC,1,100.0,1,16,0,1,1,1,1,1,1.0
Charlie Woerner,42257,TE,SF,3,0.0,0,28,0,0,0,1,0,0,
Damien Harris,35134,HB,NE,1,100.0,0,19,0,7,1,1,0,7,7.0
