player,player_id,position,team_name,player_game_count,assists,forced_fumbles,franchise_id,hits,interceptions,pass_break_ups,sacks,tackles
Tyson Alualu,5535,DI,PIT,2,0,0,25,0,0,0,0,1
Brandon Graham,5538,ED,PHI,1,0,0,24,0,0,0,0,1
Devin McCourty,5552,S,NE,2,0,0,19,0,0,0,0,3
Jerry Hughes,5556,ED,HST,1,0,0,13,0,0,0,0,3
Carlos Dunlap,5579,ED,KC,1,0,0,16,0,0,0,0,0
Al Woods,5646,DI,SEA,1,1,0,29,0,0,0,0,0
Robert Quinn,6166,ED,CHI,1,0,0,6,0,0,0,0,0
Cameron Jordan,6176,ED,NO,1,0,0,20,0,0,0,0,1
Cameron Heyward,6183,DI,PIT,1,1,0,25,0,0,0,0,1
Lawrence Guy Sr.,6385,DI,NE,2,0,0,19,0,0,0,0,1
Nick Bellore,6515,FB,SEA,1,0,0,29,0,0,1,0,1
Mario Addison,6558,ED,HST,1,0,0,13,0,0,0,0,0
Stephon Gilmore,7016,CB,IND,2,0,0,14,0,0,0,0,1
Fletcher Cox,7018,DI,PHI,1,0,0,24,0,0,0,0,0
Michael Brockers,7020,DI,DET,1,0,0,11,0,0,0,0,0
Melvin Ingram III,7024,ED,MIA,1,0,0,17,0,0,0,0,0
Lavonte David,7060,LB,TB,1,0,0,30,0,0,0,1,0
Casey Hayward Jr.,7064,CB,ATL,2,0,0,2,0,0,0,0,3
Demario Davis,7079,LB,NO,1,0,0,20,0,0,0,1,1
Akiem Hicks,7090,DI,TB,1,0,0,30,0,0,0,0,0
Rodney McLeod,7271,S,IND,2,1,0,14,0,1,0,0,2
Michael Thomas,7279,S,CIN,3,3,0,7,0,0,0,0,1
Tashaun Gipson Sr.,7288,S,SF,1,1,0,28,0,0,0,0,5
Julian Stanford,7372,LB,CAR,2,1,0,5,0,0,0,1,1
Darius Slay,7817,CB,PHI,1,0,0,24,0,0,0,0,0
Johnathan Hankins,7830,DI,LV,1,1,0,23,0,0,0,0,1
Jon Bostic,7831,LB,NO,2,2,0,20,0,0,1,0,8
Tyrann Mathieu,7850,S,NO,1,0,0,20,0,0,0,0,1
John Jenkins,7863,DI,MIA,3,2,0,17,0,0,0,0,4
Logan Ryan,7864,S,TB,1,0,0,30,0,0,0,0,1
Duron Harmon,7872,S,LV,2,0,0,23,0,0,0,0,1
Akeem Spence,7882,DI,SF,3,4,0,28,0,0,0,0,2
William Gholston,7908,DI,TB,2,0,0,30,0,0,0,0,0
Steven Means,7929,ED,BLT,3,2,0,3,0,0,0,2,2
Nick Williams,8006,DI,NYG,3,0,0,21,0,0,0,0,2
Tony Jefferson,8361,S,BLT,3,3,0,3,0,0,0,0,13
Anthony Barr,8644,LB,DAL,1,0,0,9,0,0,0,0,0
Kyle Fuller,8649,CB,BLT,1,0,0,3,0,1,0,0,1
C.J. Mosley,8652,LB,NYJ,1,1,0,22,0,0,0,0,0
Darqueze Dennard,8659,CB,SF,1,0,0,28,0,0,0,0,1
Bradley Roby,8666,CB,NO,3,0,0,20,0,0,0,0,2
Lamarcus Joyner,8676,S,NYJ,2,0,0,22,0,0,0,0,1
Christian Kirksey,8706,LB,HST,2,0,0,13,0,0,0,1,3
Terrence Brooks,8714,S,HST,3,1,0,13,0,0,0,0,1
Justin Ellis,8742,DI,NYG,2,0,0,21,0,0,0,0,2
Ross Cockrell,8744,CB,TB,1,0,0,30,0,0,0,0,1
DaQuan Jones,8747,DI,BUF,1,0,0,4,0,0,0,0,0
Dontae Johnson,8764,CB,SF,1,1,0,28,0,0,0,1,3
Kevin Pierre-Louis,8767,LB,HST,2,0,0,13,0,0,0,0,4
Brent Urban,8769,DI,BLT,3,0,0,3,0,0,0,0,2
Devon Kennard,8809,ED,ARZ,1,0,0,1,0,0,0,1,1
Shelby Harris,8869,DI,SEA,2,0,0,29,1,0,0,0,1
Terrance Mitchell,8888,CB,NE,3,0,1,19,0,0,1,0,6
Shaquil Barrett,9000,ED,TB,1,2,0,30,0,0,0,0,1
Malcolm Butler,9040,CB,NE,1,0,0,19,0,0,0,0,1
Kerry Hyder Jr.,9045,DI,SF,2,3,0,28,0,0,0,0,4
Adrian Phillips,9177,S,NE,2,0,0,19,0,0,0,0,1
C.J. Goodwin,9243,CB,DAL,1,0,0,9,0,0,0,0,2
Daniel Sorensen,9253,S,NO,3,0,0,20,0,0,0,0,2
Joe Thomas,9272,LB,CHI,3,2,1,6,0,0,0,0,10
Mike Pennel,9316,DI,CHI,3,0,0,6,2,0,0,0,2
Dante Fowler Jr.,9436,ED,DAL,2,1,0,9,1,0,0,0,1
Danny Shelton,9445,DI,KC,2,0,0,16,0,0,0,0,1
Bud Dupree,9455,ED,TEN,1,0,0,31,0,0,0,0,0
Malcom Brown,9465,DI,JAX,1,0,0,15,0,0,0,0,0
Jaquiski Tartt,9479,S,PHI,2,2,0,24,0,0,0,0,8
Eric Rowe,9480,S,MIA,2,0,0,17,0,0,0,0,5
Jordan Phillips,9485,DI,BUF,1,0,0,4,0,0,0,0,1
Frank Clark,9496,ED,KC,3,0,0,16,1,0,0,0,0
P.J. Williams,9511,S,NO,3,2,0,20,0,0,0,0,0
Jordan Hicks,9517,LB,MIN,1,0,0,18,0,0,0,0,5
Carl Davis Jr.,9523,DI,NE,3,1,0,19,0,0,0,0,5
Henry Anderson,9526,ED,NE,3,1,0,19,0,0,0,0,2
Steven Nelson,9531,CB,HST,3,2,0,13,0,0,1,0,2
Angelo Blackson,9533,DI,CHI,1,0,0,6,0,0,0,0,1
Kwon Alexander,9557,LB,NYJ,3,1,1,22,0,0,0,0,2
Damien Wilson,9560,LB,CAR,2,1,0,5,0,0,0,0,2
Grady Jarrett,9570,DI,ATL,1,0,0,2,0,0,0,0,1
Bobby McCain,9578,S,WAS,2,1,0,32,0,0,1,0,1
David Mayo,9602,LB,WAS,2,1,0,32,0,0,0,0,6
Tye Smith,9603,CB,MIN,2,0,0,18,0,0,0,0,2
Christian Ringo,9643,DI,ARZ,3,2,0,1,0,0,0,0,4
Christian Covington,9649,DI,LAC,3,4,0,27,1,0,0,0,5
Rakeem Nunez-Roches,9650,DI,TB,2,0,0,30,0,0,0,0,0
