player,player_id,position,team_name,player_game_count,caught_percent,first_downs,franchise_id,fumbles,longest,receptions,targets,touchdowns,yards,yards_per_reception
Justin Jefferson,61398,WR,MIN,17,72.7,80,18,0,64,128,176,8,1809,14.1
Davante Adams,8688,WR,LV,17,59.5,65,23,1,60,100,168,14,1516,15.2
Tyreek Hill,10799,WR,MIA,17,71.3,77,17,1,64,119,167,7,1710,14.4
Travis Kelce,7844,TE,KC,17,73.3,77,16,1,52,110,150,12,1338,12.2
Stefon Diggs,9579,WR,BUF,16,72.5,72,4,1,53,108,149,11,1429,13.2
CeeDee Lamb,61570,WR,DAL,17,72.3,67,9,0,39,107,148,9,1359,12.7
Diontae Johnson,33441,WR,PIT,17,61.0,45,25,1,37,86,141,0,882,10.3
Garrett Wilson,97405,WR,NYJ,17,59.7,56,22,1,60,83,139,4,1103,13.3
D.K. Metcalf,47864,WR,SEA,17,64.7,47,29,2,54,90,139,6,1048,11.6
Amon-Ra St. Brown,84470,WR,DET,16,76.3,68,11,0,49,106,139,6,1161,11.0
Michael Pittman Jr.,29049,WR,IND,16,71.2,51,14,2,28,99,139,4,925,9.3
A.J. Brown,48327,WR,PHI,17,64.2,59,24,2,78,88,137,11,1496,17.0
Chris Godwin,11839,WR,TB,15,75.9,53,30,2,44,104,137,3,1023,9.8
DeVonta Smith,61100,WR,PHI,17,72.0,56,24,1,45,95,132,7,1196,12.6
Ja'Marr Chase,84270,WR,CIN,12,68.5,58,7,2,60,87,127,9,1046,12.0
Amari Cooper,9437,WR,CLV,17,61.9,61,8,0,55,78,126,9,1160,14.9
Mike Evans,8642,WR,TB,15,62.6,54,30,0,63,77,123,6,1133,14.7
Christian Kirk,47546,WR,JAX,17,68.3,55,15,1,49,84,123,8,1108,13.2
Austin Ekeler,12164,HB,LAC,17,87.0,36,27,2,23,107,123,5,722,6.7
T.J. Hockenson,40912,TE,MIN,17,69.9,43,18,1,81,86,123,6,914,10.6
Zay Jones,11792,WR,JAX,16,70.1,44,15,0,59,82,117,5,823,10.0
