player,player_id,position,team_name,player_game_count,attempts,first_downs,franchise_id,fumbles,longest,rec_yards,receptions,targets,total_touches,touchdowns,yards,ypa
Lew Nichols,97187,HB,C MICHIGAN,12,311,94,134,1,66,282,37,44,348,15,1707,5.5
Brad Roberts,125398,FB,AIR FORCE,12,277,75,101,0,33,0,0,1,277,13,1281,4.6
Tyler Badie,83714,HB,MISSOURI,12,271,74,229,0,73,333,52,68,323,14,1604,5.9
Kenneth Walker III,97199,HB,MICH STATE,12,262,75,223,1,94,89,13,16,275,18,1634,6.2
Sincere McCormick,97119,HB,UTSA,12,262,66,331,0,81,148,20,20,282,12,1275,4.9
Mataeo Durant,77719,HB,DUKE,12,256,66,154,6,59,252,26,30,282,9,1249,4.9
Charles Williams,41837,HB,UNLV,12,254,63,325,1,75,201,14,15,268,15,1238,4.9
Breece Hall,97636,HB,IOWA STATE,12,252,74,193,2,80,310,37,41,288,20,1460,5.8
Sean Tucker,123056,HB,SYRACUSE,12,247,73,304,1,56,249,18,24,265,12,1515,6.1
DeAndre Torrey,83728,HB,N TEXAS,12,246,60,251,4,75,115,12,21,258,13,1195,4.9
Hassan Haskins,83701,HB,MICHIGAN,12,244,96,222,0,62,94,13,15,257,18,1232,5.0
Tyler Goodson,101659,HB,IOWA,12,238,46,192,2,56,219,25,31,263,6,1098,4.6
Jaylen Warren,98692,HB,OKLA STATE,12,237,56,262,2,75,193,20,25,257,11,1134,4.8
Rasheen Ali,121717,HB,MARSHALL,12,230,81,214,5,59,339,45,54,275,20,1229,5.3
Leddie Brown,77766,HB,W VIRGINIA,12,222,64,343,5,80,217,36,50,258,13,1061,4.8
Ellis Merriweather,128096,HB,UMASS,12,219,51,216,0,79,169,21,28,240,5,1130,5.2
Abram Smith,57158,HB,BAYLOR,12,216,70,118,2,75,68,11,15,227,12,1363,6.3
Deuce Vaughn,122624,HB,KANSAS ST,12,213,67,199,1,80,471,47,64,260,15,1263,5.9
Marquez Cooper,130489,HB,KENT STATE,12,212,68,201,1,66,90,9,14,221,11,1080,5.1
Tyrion Davis-Price,99169,HB,LSU,12,211,56,211,3,40,64,10,13,221,6,1015,4.8
B.J. Baylor,52122,HB,OREGON ST,12,209,69,265,3,68,53,6,10,215,13,1259,6.0
Tank Bigsby,123974,HB,AUBURN,12,208,53,115,4,51,112,15,22,223,10,1008,4.8
Greg Bell,83716,HB,S DIEGO ST,12,208,46,284,6,55,5,4,6,212,8,948,4.6
Dylan McDuffie,77703,HB,BUFFALO,12,207,74,126,0,58,112,12,16,219,11,1042,5.0
Pat Garwo III,97120,HB,BOSTON COL,12,207,55,121,1,67,19,3,6,210,7,1048,5.1
Brian Robinson,57120,HB,ALABAMA,11,207,61,103,0,63,252,29,32,236,14,1016,4.9
Zach Charbonnet,97630,HB,UCLA,12,204,69,324,0,47,181,23,25,227,13,1153,5.7
Kyren Williams,97118,HB,NOTRE DAME,12,204,48,258,3,91,359,42,45,246,14,990,4.9
Chris Rodriguez Jr.,83689,HB,KENTUCKY,12,204,65,202,6,41,56,12,16,216,8,1270,6.2
Blake Watson,84363,HB,DOMINION,10,201,60,263,2,46,41,8,11,209,7,1040,5.2
David Bailey,77792,HB,COLO STATE,11,197,40,144,2,31,133,15,18,212,9,745,3.8
Evan Hull,97302,HB,NWESTERN,12,196,54,256,2,90,264,33,42,229,7,1009,5.1
Bijan Robinson,123126,HB,TEXAS,10,195,52,311,3,62,293,26,31,221,11,1127,5.8
Shamari Brooks,61855,HB,TULSA,12,193,46,320,2,35,61,7,9,200,6,921,4.8
Marcus Williams Jr.,40600,HB,LA TECH,12,192,46,208,3,42,202,20,27,212,8,808,4.2
Bryant Koback,57266,HB,TOLEDO,12,190,58,316,0,67,339,30,34,220,15,1275,6.7
Xazavian Valladay,57490,HB,WYOMING,12,188,47,351,4,74,233,23,29,211,5,977,5.2
La'Darius Jefferson,83704,HB,W MICHIGAN,12,186,55,347,1,26,38,3,6,189,10,839,4.5
Nate Noel,122249,HB,APP STATE,12,184,49,108,1,46,17,8,8,192,4,1034,5.6
Kennedy Brooks,57371,HB,OKLAHOMA,12,183,53,261,0,65,49,6,9,189,10,1113,6.1
Rachaad White,131633,HB,ARIZONA ST,11,183,57,110,1,50,456,43,48,226,15,1000,5.5
Frank Gore Jr.,121457,HB,SO MISS,12,182,45,296,1,51,155,20,25,199,5,781,4.3
Jerome Ford,83601,HB,CINCINNATI,11,181,62,138,2,79,192,17,17,198,17,1043,5.8
Isaiah Spiller,99146,HB,TEXAS A&M,12,178,50,312,1,67,189,25,33,203,6,1016,5.7
Travis Dye,83738,HB,OREGON,12,177,69,264,3,53,343,38,45,215,14,1028,5.8
Carson Steele,145632,HB,BALL ST,12,177,46,117,3,49,117,9,10,186,6,824,4.7
Dewayne McBride,121495,HB,UAB,12,176,57,321,4,67,19,3,6,179,12,1183,6.7
Tucker Gregg,83669,HB,GA STATE,12,176,56,175,2,57,12,2,3,178,9,920,5.2
Chez Mellusi,99597,HB,WISCONSIN,9,174,42,349,1,60,66,7,9,181,5,820,4.7
Keaton Mitchell,123826,HB,E CAROLINA,12,174,41,156,2,88,254,23,29,197,9,1117,6.4
Ty Chandler,62942,HB,N CAROLINA,12,174,57,245,1,60,210,13,15,187,13,1068,6.1
Chase Brown,77787,HB,ILLINOIS,10,170,42,187,1,80,142,14,19,184,5,1005,5.9
Tavion Thomas,77732,HB,UTAH,11,168,56,328,2,58,7,1,2,169,18,976,5.8
Isaac Ruoss,77033,FB,NAVY,12,166,43,237,0,19,15,2,2,168,5,641,3.9
Isiah Pacheco,83747,HB,RUTGERS,12,166,46,278,1,26,25,13,19,179,5,654,3.9
Tyler Nevens,52262,HB,S JOSE ST,11,166,45,285,2,46,52,8,10,174,7,766,4.6
TreVeyon Henderson,145059,HB,OHIO STATE,12,166,51,260,1,68,285,23,24,189,15,1165,7.0
Jay Ducker,130550,HB,N ILLINOIS,10,165,43,254,0,47,0,0,3,165,3,892,5.4
Rahjai Harris,123814,HB,E CAROLINA,12,165,40,156,1,24,163,24,29,189,4,583,3.5
Tai Lavatai,121854,QB,NAVY,10,163,39,237,9,20,0,0,0,156,7,441,2.7
Sean Tyler,97124,HB,W MICHIGAN,12,163,52,347,1,64,107,13,19,176,9,1000,6.1
Ronnie Rivers,57208,HB,FRESNO ST,11,162,40,169,3,64,362,34,44,196,5,787,4.9
Alton McCaskill,144253,HB,HOUSTON,12,162,44,182,0,36,98,17,19,179,16,844,5.2
Max Borghi,83802,HB,WASH STATE,12,161,49,341,0,64,156,16,21,177,12,882,5.5
Devin Neal,144558,HB,KANSAS,11,159,36,198,0,62,57,7,10,166,8,705,4.4
Jaren Mangham,97773,HB,USF,12,159,55,327,0,24,50,5,6,164,15,672,4.2
Braelon Allen,145159,HB,WISCONSIN,10,156,49,349,4,71,37,6,10,162,12,1099,7.0
Keaontay Ingram,77761,HB,USC,10,156,53,326,1,53,156,22,24,178,5,911,5.8
Jalen Mitchell,97173,HB,LOUISVILLE,12,154,33,210,3,39,118,11,13,165,5,726,4.7
Haaziq Daniels,125263,QB,AIR FORCE,11,154,38,101,14,94,0,0,1,149,9,700,4.5
Stephen Carr,57453,HB,INDIANA,9,153,36,190,1,66,94,16,18,169,6,588,3.8
Kimani Vidal,123727,HB,TROY,11,153,38,318,3,45,134,22,27,175,5,699,4.6
Calvin Tyler Jr.,52133,HB,UTAH ST,10,152,35,329,1,61,43,11,15,163,5,712,4.7
Logan Wright,57218,HB,GA SOUTHRN,12,151,44,174,0,60,171,16,26,167,8,802,5.3
Shermari Jones,122341,HB,COAST CAR,10,151,53,141,0,75,28,3,6,154,13,988,6.5
Tre Siggers,57347,HB,SMU,11,147,41,287,1,46,56,9,15,156,9,727,4.9
Garrett Shrader,98212,QB,SYRACUSE,12,147,54,304,8,55,0,0,0,107,14,953,6.5
Malik Cunningham,60436,QB,LOUISVILLE,12,147,53,210,4,72,9,1,1,100,19,1075,7.3
Chris Smith,83693,HB,LA LAFAYET,12,145,42,207,1,74,75,14,17,159,8,830,5.7
Ky Thomas,129669,HB,MINNESOTA,8,145,50,225,0,38,44,6,8,151,5,680,4.7
Rocko Griffin,124350,HB,VANDERBILT,9,145,33,333,0,36,41,10,14,155,4,517,3.6
Camerun Peoples,83607,HB,APP STATE,10,145,45,108,1,43,19,2,4,147,13,763,5.3
Jaylan Knighton,122215,HB,MIAMI FL,8,145,39,220,2,40,280,20,26,165,8,554,3.8
Ronald Awatt,57461,HB,UTEP,12,144,29,330,1,74,111,8,9,152,5,804,5.6
Jahmyr Gibbs,122474,HB,GA TECH,12,143,28,176,2,71,470,36,43,179,4,746,5.2
Jashaun Corbin,83773,HB,FLORIDA ST,12,142,35,167,2,89,144,24,32,166,7,879,6.2
