player,player_id,position,team_name,player_game_count,caught_percent,first_downs,franchise_id,fumbles,longest,receptions,targets,touchdowns,yards,yards_per_reception
Blake Bell,9550,TE,KC,17,55.6,1,16,1,8,5,9,1,26,5.2
Jason Brownlee,121451,WR,NYJ,6,55.6,2,22,0,24,5,9,1,56,11.2
Darnell Washington,124044,TE,PIT,17,77.8,4,25,0,12,7,9,0,61,8.7
Marvin Jones Jr.,7158,WR,DET,6,55.6,2,11,1,16,5,9,0,34,6.8
Trayveon Williams,45775,HB,CIN,16,87.5,0,7,0,5,7,8,0,10,1.4
Elijah Mitchell,57272,HB,SF,10,75.0,2,28,0,9,6,8,0,14,2.3
Jack Stoll,42058,TE,PHI,17,62.5,2,24,0,14,5,8,0,38,7.6
Pierre Strong Jr.,66619,HB,CLV,14,62.5,1,8,0,41,5,8,0,47,9.4
Josiah Deguara,47034,TE,GB,14,100.0,3,12,0,19,8,8,0,65,8.1
Julian Hill,88685,TE,MIA,15,75.0,2,17,1,18,6,8,0,48,8.0
Ty Johnson,45769,HB,BUF,7,100.0,2,4,0,28,7,7,1,62,8.9
Payne Durham,84037,TE,TB,13,71.4,3,30,0,25,5,7,0,58,11.6
Rakim Jarrett,129519,WR,TB,10,57.1,1,30,0,41,4,7,0,60,15.0
Raheem Blackshear,57385,HB,CAR,9,85.7,1,5,0,19,6,7,0,45,7.5
Kayshon Boutte,124087,WR,NE,5,28.6,1,19,0,11,2,7,0,19,9.5
Brycen Hopkins,47338,TE,LA,14,71.4,3,26,0,29,5,7,0,78,15.6
Dare Ogunbowale,12329,HB,HST,8,28.6,0,13,0,14,2,7,0,18,9.0
Velus Jones Jr.,40573,WR,CHI,12,57.1,1,6,0,11,4,7,0,20,5.0
Deuce Vaughn,122624,HB,DAL,6,100.0,1,9,0,11,7,7,0,40,5.7
D.J. Montgomery,55003,WR,IND,6,42.9,3,14,0,34,3,7,1,56,18.7
DeeJay Dallas,55632,HB,SEA,10,85.7,1,29,0,14,6,7,0,26,4.3
Jimmy Graham,5619,TE,NO,12,85.7,6,20,0,12,6,7,4,39,6.5
Eric Gray,99143,HB,NYG,6,85.7,0,21,0,9,6,7,0,22,3.7
Trey Sermon,57372,HB,IND,8,50.0,0,14,0,7,3,6,0,13,4.3
Peyton Hendershot,60915,TE,DAL,8,66.7,1,9,0,24,4,6,0,38,9.5
Craig Reynolds,94383,HB,DET,11,83.3,2,11,0,28,5,6,0,47,9.4
Patrick Ricard,48862,FB,BLT,17,83.3,3,3,0,28,5,6,1,52,10.4
Britain Covey,32933,WR,PHI,7,66.7,2,24,0,22,4,6,0,42,10.5
Austin Trammell,52195,WR,LA,9,66.7,2,26,0,14,4,6,0,29,7.3
Khari Blasingame,44889,FB,CHI,16,50.0,0,6,0,4,3,6,0,2,0.7
Jalen Brooks,111284,WR,DAL,6,100.0,4,9,0,24,6,6,0,64,10.7
Gary Brightwell,57133,HB,NYG,3,83.3,2,21,0,18,5,6,0,47,9.4
Equanimeous St. Brown,47967,WR,CHI,7,83.3,3,6,0,21,5,6,0,62,12.4
Deon Jackson,57189,HB,NYG,1,83.3,0,21,1,8,5,6,0,14,2.8
Boston Scott,39462,HB,PHI,10,66.7,2,24,0,27,4,6,0,52,13.0
DeAndre Carter,9859,WR,LV,15,66.7,0,23,0,16,4,6,0,39,9.8
Isaiah Spiller,99146,HB,LAC,9,100.0,1,27,0,10,6,6,0,34,5.7
Jalen Nailor,84292,WR,MIN,4,50.0,1,18,0,16,3,6,0,29,9.7
Robbie Chosen,11254,WR,MIA,8,66.7,3,17,0,68,4,6,1,126,31.5
David Moore,11981,WR,TB,7,83.3,3,30,0,52,5,6,1,94,18.8
Lawrence Cager,34914,TE,NYG,9,80.0,2,21,0,10,4,5,1,36,9.0
Marcedes Lewis,2973,TE,CHI,16,80.0,2,6,0,16,4,5,1,29,7.3
Nate Adkins,87625,TE,DEN,10,80.0,1,10,0,11,4,5,0,22,5.5
Ronnie Rivers,57208,HB,LA,7,100.0,0,26,0,10,5,5,0,22,4.4
Ben Sims,77918,TE,GB,14,80.0,3,12,0,12,4,5,1,21,5.3
Chris Conley,9509,WR,SF,7,60.0,2,28,0,48,3,5,0,69,23.0
Emanuel Wilson,154173,HB,GB,6,80.0,1,12,0,9,4,5,0,23,5.8
Grant Calcaterra,60997,TE,PHI,13,100.0,3,24,0,12,4,4,0,39,9.8
Nick Chubb,45783,HB,CLV,2,100.0,1,8,0,10,4,4,0,21,5.3
James Proche II,48037,WR,CLV,3,0.0,0,8,0,0,0,4,0,0,
Jordan Mason,62946,HB,SF,7,75.0,1,28,0,13,3,4,0,31,10.3
Tank Bigsby,123974,HB,JAX,11,25.0,0,15,1,6,1,4,0,6,6.0
La'Mical Perine,26408,HB,KC,4,75.0,1,16,0,25,3,4,0,33,11.0
Miles Boykin,48209,WR,PIT,15,75.0,0,25,0,6,3,4,0,17,5.7
Ko Kieft,41372,TE,TB,16,25.0,1,30,0,2,1,4,1,2,2.0
