player,player_id,position,team_name,player_game_count,caught_percent,first_downs,franchise_id,fumbles,longest,receptions,targets,touchdowns,yards,yards_per_reception
Rodney Hammond Jr.,144024,HB,PITTSBURGH,1,100.0,1,268,0,8,1,1,0,8,8.0
Chamon Metayer,144230,TE,CINCINNATI,1,0.0,0,138,0,0,0,1,0,0,
Cameron Wright,144289,WR,MEMPHIS,1,100.0,1,218,0,7,1,1,0,7,7.0
Jaden Nixon,144652,HB,OKLA STATE,1,100.0,0,262,0,-1,1,1,0,-1,-1.0
Trent Battle,144683,HB,TCU,2,100.0,1,305,0,21,1,1,0,21,21.0
Gunnar Helm,144726,TE,TEXAS,1,100.0,1,311,0,19,1,1,0,19,19.0
Behren Morton,144747,QB,TEXAS TECH,1,0.0,0,315,0,0,0,1,0,0,
Miles Scott,144809,WR,ILLINOIS,1,0.0,0,187,0,0,0,1,0,0,
Antwain Littleton Jr.,144892,HB,MARYLAND,1,100.0,0,215,0,-2,1,1,0,-2,-2.0
Joey Bearns III,144893,TE,MARYLAND,1,0.0,0,215,0,0,0,1,0,0,
Bucky Irving,144970,HB,OREGON,1,100.0,0,264,0,-1,1,1,0,-1,-1.0
Drew Biber,145117,TE,PURDUE,1,0.0,0,273,0,0,0,1,0,0,
Preston Terrell,145118,WR,PURDUE,1,0.0,0,273,0,0,0,1,0,0,
Caleb Coombs,145277,WR,MARSHALL,1,0.0,0,214,0,0,0,1,0,0,
Elijah Metcalf,145307,WR,MIDDLE TN,1,100.0,0,224,0,4,1,1,0,4,4.0
Zhighlil McMillan,145326,WR,N TEXAS,2,0.0,0,251,0,0,0,1,0,0,
Mike Washington Jr.,145672,HB,BUFFALO,1,0.0,0,126,0,0,0,1,0,0,
Thomas Zsiros,145906,WR,TOLEDO,2,100.0,0,316,0,6,1,1,0,6,6.0
Michael Trigg,146410,TE,OLE MISS,1,0.0,0,226,0,0,0,1,0,0,
Quentin Moore,146475,TE,WASHINGTON,1,100.0,1,340,0,17,1,1,0,17,17.0
Tsion Nunnally,146509,WR,WASH STATE,1,100.0,0,341,0,4,1,1,0,4,4.0
Camar Wheaton,146592,HB,SMU,1,100.0,0,287,0,1,1,1,0,1,1.0
Bryce Stephens,146627,WR,ARKANSAS,1,100.0,1,111,0,17,1,1,0,17,17.0
Jordan Dingle,146743,TE,KENTUCKY,1,100.0,0,202,0,6,1,1,0,6,6.0
Bralon Brown,146819,WR,OLE MISS,1,100.0,1,226,0,11,1,1,0,11,11.0
Simeon Price,146843,HB,MISS STATE,1,100.0,0,227,0,5,1,1,0,5,5.0
Jameson Tucker,147090,WR,COAST CAR,1,0.0,0,141,0,0,0,1,0,0,
Evan Lester,147120,TE,GA SOUTHRN,1,100.0,0,174,0,5,1,1,0,5,5.0
Lincoln Sefcik,147209,TE,S ALABAMA,1,100.0,0,288,0,2,1,1,0,2,2.0
Clayton Ollendieck,147263,TE,TROY,2,100.0,0,318,0,6,1,1,0,6,6.0
Devontae Houston,147375,HB,UCONN,1,0.0,0,146,0,0,0,1,0,0,
Brian Brewton,147377,HB,UCONN,1,0.0,0,146,0,0,0,1,0,0,
Lorenzo Styles Jr.,147474,WR,NOTRE DAME,1,0.0,0,258,0,0,0,1,0,0,
Audric Estime,147476,HB,NOTRE DAME,1,100.0,0,258,0,8,1,1,0,8,8.0
Caleb Rillos,155838,TE,AIR FORCE,1,100.0,1,101,0,15,1,1,1,15,15.0
Cade Klubnik,156253,QB,CLEMSON,2,100.0,1,140,1,19,1,1,0,19,19.0
Terry Moore,156258,HB,DUKE,1,100.0,1,154,0,8,1,1,0,8,8.0
Chris Bell,156321,WR,LOUISVILLE,1,100.0,1,210,0,11,1,1,0,11,11.0
Maurice Turner,156329,HB,LOUISVILLE,1,0.0,0,210,0,0,0,1,0,0,
Jaziun Patterson,156421,HB,IOWA,1,100.0,0,192,0,1,1,1,0,1,1.0
Zion Steptoe,156494,WR,PURDUE,1,0.0,0,273,0,0,0,1,0,0,
Qualon Farrar,156606,HB,N TEXAS,1,100.0,0,251,0,1,1,1,0,1,1.0
Dallas Payne,156630,TE,UAB,1,100.0,0,321,1,3,1,1,0,3,3.0
Dami'on Thompson,156674,WR,COAST CAR,1,100.0,1,141,0,9,1,1,0,9,9.0
Ty Washington,157029,TE,ARKANSAS,1,100.0,1,111,0,17,1,1,1,17,17.0
Javen Nicholas,157109,WR,LSU,1,100.0,0,211,0,2,1,1,0,2,2.0
Tavorus Jones,157157,HB,MISSOURI,1,100.0,0,229,0,4,1,1,0,4,4.0
Coy Eakin,157337,WR,TEXAS TECH,1,0.0,0,315,0,0,0,1,0,0,
Terrell Timmons Jr.,157423,WR,NC STATE,1,0.0,0,248,0,0,0,1,0,0,
Brock Spalding,157443,WR,E CAROLINA,1,100.0,0,156,0,5,1,1,0,5,5.0
Caleb Merritt,157681,WR,WYOMING,1,100.0,0,351,0,6,1,1,0,6,6.0
Trevor Etienne,157730,HB,FLORIDA,1,100.0,1,163,0,9,1,1,0,9,9.0
