player,player_id,position,team_name,player_game_count,caught_percent,first_downs,franchise_id,fumbles,longest,receptions,targets,touchdowns,yards,yards_per_reception
Malachi Toney,200155,WR,MIAMI FL,3,74.1,9,220,2,41,20,27,2,219,11.0
Keelan Marion,147370,WR,MIAMI FL,3,56.5,7,220,0,52,13,23,1,156,12.0
Elijah Sarratt,159499,WR,INDIANA,4,77.3,12,190,0,24,17,22,4,180,10.6
Cooper Barkate,159333,WR,DUKE,2,42.9,7,154,0,38,9,21,1,128,14.2
CJ Daniels,123874,WR,MIAMI FL,3,68.4,8,220,0,25,13,19,0,137,10.5
Cameron Dorner,187361,WR,N TEXAS,2,63.2,9,251,1,31,12,19,2,142,11.8
Charlie Becker,188661,WR,INDIANA,4,77.8,14,190,0,51,14,18,2,290,20.7
Wyatt Young,190632,WR,N TEXAS,2,44.4,2,251,0,13,8,18,0,61,7.6
Harrison Wallace III,145090,WR,OLE MISS,2,76.5,7,226,0,44,13,17,1,196,15.1
De'Zhaun Stribling,146508,WR,OLE MISS,2,70.6,8,226,0,40,12,17,0,199,16.6
Jeremiah Smith,183710,WR,OHIO STATE,2,88.2,12,260,0,59,15,17,1,301,20.1
Pofele Ashlock,158166,WR,HAWAII,1,82.4,7,180,0,30,14,17,2,123,8.8
Deondre Johnson,175506,WR,JVILLE ST,2,62.5,10,196,0,28,10,16,0,160,16.0
Omar Cooper Jr.,156395,WR,INDIANA,4,68.8,7,190,0,38,11,16,2,133,12.1
Que'Sean Brown,170041,WR,DUKE,2,81.3,5,154,0,69,13,16,2,179,13.8
Kam Perry,156397,WR,MIAMI OH,2,50.0,7,221,0,29,8,16,0,111,13.9
Germie Bernard,158374,WR,ALABAMA,2,62.5,5,103,0,34,10,16,1,122,12.2
Parker Kingston,163251,WR,BYU,2,66.7,6,128,0,28,10,15,0,124,12.4
Chris Marshall,158659,WR,BOISE ST,2,40.0,6,120,0,28,6,15,0,107,17.8
Cole Weaver,171295,WR,MIAMI OH,2,33.3,5,221,0,36,5,15,1,108,21.6
Latrell Caples,128119,WR,BOISE ST,2,53.3,6,120,0,22,8,15,0,102,12.8
Zachariah Branch,174142,WR,GEORGIA,2,86.7,7,173,0,18,13,15,2,120,9.2
Cam Ross,97105,WR,VIRGINIA,2,66.7,5,335,0,29,10,15,0,84,8.4
Reggie Virgil,158022,WR,TEXAS TECH,2,71.4,4,315,0,30,10,14,0,115,11.5
Christian Neptune,206238,WR,USF,1,71.4,2,327,0,43,10,14,0,102,10.2
Chase Roberts,147528,WR,BYU,2,71.4,6,128,0,18,10,14,1,89,8.9
Daniel Hill,184536,HB,ALABAMA,2,85.7,3,103,0,27,12,14,0,55,4.6
Terrance Carter Jr.,156742,TE,TEXAS TECH,2,85.7,5,315,0,24,12,14,0,94,7.8
Griffin Wilde,177231,WR,NWESTERN,1,71.4,4,256,0,23,10,14,2,97,9.7
Cayden Lee,172521,WR,OLE MISS,2,64.3,6,226,0,23,9,14,0,86,9.6
Sahmir Hagans,143854,WR,DUKE,2,57.1,3,154,0,35,8,14,0,76,9.5
Carnell Tate,170273,WR,OHIO STATE,2,53.8,6,260,0,20,7,13,1,82,11.7
Tre Richardson,200360,WR,VANDERBILT,1,46.2,5,333,0,75,6,13,1,127,21.2
Malik McClain,143886,WR,ARIZONA ST,1,69.2,5,110,0,15,9,13,1,63,7.0
RaRa Thomas,146850,WR,TROY,2,61.5,5,318,0,43,8,13,0,134,16.8
Chris Dawn Jr.,172326,WR,TEXAS ST,1,84.6,5,314,1,15,11,13,2,75,6.8
Kenyon Sadiq,174132,TE,OREGON,2,69.2,4,264,0,21,9,13,0,51,5.7
Carsen Ryan,162467,TE,BYU,2,76.9,7,128,0,35,10,13,0,148,14.8
Jacob De Jesus,174068,WR,CAL,1,69.2,6,130,1,41,9,13,1,137,15.2
Joshua Meredith,146507,WR,WASH STATE,1,61.5,5,341,0,20,8,13,0,84,10.5
DJ Epps,163572,WR,TROY,2,46.2,3,318,0,20,6,13,0,68,11.3
Jaden Bradley,144016,WR,UNLV,2,58.3,5,325,1,23,7,12,0,97,13.9
Donaven McCulley,144829,WR,MICHIGAN,1,33.3,2,222,0,19,4,12,0,54,13.5
Eric McAlister,145976,WR,TCU,1,66.7,4,305,0,14,8,12,0,69,8.6
Ryan Coleman-Williams,191142,WR,ALABAMA,2,66.7,4,103,0,26,8,12,0,86,10.8
Eli Wood,156382,WR,VIRGINIA,2,58.3,6,335,0,35,7,12,1,101,14.4
Aaron Turner,147371,WR,RICE,1,83.3,3,275,0,11,10,12,1,24,2.4
Devonte Ross,146735,WR,PENN STATE,1,66.7,2,266,0,35,8,12,0,84,10.5
Jamari Johnson,174706,TE,OREGON,2,66.7,5,264,0,39,8,12,1,149,18.6
Dash Luke,155552,WR,MO STATE,1,63.6,4,230,0,59,7,11,2,169,24.1
Matthew Henry,192936,WR,W KENTUCKY,1,63.6,5,346,0,46,7,11,0,126,18.0
Tanner Koziol,156895,TE,HOUSTON,1,81.8,8,182,0,22,9,11,1,76,8.4
Landon Sides,173213,WR,N TEXAS,2,54.5,4,251,0,23,6,11,0,57,9.5
Trond Grizzell,146290,WR,CAL,1,72.7,4,130,1,22,8,11,0,98,12.3
Bryson Graves,175806,WR,COAST CAR,1,54.5,3,141,0,39,6,11,0,99,16.5
Nick Cenacle,169053,WR,HAWAII,1,72.7,3,180,0,22,8,11,1,59,7.4
Amare Thomas,173349,WR,HOUSTON,1,72.7,5,182,0,19,8,11,2,60,7.5
Junior Vandeross III,163156,WR,TOLEDO,1,63.6,4,316,0,19,7,11,0,61,8.7
Matt Lauter,145992,TE,BOISE ST,2,63.6,1,120,0,14,7,11,1,44,6.3
Jahmal Edrine,145196,WR,VIRGINIA,2,70.0,5,335,0,17,7,10,0,80,11.4
Donovan Olugbode,198878,WR,MISSOURI,1,50.0,3,229,0,24,5,10,0,49,9.8
Junior Sherrill,172627,WR,VANDERBILT,1,80.0,4,333,0,46,8,10,0,123,15.4
Eli Heidenreich,162554,FB,NAVY,1,50.0,3,237,0,26,5,10,1,64,12.8
Jordan Hudson,157298,WR,SMU,1,50.0,2,287,0,8,5,10,0,17,3.4
Chase Penry,86538,WR,BOISE ST,2,60.0,3,120,0,46,6,10,0,127,21.2
Tanook Hines,205454,WR,USC,1,60.0,6,326,0,46,6,10,0,163,27.2
Josiah Freeman,163398,WR,FRESNO ST,1,70.0,5,169,0,51,7,10,0,143,20.4
Miles Coleman,190604,WR,N TEXAS,2,80.0,6,251,0,59,8,10,1,139,17.4
J'Koby Williams,191359,HB,TEXAS TECH,2,60.0,0,315,0,6,6,10,0,15,2.5
Sean Wilson,185332,WR,DELAWARE,1,80.0,3,151,0,35,8,10,1,81,10.1
Jeremiah Hasley,162696,TE,DUKE,2,90.0,3,154,0,14,9,10,3,69,7.7
Riley Nowakowski,129928,TE,INDIANA,4,90.0,4,190,0,31,9,10,0,91,10.1
Corey Rucker,121539,WR,ARK STATE,1,60.0,4,113,0,71,6,10,1,166,27.7
Clayton Coppock Jr.,198608,WR,KENNESAW,2,50.0,0,200,0,10,5,10,0,28,5.6
Harrison Waylee,130584,HB,VIRGINIA,2,50.0,2,335,0,5,5,10,0,20,4.0
Langston Lewis,158597,WR,C MICHIGAN,1,80.0,6,134,0,21,8,10,0,83,10.4
Gabriel Benyard,147969,WR,KENNESAW,2,66.7,4,200,0,21,6,9,0,72,12.0
T.J. Moore,189369,WR,CLEMSON,1,66.7,3,140,0,44,6,9,0,83,13.8
Denzel Boston,162481,WR,WASHINGTON,1,66.7,5,340,0,78,6,9,1,126,21.0
Caullin Lacy,121426,WR,LOUISVILLE,1,66.7,4,210,0,28,6,9,0,88,14.7
Coleman Bennett,142986,HB,KENNESAW,2,88.9,2,200,0,9,8,9,0,43,5.4
Malik Rutherford,143929,WR,GA TECH,1,88.9,5,176,0,24,8,9,0,101,12.6
Kyle Parker,172489,WR,LSU,1,77.8,3,211,0,19,7,9,1,68,9.7
Christian Moss,144095,WR,KENNESAW,2,77.8,4,200,0,26,7,9,0,87,12.4
Eric Rivers,144279,WR,GA TECH,1,44.4,4,176,0,66,4,9,1,102,25.5
Ethan Conner,172347,TE,TROY,2,55.6,2,318,0,14,5,9,0,35,7.0
Keagan Johnson,144848,WR,NEW MEXICO,1,44.4,3,241,0,16,4,9,0,42,10.5
