player,player_id,position,team_name,player_game_count,attempts,first_downs,franchise_id,fumbles,longest,rec_yards,receptions,targets,total_touches,touchdowns,yards,ypa
Ahmani Marshall,123391,HB,WAKE,1,3,0,339,0,5,0,0,0,3,0,7,2.3
Johnny Richardson,123760,HB,UCF,1,3,1,323,0,38,29,3,3,6,0,40,13.3
Jaheim Bell,124225,TE,S CAROLINA,1,3,1,289,0,20,159,5,5,8,0,21,7.0
Rico Barfield,128012,HB,BALL ST,1,3,1,117,0,10,0,0,0,3,0,12,4.0
Arland Bruce IV,144849,WR,IOWA,2,3,1,192,0,20,34,6,9,9,1,23,7.7
Bryson Moss,145745,HB,E MICHIGAN,1,3,1,160,0,14,0,0,0,3,0,14,4.7
Malik Nabers,146759,WR,LSU,1,3,1,211,1,10,30,3,5,6,0,10,3.3
Gavin Wimsatt,155757,QB,RUTGERS,1,3,1,278,0,32,0,0,0,0,0,44,14.7
Calvin Brownholtz,83584,QB,UTEP,1,2,0,330,0,1,0,0,0,2,0,2,1.0
Deon Silas,144540,HB,IOWA STATE,1,2,0,193,0,5,-4,1,1,3,0,10,5.0
Brennan Presley,122982,WR,OKLA STATE,2,2,0,262,1,4,157,12,20,14,0,8,4.0
Grant Wells,97784,QB,MARSHALL,1,2,0,214,1,4,0,0,0,1,0,8,4.0
T.J. Finley,124093,QB,AUBURN,1,2,0,115,1,0,0,0,0,2,0,0,0.0
De'Vion Warren,61141,WR,ARKANSAS,1,2,0,111,0,1,33,3,3,5,0,-6,-3.0
Britain Covey,32933,WR,UTAH,2,2,0,328,0,8,106,8,12,9,0,10,5.0
Myles Price,123155,WR,TEXAS TECH,1,2,1,315,0,13,72,3,7,5,0,15,7.5
Willie Johnson,41116,WR,MARSHALL,1,2,1,214,0,19,0,0,4,2,0,21,10.5
Jack Coan,60613,QB,NOTRE DAME,1,2,0,258,0,4,0,0,0,0,0,6,3.0
Ja'Shaun Poke,100218,WR,KENT STATE,2,2,0,201,0,2,25,4,6,6,0,3,1.5
Parker Washington,129799,WR,PENN STATE,1,2,0,266,0,6,98,7,8,9,0,12,6.0
Kaegun Williams,57397,HB,S DIEGO ST,2,2,1,284,0,13,2,1,1,3,0,16,8.0
Brad Anderson,57302,HB,MIDDLE TN,1,2,0,224,0,4,3,1,1,3,0,8,4.0
Jamier Wright-Collins,129910,HB,RUTGERS,1,2,1,278,0,2,5,3,3,5,0,2,1.0
Will Rogers,124184,QB,MISS STATE,1,2,0,227,0,4,0,0,0,0,0,4,2.0
Jesiah Irish,84371,WR,OREGON ST,1,2,1,265,0,20,0,0,0,2,1,26,13.0
DJ Smith,130479,HB,E MICHIGAN,1,2,0,160,0,8,0,0,0,2,0,12,6.0
Dillon Doyle,81254,LB,BAYLOR,2,2,2,118,0,3,0,0,0,2,0,5,2.5
Marco Lee,123355,HB,VA TECH,1,2,1,337,0,9,0,0,0,2,0,12,6.0
Trelon Smith,57135,HB,ARKANSAS,1,2,0,111,0,4,0,0,0,2,0,6,3.0
Logan Bonner,39990,QB,UTAH ST,2,2,1,329,1,12,0,0,0,0,0,12,6.0
Davis Beville,99588,QB,PITTSBURGH,1,2,1,268,0,8,0,0,0,1,0,9,4.5
Malcolm Johnson Jr.,124402,WR,AUBURN,1,2,2,115,0,14,0,0,1,2,0,24,12.0
Trayvon Rudolph,130577,WR,N ILLINOIS,2,2,0,254,0,9,65,5,12,7,0,16,8.0
Isaiah Neyor,98033,WR,WYOMING,1,2,0,351,0,7,87,5,5,7,0,14,7.0
Jack Salopek,130662,QB,W MICHIGAN,1,2,0,347,0,-2,0,0,0,2,0,-5,-2.5
Chandler Smith,45291,HB,HOUSTON,2,2,1,182,0,12,0,0,0,2,0,12,6.0
Ben Bryant,77655,QB,E MICHIGAN,1,2,0,160,0,1,0,0,0,1,0,1,0.5
Jordan Addison,123000,WR,PITTSBURGH,2,2,1,268,0,28,240,15,24,17,0,33,16.5
Seven McGee,146562,HB,OREGON,2,2,0,264,0,6,25,2,3,4,0,8,4.0
Elijah Davis,83736,HB,DOMINION,1,2,0,263,0,3,2,1,1,3,0,1,0.5
Victor Gabalis,131932,QB,WASH STATE,1,2,0,341,1,1,0,0,0,1,0,2,1.0
Drake Maye,143969,QB,N CAROLINA,1,2,0,245,0,19,0,0,0,0,0,24,12.0
Darez Snider,128011,HB,MIAMI OH,1,2,0,221,0,5,0,0,0,2,0,5,2.5
Miyan Williams,62608,HB,OHIO STATE,1,2,1,260,0,10,0,0,0,2,0,17,8.5
Jackson Anthrop,41338,WR,PURDUE,1,2,0,273,0,2,74,5,7,7,0,2,1.0
Phil Mafah,144123,HB,CLEMSON,1,2,0,140,0,5,0,0,0,2,0,7,3.5
Jameson Williams,101701,WR,ALABAMA,3,2,1,103,0,18,302,17,22,19,0,27,13.5
Julius Davis,101649,HB,WISCONSIN,1,2,0,349,0,4,0,0,0,2,0,7,3.5
