player,player_id,position,team_name,player_game_count,assists,forced_fumbles,franchise_id,hits,interceptions,pass_break_ups,sacks,tackles
Jamorri Colson,174155,CB,WASH STATE,1,0,0,341,0,0,0,0,4
Kapena Gushiken,174157,CB,WASH STATE,1,0,0,341,0,0,0,0,2
Stephen Hall,174161,CB,WASH STATE,1,0,0,341,0,0,0,0,4
Christian Pierce,174174,S,USC,1,1,0,326,0,0,0,0,1
Lonnie Leverette,174179,DI,GA SOUTHRN,1,0,0,174,0,0,0,0,0
JaMari Whitehead,174182,LB,GA SOUTHRN,1,1,0,174,0,0,0,0,0
Troy Pikes,174194,DI,GA SOUTHRN,1,0,0,174,0,0,0,0,0
Kebba Secka,174196,ED,GA SOUTHRN,1,0,0,174,0,0,0,0,2
Davon Gilmore,174197,LB,GA SOUTHRN,1,2,0,174,0,0,0,1,3
Abraham Temoney III,174209,S,COAST CAR,1,0,0,141,0,0,0,0,1
Jordan Castell,174237,S,FLORIDA,1,1,0,163,0,0,1,0,3
Sharif Denson,174240,S,FLORIDA,1,1,0,163,0,0,0,0,0
Kamran James,174249,ED,FLORIDA,1,1,0,163,0,0,0,1,2
Dijon Johnson,174251,CB,FLORIDA,1,1,0,163,0,0,1,0,0
Jaden Robinson,174260,LB,FLORIDA,1,2,0,163,0,0,0,0,1
Sebastian Scott,174263,ED,FLORIDA,1,0,0,163,0,0,0,0,0
Layne Swafford,174265,ED,FLORIDA,1,0,0,163,0,0,0,0,0
Bryce Thornton,174266,S,FLORIDA,1,0,0,163,0,0,1,0,0
Lardarius Webb Jr.,174314,CB,S ALABAMA,1,0,0,288,1,0,0,0,3
Judge Collier,174319,CB,S CAROLINA,1,0,0,289,0,0,0,0,4
Jalon Kilgore,174323,CB,S CAROLINA,1,1,0,289,1,1,0,0,3
Xzavier McLeod,174324,DI,GEORGIA,2,2,0,173,0,0,0,0,2
Desmond Umeozulu,174327,ED,S CAROLINA,1,0,0,289,0,0,0,0,0
Brendan Bett,174627,DI,BAYLOR,1,0,0,118,0,0,0,0,0
DJ Coleman,174628,S,BAYLOR,1,2,0,118,0,0,1,0,2
Caden Jenkins,174630,CB,BAYLOR,1,0,0,118,0,0,1,0,3
Jacob Redding,174639,S,BAYLOR,1,0,0,118,0,0,0,0,0
Trent Thomas,174644,DI,BAYLOR,1,0,0,118,0,0,0,0,0
LeVar Thornton Jr.,174646,CB,BAYLOR,1,0,0,118,0,0,0,0,2
Carl Williams IV,174651,CB,BAYLOR,1,1,1,118,0,0,0,0,6
Rylan Barnes,174655,LB,IOWA STATE,2,0,0,193,1,0,0,0,1
Vince Benetti,174656,ED,IOWA STATE,1,0,0,193,0,0,0,0,0
Kooper Ebel,174665,LB,IOWA STATE,2,3,0,193,0,0,0,0,8
Zaimir Hawk,174670,DI,IOWA STATE,2,1,0,193,0,0,0,0,0
Ta'Shawn James,174672,S,IOWA STATE,2,2,0,193,0,0,0,0,11
Caden Matson,174677,CB,IOWA STATE,1,0,0,193,0,0,0,0,0
Beni Ngoyi,174680,WR,IOWA STATE,1,0,0,193,0,0,0,0,0
Jamison Patton,174683,S,IOWA STATE,2,2,0,193,0,0,0,0,3
Jack Sadowsky V,174685,LB,IOWA STATE,2,1,0,193,0,0,0,0,2
Cam Smith,174690,S,IOWA STATE,1,0,0,193,0,0,0,0,0
Drew Surges,174691,S,IOWA STATE,1,1,0,193,0,1,0,0,0
Stanquan Clark,174698,LB,LOUISVILLE,1,2,0,210,1,0,1,1,2
AJ Green,174704,ED,LOUISVILLE,1,1,0,210,0,0,0,1,1
Woo Spencer,174714,DI,LOUISVILLE,1,0,0,210,0,0,0,0,0
Jason Abbey,174772,ED,VA TECH,1,0,0,337,0,0,0,0,1
George Ballance,174775,LB,VA TECH,1,1,0,337,0,0,0,0,0
Josh Hand,174786,LB,VA TECH,1,0,0,337,0,0,0,0,1
Braylon Johnson,174790,S,VA TECH,1,1,0,337,0,0,0,0,2
Dante Lovett,174793,CB,VA TECH,1,3,0,337,0,1,0,0,5
Jonathan Pennix,174797,CB,VA TECH,1,0,0,337,0,0,0,0,0
Aycen Stevens,174799,ED,VA TECH,1,1,0,337,0,0,0,0,0
Thomas Williams,174800,CB,VA TECH,1,1,0,337,0,0,0,0,5
Caleb Woodson,174805,LB,VA TECH,1,4,0,337,0,0,1,0,3
Gafa Faga,174862,DI,S JOSE ST,1,2,0,285,1,0,0,0,2
Dylan Hampsten,174866,ED,S JOSE ST,1,0,0,285,0,0,0,0,0
Taniela Latu,174872,LB,S JOSE ST,1,0,0,285,0,0,0,0,4
