player,player_id,position,team_name,player_game_count,attempts,first_downs,franchise_id,fumbles,longest,rec_yards,receptions,targets,total_touches,touchdowns,yards,ypa
Mekhi Sargent,83684,HB,TEN,3,49,8,31,0,16,17,3,3,52,1,187,3.8
Nate McCrary,143789,HB,BLT,3,42,9,3,0,22,34,3,3,45,1,163,3.9
Asim Rose,40265,HB,MIN,3,37,10,18,0,32,38,3,5,40,2,151,4.1
Brian Hill,11911,HB,TEN,3,35,6,31,0,13,31,3,4,38,0,125,3.6
Ke'Shawn Vaughn,45866,HB,TB,3,35,5,30,0,7,19,3,4,38,1,74,2.1
JaMycal Hasty,25582,HB,SF,3,35,9,28,1,35,26,4,4,39,3,176,5.0
Wayne Gallman,11895,HB,SF,3,34,4,28,0,12,4,1,2,35,0,153,4.5
Damarea Crockett,27436,HB,DEN,3,34,6,10,0,17,27,4,5,38,0,114,3.4
Jaylen Samuels,47297,HB,PIT,4,31,5,25,0,12,42,4,4,35,1,89,2.9
Jacques Patrick,45704,HB,CIN,3,31,9,7,0,24,23,3,5,34,1,156,5.0
Rhamondre Stevenson,98689,HB,NE,3,30,10,19,1,91,25,3,4,33,5,217,7.2
Ty Johnson,45769,HB,NYJ,3,28,7,22,0,11,25,4,4,32,1,108,3.9
Benny LeMay,57184,HB,IND,3,28,6,14,0,14,19,4,6,32,1,83,3.0
Trey Ragas,42174,HB,LV,3,28,9,23,0,9,59,8,12,36,2,102,3.6
Jaret Patterson,77745,HB,WAS,3,28,9,32,0,14,70,10,13,38,1,110,3.9
Xavier Jones,45742,HB,LA,3,27,4,26,0,12,36,6,7,33,0,94,3.5
John Kelly Jr.,34761,HB,CLV,3,27,4,8,0,18,91,6,6,33,1,87,3.2
Gerrid Doaks,40903,HB,MIA,3,26,5,17,0,14,5,2,4,28,2,88,3.4
JaQuan Hardy,143793,HB,DAL,4,26,5,9,0,12,37,8,9,34,0,77,3.0
Chuba Hubbard,57373,HB,CAR,3,26,5,5,1,59,46,6,10,32,0,139,5.3
Scottie Phillips,83711,HB,HST,3,25,7,13,0,34,23,4,5,29,1,155,6.2
Brenden Knox,57287,HB,DAL,4,25,5,9,0,11,24,4,6,29,0,86,3.4
Michael Carter,57337,HB,NYJ,3,24,4,22,0,18,15,3,3,27,0,86,3.6
Ty'Son Williams,38287,HB,BLT,3,24,9,3,0,22,37,8,8,32,1,130,5.4
Chris Evans,27303,HB,CIN,3,24,4,7,0,17,62,5,6,29,1,70,2.9
Spencer Brown,57441,HB,CAR,3,24,5,5,0,20,1,1,1,25,1,84,3.5
B.J. Emmons,41603,HB,LV,3,24,6,23,2,22,10,1,2,25,1,90,3.8
Josh Johnson,88760,HB,SEA,3,23,5,29,0,9,23,4,4,27,0,75,3.3
