player,player_id,position,team_name,player_game_count,assists,forced_fumbles,franchise_id,hits,interceptions,pass_break_ups,sacks,tackles
Tuli Tuipulotu,131840,ED,LAC,17,10,1,27,8,0,1,9,19
Clark Phillips III,131871,CB,ATL,16,3,1,2,0,1,2,0,31
Chau Smith-Wade,131956,CB,CAR,10,7,0,5,0,1,0,0,30
Jaylen Watson,131960,CB,KC,6,2,0,16,0,0,4,0,27
Sam Webb,134606,CB,LV,3,0,0,23,0,0,0,0,0
Jermaine Jackson,141559,WR,NO,1,0,0,20,0,0,0,0,0
Myles Harden,141857,CB,CLV,4,1,0,8,0,0,0,0,3
Malik Mustapha,142358,S,SF,15,24,0,28,0,1,3,0,46
Kamren Kinchens,143946,S,LA,16,8,1,26,0,4,2,0,46
Leonard Taylor III,143953,DI,NYJ,14,5,0,22,1,0,0,2,17
James Williams,143955,LB,TEN,4,3,0,31,0,0,0,0,15
Jeremiah Trotter Jr.,144142,LB,PHI,7,4,0,24,0,0,1,1,14
Nate Wiggins,144143,CB,BLT,15,2,1,3,0,1,8,0,30
Cooper DeJean,144867,CB,PHI,15,10,1,24,0,0,5,1,40
Chop Robinson,144901,ED,MIA,17,5,0,17,7,0,0,7,13
Austin Booker,144990,ED,CHI,17,2,0,6,3,0,0,2,15
Michael Hall Jr.,145076,DI,CLV,8,5,0,8,4,0,0,1,9
Tre Hawkins III,145387,CB,NYG,2,2,0,21,0,1,1,0,9
Thomas Incoom,145694,ED,CAR,6,0,0,5,1,0,0,0,4
Bo Richter,145962,ED,MIN,4,1,0,18,0,0,0,0,2
Morice Norris Jr.,146033,S,DET,1,0,0,11,0,0,0,0,0
Calen Bullock,146424,S,HST,17,10,0,13,0,5,5,0,38
Cole Bishop,146454,S,BUF,11,6,0,4,0,0,1,0,26
Jonah Elliss,146458,ED,DEN,17,5,0,10,0,0,0,6,20
Jaden Hicks,146512,S,KC,15,5,0,16,0,3,1,0,20
Kool-Aid McKinstry,146602,CB,NO,14,6,0,20,0,0,5,0,31
Terrion Arnold,146603,CB,DET,16,11,0,11,0,0,8,0,48
Dallas Turner,146604,ED,MIN,16,5,0,18,2,1,0,3,10
Javon Bullard,146726,S,GB,15,15,0,12,0,0,1,0,66
Kamari Lassiter,146727,CB,HST,14,8,0,13,0,3,5,0,47
Trevin Wallace,146747,LB,CAR,11,16,1,5,0,0,0,1,43
Maason Smith,146774,DI,JAX,11,5,0,15,0,0,0,3,9
Marcellas Dial,146902,CB,NE,4,0,0,19,0,0,0,0,5
Byron Young,146932,ED,LA,17,17,1,26,7,0,0,9,37
Daijahn Anthony,147537,S,CIN,6,0,0,7,0,0,1,0,0
Julius Wood,151039,S,TEN,2,1,0,31,0,0,0,0,0
Sam Roberts,156069,DI,CAR,3,1,0,5,0,0,0,0,0
Kader Kohou,156070,CB,MIA,15,6,1,17,0,2,3,0,40
Joshua Williams,156083,CB,KC,12,3,0,16,0,0,4,1,22
Dallis Flowers,156091,CB,TB,4,0,0,30,0,0,0,0,9
Jeremiah Pharms Jr.,156117,DI,NE,16,10,0,19,3,0,0,2,21
Dondrea Tillman,156124,ED,DEN,12,8,0,10,3,0,0,5,8
Dee Williams,157609,CB,NYG,1,0,0,21,0,0,0,0,0
Levi Drake Rodriguez,165670,DI,MIN,1,0,0,18,0,0,0,0,1
Caleb Murphy,169634,ED,LAC,4,0,0,27,0,0,0,0,2
Qwan'tez Stiggers,169764,CB,NYJ,4,0,0,22,0,0,0,0,5
Trevor Nowaske,169859,ED,DET,13,3,0,11,2,1,0,2,11
