player,player_id,position,team_name,player_game_count,attempts,completion_percent,completions,first_downs,franchise_id,interceptions,qb_rating,sacks,touchdowns,yards,ypa
Drake Maye,143969,QB,NE,4,120,58.3,70,42,19,4,82.2,21,6,828,6.9
Matthew Stafford,4924,QB,LA,3,119,55.5,66,49,26,1,94.4,6,6,936,7.9
Sam Darnold,29048,QB,SEA,3,91,61.5,56,39,29,0,102.4,6,5,672,7.4
Caleb Williams,144622,QB,CHI,2,90,52.2,47,32,6,5,65.9,1,4,618,6.9
C.J. Stroud,129759,QB,HST,2,79,51.9,41,22,13,5,51.8,6,2,462,5.8
Josh Allen,46601,QB,BUF,2,74,71.6,53,27,4,2,99.8,4,4,556,7.5
Brock Purdy,77672,QB,SF,2,58,56.9,33,24,28,3,68.3,3,2,402,6.9
Bo Nix,97790,QB,DEN,1,46,56.5,26,15,10,1,87.1,0,3,279,6.1
Jordan Love,40306,QB,GB,1,46,52.2,24,16,12,0,103.8,1,4,323,7.0
Bryce Young,123943,QB,CAR,1,40,52.5,21,13,5,1,71.3,2,1,264,6.6
Jalen Hurts,40291,QB,PHI,1,35,57.1,20,8,24,0,79.2,1,1,168,4.8
Aaron Rodgers,2241,QB,PIT,1,33,51.5,17,6,25,1,50.8,4,0,146,4.4
Justin Herbert,28237,QB,LAC,1,31,61.3,19,12,27,0,74.5,6,0,159,5.1
Jarrett Stidham,13725,QB,DEN,1,31,54.8,17,8,10,1,63.0,3,1,133,4.3
Trevor Lawrence,77632,QB,JAX,1,30,60.0,18,12,15,2,86.4,1,3,207,6.9
Mac Jones,60323,QB,SF,1,4,50.0,2,1,28,0,56.3,0,0,4,1.0
Mason Rudolph,46569,QB,PIT,1,1,100.0,1,1,25,0,79.2,0,0,2,2.0
Jauan Jennings,48027,WR,SF,1,1,100.0,1,1,28,0,158.3,0,1,29,29.0
Efton Chism III,141521,WR,NE,1,1,0.0,0,0,19,0,39.6,0,0,0,0.0
