player,player_id,position,team_name,player_game_count,attempts,first_downs,franchise_id,fumbles,longest,rec_yards,receptions,targets,total_touches,touchdowns,yards,ypa
Caleb Huntley,57156,HB,ATL,3,38,8,2,0,21,0,0,0,38,1,138,3.6
John Kelly Jr.,34761,HB,CLV,3,37,8,8,0,16,24,4,6,41,1,117,3.2
Jason Huntley,45693,HB,PHI,3,35,8,24,1,67,61,8,10,43,2,163,4.7
Brittain Brown,40399,HB,LV,3,34,12,23,1,36,37,7,9,41,2,152,4.5
Malik Davis,57196,HB,DAL,3,31,7,9,0,16,27,5,7,36,1,132,4.3
Ke'Shawn Vaughn,45866,HB,TB,3,29,8,30,0,17,22,2,3,31,2,109,3.8
Tyler Goodson,101659,HB,GB,3,29,5,12,0,24,60,8,9,37,1,107,3.7
Abram Smith,57158,HB,NO,3,29,4,20,1,9,33,5,8,34,0,90,3.1
Snoop Conner,99163,HB,JAX,4,29,0,15,0,9,24,6,7,35,0,65,2.2
DeeJay Dallas,55632,HB,SEA,3,28,8,29,0,27,78,7,8,35,1,163,5.8
Aaron Shampklin,148900,HB,DAL,3,28,2,9,0,16,0,1,1,29,0,106,3.8
Devine Ozigbo,45903,HB,DEN,3,28,5,10,0,26,30,7,9,35,0,125,4.5
Hassan Haskins,83701,HB,TEN,3,27,2,31,0,10,53,8,8,35,0,69,2.6
Royce Freeman,45747,HB,HST,3,27,4,13,0,14,42,5,5,32,0,75,2.8
Keaontay Ingram,77761,HB,ARZ,3,27,5,1,0,11,46,5,7,32,1,97,3.6
Julius Chestnut,109239,HB,TEN,3,26,5,31,1,29,22,3,4,29,1,106,4.1
Zamir White,83665,HB,LV,4,25,6,23,0,14,31,6,8,31,2,78,3.1
Tyrion Davis-Price,99169,HB,SF,3,24,5,28,0,14,16,2,3,26,0,74,3.1
Raheem Blackshear,57385,HB,BUF,3,24,7,4,0,25,93,8,9,32,2,116,4.8
Tyler Badie,83714,HB,BLT,3,23,4,3,0,12,14,4,5,27,0,65,2.8
Austin Walter,45038,HB,LV,4,23,4,23,1,22,13,4,5,27,1,104,4.5
John Lovett,57157,HB,CAR,3,23,3,5,0,11,36,4,5,27,0,57,2.5
Kennedy Brooks,57371,HB,PHI,3,22,3,24,0,8,11,4,6,26,0,75,3.4
Trayveon Williams,45775,HB,CIN,3,22,2,7,0,8,55,6,6,28,1,64,2.9
Jermar Jefferson,83740,HB,DET,3,22,2,11,0,27,4,5,6,27,0,72,3.3
Rico Dowdle,40693,HB,DAL,2,22,6,9,0,15,8,1,1,23,1,80,3.6
Jashaun Corbin,83773,HB,NYG,3,21,6,21,0,11,76,14,15,35,2,73,3.5
Marlon Mack,11898,HB,HST,3,21,4,13,0,24,0,0,0,21,0,90,4.3
Bryant Koback,57266,HB,MIN,3,21,3,18,0,13,21,4,6,25,1,67,3.2
De'Montre Tuggle,98688,HB,CHI,3,21,4,6,1,10,0,0,0,21,0,75,3.6
Duke Johnson Jr.,9510,HB,BUF,3,21,7,4,0,10,3,2,4,23,2,84,4.0
Trey Ragas,42174,HB,LA,3,21,7,26,1,9,1,1,1,22,1,75,3.6
Rachaad White,131633,HB,TB,3,19,2,30,1,12,32,4,5,23,0,60,3.2
Jordan Mason,62946,HB,SF,3,19,6,28,0,17,-1,1,2,20,0,94,4.9
Darrynton Evans,40692,HB,CHI,3,19,4,6,0,11,27,6,9,25,1,77,4.1
Tony Jones Jr.,40498,HB,NO,3,19,2,20,0,8,45,6,6,25,0,69,3.6
Jerome Ford,83601,HB,CLV,2,19,4,8,1,41,71,8,9,27,1,88,4.6
Trey Sermon,57372,HB,SF,3,19,4,28,0,12,14,3,4,22,0,39,2.1
Jake Funk,45835,HB,LA,3,19,1,26,1,6,14,3,4,22,0,47,2.5
Ian Book,40216,QB,NO,3,18,7,20,3,30,-2,1,1,8,0,121,6.7
Qadree Ollison,45934,HB,ATL,3,18,4,2,0,18,9,2,4,20,1,77,4.3
Bryce Perkins,35299,QB,LA,3,18,8,26,2,11,0,0,0,7,2,73,4.1
Chris Evans,27303,HB,CIN,3,18,0,7,0,8,25,6,6,24,0,10,0.6
Justin Jackson,29539,HB,DET,3,18,5,11,0,21,39,2,2,20,0,109,6.1
Patrick Taylor,40448,HB,GB,3,18,4,12,0,11,17,3,6,21,0,71,3.9
Tyler Allgeier,83639,HB,ATL,3,17,3,2,0,15,14,4,4,21,1,68,4.0
Travis Etienne Jr.,57185,HB,JAX,2,17,2,15,0,12,10,1,2,18,0,52,3.1
Phillip Lindsay,12660,HB,IND,3,16,4,14,0,10,14,3,5,19,1,55,3.4
Craig Reynolds,94383,HB,DET,3,16,5,11,0,17,23,5,5,21,0,81,5.1
Darwin Thompson,83791,HB,SEA,3,16,5,29,0,16,9,2,3,18,1,72,4.5
Isiah Pacheco,83747,HB,KC,3,16,2,16,0,13,21,3,3,19,0,66,4.1
Mekhi Sargent,83684,HB,JAX,4,16,3,15,0,11,67,10,11,26,0,53,3.3
Jaylen Warren,98692,HB,PIT,3,16,1,25,1,13,54,7,7,23,0,48,3.0
Jaret Patterson,77745,HB,WAS,3,16,6,32,0,14,47,5,5,21,1,63,3.9
Joshua Kelley,13750,HB,LAC,3,16,1,27,0,15,29,4,5,20,0,74,4.6
Antonio Williams,40197,HB,NYG,3,16,4,21,1,19,45,8,8,24,1,93,5.8
Pierre Strong Jr.,66619,HB,NE,3,15,3,19,0,9,13,3,4,18,0,52,3.5
Bam Knight,97432,HB,NYJ,3,15,4,22,0,22,0,0,0,15,1,53,3.5
Ty Chandler,62942,HB,MIN,3,15,6,18,0,25,4,2,2,17,1,113,7.5
Trestan Ebner,57159,HB,CHI,2,15,2,6,0,27,12,1,1,16,0,60,4.0
Brian Robinson,57120,HB,WAS,2,14,5,32,0,11,15,2,2,16,1,57,4.1
Chuba Hubbard,57373,HB,CAR,3,14,3,5,0,7,21,4,8,18,0,37,2.6
Chase Garbers,60356,QB,LV,4,14,2,23,0,28,0,0,0,7,0,59,4.2
Malik Willis,60341,QB,TEN,3,14,5,31,0,50,0,0,0,3,1,159,11.4
J.J. Taylor,25512,HB,NE,3,14,3,19,0,15,33,3,4,17,0,56,4.0
Myles Gaskin,45914,HB,MIA,3,14,3,17,1,20,6,1,2,15,0,78,5.6
Breece Hall,97636,HB,NYJ,3,14,4,22,0,11,0,0,0,14,0,29,2.1
Patrick Laird,28219,HB,TB,2,13,2,30,0,8,20,4,4,17,0,35,2.7
Larry Rountree III,57308,HB,LAC,3,13,1,27,0,5,12,3,4,16,1,31,2.4
Spencer Brown,57441,HB,CAR,2,13,4,5,0,11,10,2,3,15,1,43,3.3
La'Mical Perine,26408,HB,NYJ,3,13,3,22,0,14,0,0,0,13,1,60,4.6
D'Onta Foreman,11844,HB,CAR,3,13,1,5,0,5,10,2,2,15,0,27,2.1
Kenneth Gainwell,77737,HB,PHI,2,13,5,24,0,16,8,2,2,15,1,46,3.5
Mike Boone,31615,HB,DEN,3,13,4,10,0,16,20,3,4,16,0,54,4.2
Reggie Bonnafon,47542,HB,WAS,3,13,5,32,0,5,38,4,5,17,0,30,2.3
Mike Davis,9559,HB,BLT,3,13,1,3,0,9,5,1,1,14,1,40,3.1
Sam Howell,97599,QB,WAS,3,13,7,32,0,17,0,0,0,3,2,94,7.2
Kevin Harris,99141,HB,NE,3,13,3,19,1,33,13,3,4,16,1,80,6.2
Isaiah Spiller,99146,HB,LAC,2,13,2,27,0,6,10,1,2,14,0,37,2.8
Gerrid Doaks,40903,HB,MIA,2,13,5,17,0,9,1,1,2,14,0,71,5.5
Jacques Patrick,45704,HB,CIN,3,13,4,7,0,17,49,4,4,17,2,58,4.5
Kene Nwangwu,40547,HB,MIN,3,13,3,18,1,12,26,4,5,17,0,59,4.5
Raymond Calais,45828,HB,LA,2,12,2,26,0,7,10,2,4,14,0,39,3.3
Ronald Jones,34001,HB,KC,3,12,1,16,0,9,7,2,2,14,0,44,3.7
Travis Homer,45859,HB,SEA,3,12,4,29,0,33,48,5,5,17,0,90,7.5
Eno Benjamin,57136,HB,ARZ,3,12,2,1,0,8,25,2,3,14,0,35,2.9
Khalil Herbert,41668,HB,CHI,3,12,1,6,0,8,27,4,6,16,0,41,3.4
Rex Burkhead,7971,HB,HST,2,12,1,13,1,7,12,4,4,16,0,33,2.8
D'Ernest Johnson,45734,HB,CLV,3,12,3,8,1,11,5,2,2,14,0,53,4.4
Ryquell Armstead,45810,HB,JAX,4,12,2,15,0,11,16,4,7,16,0,41,3.4
Kenyan Drake,10707,HB,LV,3,12,2,23,0,7,27,5,5,17,0,30,2.5
Anthony McFarland Jr.,57289,HB,PIT,3,11,3,25,0,24,14,2,2,13,0,63,5.7
Asim Rose,40265,HB,LA,2,11,2,26,0,9,0,0,0,11,1,29,2.6
JaQuan Hardy,143793,HB,DEN,3,11,1,10,0,16,32,7,9,18,0,35,3.2
Dameon Pierce,83659,HB,HST,2,11,5,13,0,20,0,0,1,11,1,86,7.8
Salvon Ahmed,57472,HB,MIA,3,11,2,17,0,14,26,4,5,15,0,50,4.5
Deon Jackson,57189,HB,IND,3,11,1,14,0,4,47,6,7,17,1,14,1.3
Dexter Williams,45913,HB,GB,3,11,2,12,0,25,0,0,2,11,0,60,5.5
Ty'Son Williams,38287,HB,IND,3,11,2,14,0,9,15,1,1,12,0,26,2.4
D'vonte Price,55158,HB,IND,3,11,0,14,0,10,11,4,5,15,0,40,3.6
Godwin Igwebuike,49166,HB,DET,3,11,3,11,0,17,15,1,2,12,1,37,3.4
Stevie Scott III,83680,HB,DEN,2,11,0,10,0,8,10,3,5,14,0,33,3.0
Trace McSorley,32819,QB,ARZ,3,10,3,1,0,16,0,0,0,5,1,42,4.2
James Cook,83666,HB,BUF,3,10,2,4,0,19,17,3,3,13,0,56,5.6
Boston Scott,39462,HB,PHI,1,10,3,24,0,13,11,1,1,11,1,33,3.3
Tayon Fleet-Davis,57290,HB,KC,3,10,1,16,1,3,14,3,6,13,1,2,0.2
Ty Johnson,45769,HB,NYJ,2,10,1,22,0,9,3,1,1,11,0,23,2.3
Shane Buechele,12659,QB,KC,3,10,2,16,0,13,0,0,0,2,0,45,4.5
Brock Purdy,77672,QB,SF,3,10,0,28,2,8,0,0,0,6,0,14,1.4
Nate McCrary,143789,HB,BLT,3,10,4,3,0,21,8,3,3,13,0,41,4.1
Gary Brightwell,57133,HB,NYG,2,9,2,21,0,16,23,3,4,12,0,51,5.7
Mark Ingram II,6180,HB,NO,1,9,5,20,0,9,0,0,0,9,2,34,3.8
Jonathan Williams,10790,HB,WAS,2,9,4,32,0,13,9,1,2,10,0,43,4.8
Dwayne Washington,10870,HB,NO,1,9,2,20,1,5,18,3,3,12,0,19,2.1
Dare Ogunbowale,12329,HB,HST,3,9,3,13,0,11,20,2,2,11,0,40,4.4
Danny Etling,23519,QB,GB,3,9,3,12,0,51,0,0,0,7,1,73,8.1
Jonathan Ward,25859,HB,ARZ,2,9,3,1,0,5,53,3,3,12,2,26,2.9
Sony Michel,27589,HB,MIA,3,9,1,17,0,6,4,1,1,10,1,13,1.4
