player,player_id,position,team_name,player_game_count,attempts,completion_percent,completions,first_downs,franchise_id,interceptions,qb_rating,sacks,touchdowns,yards,ypa
Brady White,25506,QB,MEMPHIS,10,387,59.9,232,152,218,9,99.8,19,28,3099,8.0
Kyle Trask,39987,QB,FLORIDA,10,370,70.0,259,177,163,5,132.6,15,40,3712,10.0
Shane Buechele,12659,QB,SMU,10,370,65.1,241,143,287,6,105.2,19,23,3093,8.4
Dillon Gabriel,86272,QB,UCF,9,368,61.7,227,145,323,4,114.1,21,30,3352,9.1
Chase Brice,60363,QB,DUKE,11,352,54.3,191,113,154,15,64.7,33,10,2169,6.2
Jarret Doege,60353,QB,W VIRGINIA,9,350,63.7,223,114,343,3,92.8,17,13,2418,6.9
Phil Jurkovec,83533,QB,BOSTON COL,10,337,60.8,205,130,121,5,95.0,24,17,2558,7.6
Kenny Pickett,60515,QB,PITTSBURGH,9,333,61.0,203,115,268,9,84.8,21,13,2407,7.2
Carson Strong,83524,QB,NEVADA,8,327,69.4,227,112,239,4,110.2,19,22,2584,7.9
Connor Bazelak,99135,QB,MISSOURI,10,324,67.3,218,122,229,6,88.1,12,7,2367,7.3
Charlie Brewer,60344,QB,BAYLOR,9,321,61.7,198,101,118,8,82.9,34,14,1948,6.1
Bo Nix,97790,QB,AUBURN,10,319,59.2,189,111,115,7,81.5,16,11,2121,6.6
D'Eriq King,26636,QB,MIAMI FL,10,318,62.9,200,121,220,5,104.7,26,22,2570,8.1
Will Rogers,124184,QB,MISS STATE,8,318,69.5,221,92,227,7,85.3,16,10,1831,5.8
Sam Howell,97599,QB,N CAROLINA,11,316,69.0,218,154,245,6,123.9,29,27,3321,10.5
Sam Ehlinger,60555,QB,TEXAS,9,307,59.9,184,124,311,5,105.0,23,25,2400,7.8
Malik Cunningham,60436,QB,LOUISVILLE,11,305,63.9,195,141,210,12,96.6,34,20,2615,8.6
Gunnar Watson,83570,QB,TROY,9,301,70.1,211,110,318,7,98.2,15,16,2140,7.1
Brock Purdy,77672,QB,IOWA STATE,10,296,65.9,195,123,193,6,99.7,10,17,2273,7.7
Ken Seals,124359,QB,VANDERBILT,9,293,63.5,186,98,333,10,81.8,18,12,1929,6.6
Chevan Cordeiro,75886,QB,HAWAII,8,292,61.6,180,104,180,6,85.2,28,11,1947,6.7
Asher O'Hara,78529,QB,MIDDLE TN,9,290,66.2,192,98,224,8,87.7,23,12,1961,6.8
Ian Book,40216,QB,NOTRE DAME,10,288,62.8,181,131,258,2,103.3,18,15,2379,8.3
Mac Jones,60323,QB,ALABAMA,10,287,75.6,217,152,103,3,140.2,6,27,3315,11.6
Brady McBride,77641,QB,TEXAS ST,9,282,61.3,173,99,314,7,91.3,22,17,1921,6.8
Matt Corral,83517,QB,OLE MISS,9,280,71.4,200,143,226,13,119.0,21,27,2998,10.7
Zac Thomas,39989,QB,APP STATE,11,279,63.8,178,112,108,11,92.4,22,19,2070,7.4
Levi Lewis,60428,QB,LA LAFAYET,10,276,59.4,164,104,207,7,93.6,8,17,2122,7.7
Kellen Mond,60556,QB,TEXAS A&M,9,272,63.2,172,106,312,3,104.9,5,19,2050,7.5
Cornelious Brown IV,98356,QB,GA STATE,9,272,58.8,160,89,175,9,85.5,13,14,2028,7.5
Holton Ahlers,77651,QB,E CAROLINA,8,269,61.3,165,94,156,9,91.3,19,18,1920,7.1
Brennan Armstrong,77696,QB,VIRGINIA,9,269,58.4,157,101,335,11,88.7,19,18,2114,7.9
Tyrrell Pigrome,46511,QB,W KENTUCKY,10,265,58.5,155,78,346,0,84.6,17,9,1425,5.4
Logan Bonner,39990,QB,ARK STATE,11,264,59.1,156,105,113,6,94.3,13,18,1885,7.1
Spencer Rattler,97408,QB,OKLAHOMA,9,260,68.5,178,122,261,7,118.9,20,24,2512,9.7
Jeff Sims,122496,QB,GA TECH,10,257,54.5,140,95,176,13,73.7,24,13,1879,7.3
Trevor Lawrence,77632,QB,CLEMSON,8,254,68.1,173,111,140,3,120.0,10,20,2431,9.6
Sean Clifford,51708,QB,PENN STATE,9,253,60.5,153,99,266,9,89.9,23,16,1890,7.5
Colby Suits,82143,QB,LA MONROE,8,252,60.3,152,80,209,7,76.8,16,8,1541,6.1
Clayton Tune,77652,QB,HOUSTON,7,249,60.2,150,101,182,7,88.5,12,13,1824,7.3
Spencer Petras,82136,QB,IOWA,8,248,56.9,141,87,192,5,79.4,10,9,1563,6.3
Desmond Trotter,83552,QB,S ALABAMA,10,248,64.5,160,89,288,4,96.1,32,11,1917,7.7
Max Duggan,99470,QB,TCU,10,242,59.9,145,78,305,4,89.9,21,10,1802,7.4
Feleipe Franks,40217,QB,ARKANSAS,9,238,68.1,162,97,111,4,111.9,31,17,2072,8.7
Sam Hartman,77618,QB,WAKE,8,237,58.6,139,90,339,1,96.8,25,10,1906,8.0
Alan Bowman,77679,QB,TEXAS TECH,8,233,64.4,150,77,315,7,86.1,2,10,1601,6.9
Frank Harris,60586,QB,UTSA,10,232,62.9,146,85,331,5,85.4,13,10,1419,6.1
Jake Haener,60596,QB,FRESNO ST,6,232,64.7,150,97,169,5,103.4,23,14,2019,8.7
Michael Pratt,123229,QB,TULANE,9,229,55.9,128,95,319,5,95.6,25,18,1638,7.2
Grant Wells,97784,QB,MARSHALL,8,226,63.3,143,92,214,9,95.7,7,16,1837,8.1
Bailey Hockman,60383,QB,NC STATE,9,225,63.1,142,95,248,8,90.8,20,12,1793,8.0
Luke Anthony,41127,QB,LA TECH,9,221,62.4,138,74,208,5,96.7,23,16,1479,6.7
Noah Vedral,55406,QB,RUTGERS,7,220,61.4,135,63,278,8,75.8,16,9,1270,5.8
Michael Penix Jr.,82134,QB,INDIANA,6,220,56.4,124,76,190,4,93.8,7,14,1645,7.5
