player,player_id,position,team_name,player_game_count,caught_percent,first_downs,franchise_id,fumbles,longest,receptions,targets,touchdowns,yards,yards_per_reception
Tyler Warren,129798,TE,PENN STATE,3,65.5,12,266,0,28,19,29,2,219,11.5
Coleman Owen,104969,WR,OHIO,2,61.5,9,259,0,34,16,26,1,214,13.4
Matthew Golden,156165,WR,TEXAS,3,68.0,14,311,0,54,17,25,1,362,21.3
Harold Fannin Jr.,163104,TE,BOWL GREEN,1,77.3,10,122,1,35,17,22,1,213,12.5
DeAndre Moore Jr.,173164,WR,TEXAS,3,68.2,6,311,0,41,15,22,2,170,11.3
Tez Johnson,123709,WR,OREGON,2,76.2,7,264,0,48,16,21,1,213,13.3
Mario Williams,144620,WR,TULANE,2,57.1,7,319,0,42,12,21,2,200,16.7
Cam Vaughn,170441,WR,JVILLE ST,2,65.0,8,196,0,75,13,20,2,274,21.1
Jeremiah Smith,183710,WR,OHIO STATE,3,65.0,11,260,0,56,13,20,3,278,21.4
Emeka Egbuka,145055,WR,OHIO STATE,3,88.9,7,260,1,42,16,18,1,187,11.7
Jaden Greathouse,171085,WR,NOTRE DAME,3,88.2,9,258,0,54,15,17,3,239,15.9
Mitchell Evans,147486,TE,NOTRE DAME,3,70.6,6,258,0,33,12,17,0,132,11.0
Junior Vandeross III,163156,WR,TOLEDO,1,75.0,7,316,0,67,12,16,1,194,16.2
Jaylin Noel,125155,WR,IOWA STATE,2,81.3,6,193,0,49,13,16,2,181,13.9
Kisean Johnson,141735,WR,W KENTUCKY,2,62.5,4,346,0,36,10,16,1,95,9.5
Easton Messer,163051,WR,W KENTUCKY,2,62.5,6,346,0,30,10,16,0,151,15.1
Carnell Tate,170273,WR,OHIO STATE,3,66.7,8,260,0,20,10,15,0,132,13.2
Harrison Wallace III,145090,WR,PENN STATE,3,46.7,6,266,0,20,7,15,1,96,13.7
Kyle Williams,128374,WR,WASH STATE,1,66.7,6,341,0,66,10,15,1,172,17.2
Quintrevion Wisner,176190,HB,TEXAS,3,92.9,4,311,0,24,13,14,0,97,7.5
Ryan Wingo,184520,WR,TEXAS,3,28.6,3,311,0,27,4,14,0,61,15.3
Hudson Clement,173172,WR,W VIRGINIA,1,78.6,8,343,0,37,11,14,2,166,15.1
Matt Coleman,157831,WR,S JOSE ST,1,85.7,8,285,0,23,12,14,1,117,9.8
Melquan Stovall,74267,WR,ARIZONA ST,2,78.6,3,110,0,63,11,14,0,125,11.4
Sean Atkins,101127,WR,USF,1,78.6,3,327,0,42,11,14,0,104,9.5
Dillon Bell,163734,WR,GEORGIA,2,46.2,3,173,0,12,6,13,0,33,5.5
Jerjuan Newton,97308,WR,TOLEDO,1,61.5,5,316,0,29,8,13,0,84,10.5
Traeshon Holden,123917,WR,OREGON,2,69.2,6,264,0,44,9,13,2,137,15.2
Ricky White,129639,WR,UNLV,1,33.3,0,325,0,9,4,12,0,21,5.3
Aaron Anderson,157010,WR,LSU,1,66.7,3,211,1,32,8,12,0,90,11.3
Giles Jackson,101695,WR,WASHINGTON,1,91.7,6,340,0,49,11,12,4,161,14.6
Corey Rucker,121539,WR,ARK STATE,1,33.3,4,113,0,79,4,12,2,107,26.8
Cam Skattebo,147787,HB,ARIZONA ST,2,75.0,3,110,0,33,9,12,1,75,8.3
Chase Hendricks,171348,WR,OHIO,2,66.7,4,259,0,17,8,12,0,78,9.8
Nicholas Singleton,164188,HB,PENN STATE,3,50.0,2,266,0,23,6,12,1,76,12.7
Carlos Hernandez,174167,WR,WASH STATE,1,72.7,4,341,0,42,8,11,1,80,10.0
Josh Cameron,144513,WR,BAYLOR,1,72.7,7,118,0,21,8,11,1,111,13.9
Marquis Johnson,175906,WR,MISSOURI,1,63.6,7,229,0,44,7,11,1,122,17.4
Brashard Smith,143951,HB,SMU,1,63.6,4,287,0,10,7,11,1,38,5.4
Matt Lauter,145992,TE,BOISE ST,2,81.8,4,120,0,53,9,11,1,158,17.6
Ashtyn Hawkins,147222,WR,BAYLOR,1,36.4,3,118,0,35,4,11,1,55,13.8
Bryant Wesco Jr.,183206,WR,CLEMSON,1,72.7,6,140,0,43,8,11,2,142,17.8
Jeremiah Webb,104838,WR,S ALABAMA,1,60.0,6,288,0,52,6,10,2,182,30.3
Makai Lemon,174150,WR,USC,1,60.0,4,326,0,33,6,10,0,99,16.5
Jacob De Jesus,174068,WR,UNLV,2,40.0,4,325,0,29,4,10,1,56,14.0
Jordan Moore,143865,WR,DUKE,1,50.0,3,154,0,22,5,10,1,63,12.6
Cam Camper,156414,WR,BOISE ST,2,70.0,3,120,0,45,7,10,0,92,13.1
Latrell Caples,128119,WR,BOISE ST,2,60.0,4,120,0,22,6,10,1,67,11.2
Roderick Daniels Jr.,144356,WR,SMU,1,80.0,6,287,0,37,8,10,1,97,12.1
Jaydon Blue,157303,HB,TEXAS,3,80.0,3,311,1,26,8,10,2,63,7.9
Caleb Douglas,157740,WR,TEXAS TECH,1,50.0,4,315,0,47,5,10,0,115,23.0
Gabe Burkle,157578,TE,IOWA STATE,2,90.0,5,193,0,22,9,10,1,88,9.8
Jhari Patterson,151053,WR,E CAROLINA,1,80.0,3,156,0,13,8,10,0,30,3.8
Jaden Williams,143844,WR,TEXAS ST,1,80.0,6,314,0,70,8,10,1,155,19.4
Lance LeGendre,97779,WR,LA LAFAYET,2,50.0,2,207,0,47,5,10,0,93,18.6
Javon Tracy,158028,WR,MIAMI OH,1,70.0,3,221,0,15,7,10,0,58,8.3
Jayden Higgins,150240,WR,IOWA STATE,1,70.0,6,193,0,25,7,10,0,115,16.4
Tru Edwards,146058,WR,LA TECH,1,80.0,4,208,0,26,8,10,0,92,11.5
Ian Strong,170319,WR,RUTGERS,1,50.0,3,278,0,60,5,10,0,105,21.0
Chamon Metayer,144230,TE,ARIZONA ST,2,40.0,0,110,0,7,4,10,0,21,5.3
Corey Thompson Jr.,174081,WR,UNLV,2,20.0,1,325,0,29,2,10,0,32,16.0
Joshua Simon,98358,TE,S CAROLINA,1,66.7,4,289,1,24,6,9,1,69,11.5
Omari Evans,164168,WR,PENN STATE,3,33.3,3,266,0,38,3,9,2,77,25.7
Gunnar Helm,144726,TE,TEXAS,3,66.7,5,311,0,34,6,9,1,109,18.2
Cayden Lee,172521,WR,OLE MISS,1,88.9,5,226,0,13,8,9,0,57,7.1
Kyle Ford,71304,WR,USC,1,66.7,3,326,0,23,6,9,1,59,9.8
Theo Wease Jr.,98005,WR,MISSOURI,1,55.6,4,229,0,23,5,9,1,75,15.0
Miles Coleman,190604,WR,N TEXAS,1,66.7,5,251,0,46,6,9,1,104,17.3
David Amador II,174085,WR,UTSA,1,77.8,5,331,0,38,7,9,0,110,15.7
Eric McAlister,145976,WR,TCU,1,88.9,7,305,0,25,8,9,1,87,10.9
Arian Smith,124039,WR,GEORGIA,2,66.7,3,173,0,67,6,9,0,108,18.0
Terrance Ferguson,146563,TE,OREGON,2,88.9,7,264,0,25,8,9,1,101,12.6
TreyShun Hurry,159085,WR,S JOSE ST,1,44.4,2,285,1,28,4,9,0,62,15.5
Derwin Burgess Jr.,147111,WR,GA SOUTHRN,1,66.7,4,174,0,17,6,9,0,56,9.3
Prince Strachan,173451,WR,BOISE ST,2,66.7,5,120,0,13,6,9,0,58,9.7
Omarion Dollison,123280,WR,JAMES MAD,1,66.7,3,197,0,33,6,9,0,82,13.7
Noah Whittington,123472,HB,OREGON,2,77.8,1,264,0,8,7,9,0,31,4.4
Cade McDonald,101725,WR,MIAMI OH,2,55.6,3,221,0,14,5,9,0,42,8.4
Lewis Bond,143817,WR,BOSTON COL,1,77.8,5,121,0,23,7,9,0,99,14.1
Eli Pancol,97995,WR,DUKE,1,55.6,3,154,0,18,5,9,0,57,11.4
Elijah Spencer,145575,WR,MINNESOTA,1,66.7,5,225,0,26,6,9,2,81,13.5
Noah Thomas,158678,WR,TEXAS A&M,1,55.6,4,312,0,9,5,9,2,29,5.8
Grayson Barnes,171301,TE,N ILLINOIS,1,66.7,4,254,0,26,6,9,2,57,9.5
Trevor Etienne,157730,HB,GEORGIA,2,100.0,3,173,0,12,9,9,0,54,6.0
Jordan Ross,191068,WR,COLO STATE,1,44.4,2,144,0,30,4,9,0,58,14.5
Jabre Barber,123689,WR,TEXAS A&M,1,77.8,3,312,0,16,7,9,1,48,6.9
Elijah Young,124223,HB,W KENTUCKY,2,87.5,0,346,0,13,7,8,0,12,1.7
Dymere Miller,142935,WR,RUTGERS,1,25.0,2,278,0,16,2,8,0,26,13.0
T.J. Moore,189369,WR,CLEMSON,1,37.5,2,140,0,12,3,8,0,31,10.3
Xavier Guillory,141590,WR,ARIZONA ST,2,62.5,3,110,0,21,5,8,2,48,9.6
Landon Sides,173213,WR,N TEXAS,1,62.5,4,251,0,42,5,8,1,89,17.8
Chimere Dike,129918,WR,FLORIDA,1,75.0,4,163,0,38,6,8,0,96,16.0
Rodney Gallagher III,173178,WR,W VIRGINIA,1,62.5,2,343,0,27,5,8,0,59,11.8
Zion Ragins,188780,WR,OKLAHOMA,1,50.0,1,261,0,8,4,8,0,20,5.0
Jackson Meeks,146714,WR,SYRACUSE,1,62.5,5,304,0,41,5,8,0,110,22.0
Rahkeem Smith,161339,WR,BOWL GREEN,1,87.5,4,122,0,23,7,8,1,97,13.9
Tychaun Chapman,162741,WR,MARSHALL,1,100.0,2,214,0,37,8,8,1,86,10.8
Michael Mathison,100275,WR,W KENTUCKY,2,62.5,2,346,0,11,5,8,0,32,6.4
Aneyas Williams,184108,HB,NOTRE DAME,3,87.5,2,258,0,36,7,8,0,71,10.1
Damon Ward Jr.,100880,WR,N TEXAS,1,62.5,5,251,0,57,5,8,0,133,26.6
Anthony Torres,77939,TE,TOLEDO,1,50.0,2,316,0,27,4,8,1,42,10.5
Simeon Evans,147304,WR,SM HOUSTON,1,87.5,3,281,0,33,7,8,1,85,12.1
Ryan Coleman-Williams,191142,WR,ALABAMA,1,37.5,0,103,0,5,3,8,0,8,2.7
Ja'Kobi Lane,176638,WR,USC,1,87.5,6,326,0,33,7,8,3,127,18.1
Raphael Williams Jr.,149997,WR,PITTSBURGH,1,37.5,2,268,0,16,3,8,1,36,12.0
Josh Dallas,158343,WR,GA SOUTHRN,1,62.5,3,174,0,17,5,8,1,46,9.2
Jarod Bowie,170410,WR,JVILLE ST,2,50.0,3,196,0,58,4,8,0,105,26.3
Hal Presley,144507,WR,BAYLOR,1,37.5,2,118,0,20,3,8,0,40,13.3
Jordan Watkins,122730,WR,OLE MISS,1,87.5,7,226,0,69,7,8,2,180,25.7
Anthony Smith,122885,WR,E CAROLINA,1,37.5,2,156,0,16,3,8,0,32,10.7
Jordan Faison,171081,WR,NOTRE DAME,3,87.5,4,258,0,14,7,8,0,77,11.0
Roc Taylor,144283,WR,MEMPHIS,1,62.5,4,218,0,48,5,8,0,116,23.2
Yulkeith Brown,146985,WR,TULANE,2,50.0,1,319,1,12,4,8,0,30,7.5
Jimmy Holiday,124281,WR,LA TECH,1,37.5,1,208,0,14,3,8,0,23,7.7
