player,player_id,position,team_name,player_game_count,attempts,first_downs,franchise_id,fumbles,longest,rec_yards,receptions,targets,total_touches,touchdowns,yards,ypa
Saquon Barkley,45791,HB,PHI,16,345,82,24,2,72,278,33,39,378,13,2005,5.8
Derrick Henry,10679,HB,BLT,17,325,93,3,3,87,193,19,21,344,16,1921,5.9
Kyren Williams,97118,HB,LA,16,316,84,26,5,30,182,34,38,350,14,1299,4.1
Bijan Robinson,123126,HB,ATL,17,304,81,2,1,37,431,61,70,365,14,1456,4.8
Jonathan Taylor,57488,HB,IND,14,303,71,14,4,70,136,18,30,321,11,1431,4.7
Josh Jacobs,45953,HB,GB,17,301,73,12,4,38,342,36,41,337,15,1329,4.4
Najee Harris,57121,HB,PIT,17,263,50,25,0,36,283,36,46,299,6,1043,4.0
Tony Pollard,27126,HB,TEN,16,260,53,31,2,41,238,41,55,301,5,1079,4.2
Aaron Jones,11937,HB,MIN,17,255,49,18,5,41,408,51,58,306,5,1138,4.5
D'Andre Swift,57212,HB,CHI,17,253,43,6,2,56,386,42,50,295,6,959,3.8
Chuba Hubbard,57373,HB,CAR,15,250,62,5,4,38,171,43,52,293,10,1195,4.8
Jahmyr Gibbs,122474,HB,DET,17,250,70,11,1,70,517,52,63,302,16,1412,5.6
Joe Mixon,11803,HB,HST,14,245,52,13,0,59,309,36,48,281,11,1016,4.1
James Conner,11860,HB,ARZ,16,236,65,1,4,53,414,47,53,283,8,1094,4.6
Rico Dowdle,40693,HB,DAL,16,235,53,9,3,27,249,39,49,274,2,1079,4.6
Chase Brown,77787,HB,CIN,16,229,49,7,2,40,360,54,63,283,7,990,4.3
Alvin Kamara,11822,HB,NO,14,228,52,20,1,24,543,68,87,296,6,950,4.2
Breece Hall,97636,HB,NYJ,16,209,38,22,6,42,483,57,75,266,5,876,4.2
James Cook,83666,HB,BUF,16,207,48,4,1,65,258,32,38,239,16,1009,4.9
Rhamondre Stevenson,98689,HB,NE,15,207,40,19,7,33,168,33,39,240,7,801,3.9
Bucky Irving,144970,HB,TB,17,207,52,30,2,56,392,47,50,254,8,1122,5.4
De'Von Achane,124305,HB,MIA,17,203,37,17,1,61,592,78,85,281,6,907,4.5
Kareem Hunt,11841,HB,KC,13,200,42,16,0,20,176,23,27,223,7,728,3.6
J.K. Dobbins,57366,HB,LAC,13,195,47,27,0,61,153,32,36,227,9,905,4.6
Tyrone Tracy,84226,HB,NYG,17,192,39,21,4,45,284,38,50,230,5,839,4.4
Brian Robinson,57120,HB,WAS,14,187,47,32,2,40,159,20,24,207,8,799,4.3
David Montgomery,45719,HB,DET,14,185,50,11,2,21,341,36,37,221,12,775,4.2
Tank Bigsby,123974,HB,JAX,15,168,38,15,3,65,54,7,11,175,7,766,4.6
Jordan Mason,62946,HB,SF,12,153,38,28,3,38,91,11,14,164,3,789,5.2
Kenneth Walker III,97199,HB,SEA,11,153,28,29,1,28,299,46,52,199,7,573,3.7
Travis Etienne Jr.,57185,HB,JAX,15,150,31,15,1,22,254,39,50,189,2,558,3.7
Jalen Hurts,40291,QB,PHI,15,150,61,24,9,35,0,0,0,112,14,630,4.2
Jayden Daniels,97993,QB,WAS,17,148,55,32,5,46,0,0,0,73,6,891,6.0
Rachaad White,131633,HB,TB,16,144,35,30,3,56,393,51,55,195,3,613,4.3
Lamar Jackson,46416,QB,BLT,17,139,46,3,10,48,0,0,0,100,4,915,6.6
Javonte Williams,77803,HB,DEN,17,139,30,10,2,20,346,52,66,191,4,513,3.7
Tyler Allgeier,83639,HB,ATL,17,137,43,2,0,25,88,13,13,150,3,644,4.7
Zach Charbonnet,97630,HB,SEA,17,135,32,29,0,51,308,42,47,177,8,569,4.2
Alexander Mattison,45817,HB,LV,14,132,25,23,1,24,294,36,45,168,4,420,3.2
Antonio Gibson,78050,HB,NE,17,120,23,19,2,45,206,23,29,143,1,538,4.5
Jaylen Warren,98692,HB,PIT,15,120,28,25,2,22,310,38,43,158,1,511,4.3
Jaleel McLaughlin,138346,HB,DEN,16,113,25,10,1,21,76,24,25,137,1,496,4.4
Devin Singletary,40485,HB,NYG,15,113,24,21,2,43,119,21,24,134,4,437,3.9
Ray Davis,101072,HB,BUF,17,113,25,4,0,23,189,17,18,130,3,442,3.9
Jerome Ford,83601,HB,CLV,14,104,25,8,0,66,225,37,42,141,3,565,5.4
Cam Akers,57206,HB,MIN,15,104,21,18,1,58,68,14,16,118,2,444,4.3
Emanuel Wilson,154173,HB,GB,17,103,27,12,0,21,48,11,12,114,4,502,4.9
Nick Chubb,45783,HB,CLV,8,102,17,8,1,19,31,5,9,107,3,332,3.3
Josh Allen,46601,QB,BUF,17,102,51,4,5,30,7,0,0,60,12,531,5.2
Gus Edwards,46027,HB,LAC,11,101,17,27,0,43,6,3,4,104,4,365,3.6
Bo Nix,97790,QB,DEN,17,92,41,10,2,32,2,1,1,43,4,430,4.7
Braelon Allen,145159,HB,NYJ,17,92,22,22,0,20,148,19,26,111,2,334,3.6
Anthony Richardson,124393,QB,IND,11,86,32,14,9,29,-1,1,1,66,6,499,5.8
Raheem Mostert,9783,HB,MIA,13,85,14,17,2,21,161,19,21,104,2,278,3.3
Isaac Guerendo,83806,HB,SF,15,84,18,28,1,76,152,15,16,99,4,420,5.0
Tyjae Spears,97195,HB,TEN,12,84,19,31,1,23,224,30,33,114,4,312,3.7
Isiah Pacheco,83747,HB,KC,7,83,14,16,0,34,79,12,16,95,1,310,3.7
Caleb Williams,144622,QB,CHI,17,81,27,6,10,24,0,0,0,33,0,489,6.0
Kyler Murray,38334,QB,ARZ,17,78,27,1,8,50,0,0,0,38,5,572,7.3
Austin Ekeler,12164,HB,WAS,12,77,18,32,2,50,366,35,40,112,4,367,4.8
Audric Estime,147476,HB,DEN,13,76,14,10,2,21,27,5,5,81,2,310,4.1
Kenneth Gainwell,77737,HB,PHI,17,75,12,24,0,20,116,16,22,91,1,290,3.9
Zack Moss,40341,HB,CIN,8,74,13,7,2,16,187,23,27,97,2,242,3.3
Ezekiel Elliott,10638,HB,DAL,15,74,14,9,1,11,69,12,15,86,3,226,3.1
D'Onta Foreman,11844,HB,CLV,11,71,10,8,2,25,54,6,8,77,0,232,3.3
Justin Herbert,28237,QB,LAC,17,69,23,27,6,41,0,0,0,38,2,306,4.4
Jaylen Wright,146934,HB,MIA,15,68,11,17,1,20,8,3,6,71,0,249,3.7
Sam Darnold,29048,QB,MIN,17,67,23,18,8,19,0,0,0,39,1,212,3.2
Daniel Jones,39395,QB,NYG,10,67,26,21,4,24,0,0,0,51,2,265,4.0
Brock Purdy,77672,QB,SF,15,66,33,28,7,16,0,0,0,22,5,323,4.9
Ameer Abdullah,9487,HB,LV,14,66,13,23,1,40,261,40,45,106,2,311,4.7
Zamir White,83665,HB,LV,8,65,4,23,2,17,30,6,8,71,1,183,2.8
Trey Benson,131705,HB,ARZ,13,63,16,1,1,20,59,6,6,69,1,291,4.6
Justin Fields,82118,QB,PIT,10,62,19,25,6,30,0,0,0,44,5,289,4.7
Baker Mayfield,46518,QB,TB,17,60,22,30,13,28,0,0,0,18,3,378,6.3
Patrick Mahomes,11765,QB,KC,16,58,21,16,2,33,2,1,1,22,2,307,5.3
Blake Corum,129574,HB,LA,14,58,12,26,0,12,58,7,8,65,0,207,3.6
Carson Steele,145632,HB,KC,16,56,14,16,3,9,26,7,10,63,0,183,3.3
Trey Sermon,57372,HB,IND,17,56,14,14,0,17,99,16,18,72,2,159,2.8
Ty Chandler,62942,HB,MIN,12,56,9,18,0,25,42,6,6,62,0,182,3.3
Jeremy McNichols,11917,HB,WAS,16,55,15,32,0,28,27,9,10,64,4,261,4.7
Roschon Johnson,99467,HB,CHI,13,55,17,6,0,9,104,16,17,71,6,150,2.7
Miles Sanders,40555,HB,CAR,11,55,12,5,1,26,148,24,28,79,2,205,3.7
Drake Maye,143969,QB,NE,13,54,22,19,9,41,0,0,0,9,2,421,7.8
Geno Smith,7820,QB,SEA,17,53,17,29,9,34,0,0,0,29,2,272,5.1
C.J. Stroud,129759,QB,HST,17,52,14,13,6,25,0,0,1,15,0,233,4.5
Sean Tucker,123056,HB,TB,12,50,17,30,1,36,109,9,11,59,2,308,6.2
Christian McCaffrey,11763,HB,SF,4,50,12,28,1,19,146,15,19,65,0,202,4.0
Jamaal Williams,11889,HB,NO,14,48,11,20,0,14,57,9,9,57,1,164,3.4
Justice Hill,45865,HB,BLT,15,47,14,3,0,51,383,42,46,89,1,228,4.9
Will Levis,83542,QB,TEN,12,45,20,31,10,21,0,0,0,25,0,183,4.1
Kimani Vidal,123727,HB,LAC,10,43,7,27,1,19,62,5,8,48,0,155,3.6
Russell Wilson,7077,QB,PIT,11,43,16,25,5,19,0,0,0,23,2,155,3.6
Bryce Young,123943,QB,CAR,14,43,15,5,5,34,0,0,0,6,6,249,5.8
Deebo Samuel,48274,WR,SF,15,42,5,28,0,13,670,51,80,93,1,136,3.2
Joe Burrow,28022,QB,CIN,17,42,16,7,11,47,0,0,0,20,2,201,4.8
Ty Johnson,45769,HB,BUF,17,41,13,4,0,19,284,18,25,59,1,213,5.2
Dameon Pierce,83659,HB,HST,10,40,6,13,1,92,2,2,4,42,2,293,7.3
