player,player_id,position,team_name,player_game_count,assists,forced_fumbles,franchise_id,hits,interceptions,pass_break_ups,sacks,tackles
Calais Campbell,4364,DI,BLT,14,10,2,3,11,0,0,6,18
Ndamukong Suh,5527,DI,PHI,8,2,0,24,0,0,0,2,7
Tyson Alualu,5535,DI,PIT,17,3,0,25,2,0,0,1,8
Brandon Graham,5538,ED,PHI,17,4,2,24,3,0,0,13,15
Jason Pierre-Paul,5540,ED,BLT,14,2,0,3,0,1,0,3,20
Kareem Jackson,5545,S,DEN,17,22,0,10,0,0,3,0,68
Devin McCourty,5552,S,NE,17,11,0,19,0,4,4,0,61
Jerry Hughes,5556,ED,HST,17,6,2,13,0,1,0,9,13
Linval Joseph,5571,DI,PHI,8,10,0,24,0,0,0,1,9
Carlos Dunlap,5579,ED,KC,17,8,1,16,7,0,0,5,26
Corey Peters,5607,DI,JAX,12,5,0,15,1,0,0,1,13
Al Woods,5646,DI,SEA,14,10,0,29,0,0,0,2,27
Von Miller,6154,ED,BUF,11,1,1,4,4,0,0,8,13
Patrick Peterson,6157,CB,MIN,17,3,0,18,0,5,9,0,60
J.J. Watt,6163,DI,ARZ,16,4,1,1,14,0,0,13,21
Robert Quinn,6166,ED,PHI,13,3,0,24,4,0,0,1,8
Cameron Jordan,6176,ED,NO,16,14,1,20,4,0,1,9,42
Cameron Heyward,6183,DI,PIT,17,19,1,25,10,0,0,12,42
Justin Houston,6222,ED,BLT,14,2,1,3,6,1,0,11,8
Lawrence Guy Sr.,6385,DI,NE,14,21,0,19,1,0,0,3,27
Chris Harris Jr.,6457,CB,NO,10,3,1,20,0,0,1,1,26
Josh Bynes,6503,LB,BLT,7,4,0,3,0,1,1,1,22
Nick Bellore,6515,FB,SEA,3,1,0,29,0,0,0,0,0
Mario Addison,6558,ED,HST,12,5,1,13,1,0,0,2,9
Stephon Gilmore,7016,CB,IND,16,4,0,14,0,2,8,0,60
Fletcher Cox,7018,DI,PHI,17,9,1,24,9,0,0,8,23
Michael Brockers,7020,DI,DET,6,0,0,11,1,0,0,0,4
Bruce Irvin,7021,ED,SEA,11,5,0,29,3,0,0,4,19
Melvin Ingram III,7024,ED,MIA,17,3,1,17,5,0,0,7,8
Chandler Jones,7027,ED,LV,15,12,1,23,10,0,0,5,25
Janoris Jenkins,7043,CB,SF,2,0,0,28,0,0,0,0,2
Bobby Wagner,7050,LB,LA,17,44,0,26,3,2,3,6,89
Lavonte David,7060,LB,TB,17,27,2,30,0,0,5,3,87
Vinny Curry,7061,ED,NYJ,11,5,0,22,1,0,0,0,10
Casey Hayward Jr.,7064,CB,ATL,6,1,0,2,0,1,2,0,15
Demario Davis,7079,LB,NO,17,38,0,20,2,1,4,9,63
Akiem Hicks,7090,DI,TB,11,5,0,30,3,0,0,1,15
Rodney McLeod,7271,S,IND,17,21,0,14,0,2,6,0,67
Michael Thomas,7279,S,CIN,3,0,0,7,0,0,0,0,2
Tashaun Gipson Sr.,7288,S,SF,17,11,0,28,0,5,3,1,48
Brandon Bolden,7469,HB,LV,1,0,0,23,0,0,0,0,0
Harrison Smith,7641,S,MIN,14,10,1,18,0,5,3,0,73
Josh Norman,7649,CB,CAR,2,1,0,5,0,0,0,0,5
Justin Bethel,7654,CB,MIA,6,0,0,17,0,1,2,0,15
Xavier Rhodes,7806,CB,BUF,2,0,0,4,0,0,0,0,3
Darius Slay,7817,CB,PHI,17,7,0,24,0,3,8,0,48
Giovani Bernard,7818,HB,TB,1,0,0,30,0,0,0,0,0
Johnathan Hankins,7830,DI,DAL,10,5,0,9,1,0,0,0,13
