player,player_id,position,team_name,player_game_count,attempts,first_downs,franchise_id,fumbles,longest,rec_yards,receptions,targets,total_touches,touchdowns,yards,ypa
Mason Rudolph,46569,QB,PIT,3,6,4,25,1,15,0,0,0,3,0,30,5.0
Najee Harris,57121,HB,PIT,3,6,2,25,0,12,15,2,2,8,1,24,4.0
Jahmyr Gibbs,122474,HB,DET,1,6,1,11,0,8,18,1,1,7,0,19,3.2
Jonathan Williams,10790,HB,WAS,3,6,1,32,0,8,6,2,2,8,0,34,5.7
Dwayne Washington,10870,HB,DEN,1,6,1,10,0,16,0,0,0,6,0,26,4.3
Jaylen Warren,98692,HB,PIT,3,6,3,25,0,62,0,0,0,6,2,89,14.8
Jake Browning,46401,QB,CIN,3,6,3,7,0,19,0,0,0,1,0,55,9.2
Chase Edmonds,45851,HB,TB,1,6,0,30,0,8,4,1,1,7,0,18,3.0
Deshaun Watson,11767,QB,CLV,2,6,1,8,2,9,0,0,0,3,0,18,3.0
Tyrod Taylor,6332,QB,NYG,3,6,2,21,0,16,0,0,0,0,0,31,5.2
Malik Cunningham,60436,QB,NE,3,6,1,19,0,9,-1,1,8,6,1,39,6.5
Khalil Herbert,41668,HB,CHI,2,6,1,6,0,11,59,2,3,8,0,14,2.3
Kellen Mond,60556,QB,CLV,4,6,3,8,0,9,0,0,0,2,0,26,4.3
Darwin Thompson,83791,HB,LV,2,6,2,23,0,12,0,1,1,7,0,28,4.7
Jermar Jefferson,83740,HB,DET,1,6,0,11,0,6,8,2,2,8,0,16,2.7
Bryant Koback,57266,HB,SEA,1,6,2,29,0,9,43,3,3,9,0,32,5.3
Hassan Haskins,83701,HB,TEN,1,6,1,31,0,5,0,0,0,6,1,12,2.0
Jarrett Stidham,13725,QB,DEN,3,6,3,10,1,20,0,0,0,2,0,47,7.8
Ian Book,40216,QB,PHI,2,6,3,24,0,11,0,0,0,0,0,31,5.2
Kyle Trask,39987,QB,TB,3,6,1,30,1,8,0,0,0,3,0,14,2.3
Drew Lock,39517,QB,SEA,3,6,2,29,1,7,0,0,0,4,0,19,3.2
Dare Ogunbowale,12329,HB,HST,1,5,0,13,0,10,0,0,0,5,0,18,3.6
Jake Haener,60596,QB,NO,3,5,2,20,0,26,0,0,0,2,0,38,7.6
Jerrion Ealy,97163,WR,KC,3,5,1,16,0,4,12,3,5,8,0,11,2.2
Trey Lance,91399,QB,SF,2,5,0,28,0,6,0,0,0,3,0,0,0.0
Josh Johnson,4474,QB,BLT,3,5,0,3,1,7,0,0,0,3,0,10,2.0
Ben DiNucci,34311,QB,DEN,3,5,2,10,1,11,0,0,0,2,0,23,4.6
Zach Wilson,82096,QB,NYJ,4,5,2,22,0,35,0,0,0,2,0,43,8.6
Jake Fromm,60389,QB,WAS,3,5,0,32,1,4,0,0,0,4,0,0,0.0
Marcus Mariota,9435,QB,PHI,3,5,3,24,0,14,0,0,0,1,0,34,6.8
Connor Heyward,57301,TE,PIT,3,5,1,25,0,8,73,6,6,11,0,16,3.2
Jordan Love,40306,QB,GB,3,5,3,12,0,11,-2,1,1,2,0,32,6.4
Aidan O'Connell,60516,QB,LV,3,5,3,23,0,7,0,0,0,4,0,12,2.4
Alex McGough,46420,QB,GB,2,5,0,12,1,5,0,0,0,4,0,1,0.2
Gerrid Doaks,40903,HB,HST,1,5,1,13,0,6,5,2,2,7,0,20,4.0
Justice Hill,45865,HB,BLT,3,5,3,3,0,37,13,1,1,6,0,73,14.6
Rhamondre Stevenson,98689,HB,NE,1,4,2,19,0,23,0,0,0,4,1,27,6.8
Sam Howell,97599,QB,WAS,2,4,2,32,0,8,0,0,0,0,0,25,6.3
Mohamed Ibrahim,55226,HB,DET,1,4,0,11,0,4,0,0,0,4,0,9,2.3
Gus Edwards,46027,HB,BLT,1,4,0,3,0,10,7,1,1,5,0,21,5.3
Tanner Morgan,55239,QB,PIT,3,4,0,25,2,0,0,0,0,4,0,-3,-0.8
Calvin Tyler Jr.,52133,HB,CIN,1,4,1,7,0,8,0,1,1,5,0,16,4.0
Camerun Peoples,83607,HB,CAR,1,4,0,5,2,3,25,2,2,6,0,4,1.0
Jordan Wilkins,26618,HB,CLV,2,4,0,8,0,7,8,1,1,5,0,23,5.8
Matt Corral,83517,QB,CAR,3,4,2,5,2,27,0,0,0,1,0,47,11.8
Wayne Taulapapa,91020,HB,SEA,3,4,0,29,0,5,20,3,3,7,0,13,3.3
Bryce Young,123943,QB,CAR,3,4,2,5,0,13,0,0,0,0,0,22,5.5
