player,player_id,position,team_name,player_game_count,caught_percent,first_downs,franchise_id,fumbles,longest,receptions,targets,touchdowns,yards,yards_per_reception
Jerreth Sterns,102597,WR,W KENTUCKY,12,79.6,71,346,0,74,125,157,12,1528,12.2
Josh Downs,122832,WR,N CAROLINA,12,70.5,56,245,0,63,98,139,8,1273,13.0
Deven Thompkins,84480,WR,UTAH ST,12,64.5,58,329,0,75,89,138,9,1561,17.5
Jahan Dotson,84375,WR,PENN STATE,12,66.4,58,266,1,86,91,137,12,1182,13.0
David Bell,97989,WR,PURDUE,11,69.9,60,273,0,60,93,133,6,1275,13.7
Jalen Tolbert,61637,WR,S ALABAMA,12,63.6,58,288,1,68,82,129,8,1474,18.0
Makai Polk,100647,WR,MISS STATE,12,76.0,52,227,1,50,98,129,9,986,10.1
Wan'Dale Robinson,101735,WR,KENTUCKY,12,73.4,54,202,0,79,94,128,7,1172,12.5
Josh Johnson,61329,WR,TULSA,12,61.6,44,320,0,63,77,125,5,984,12.8
Calvin Turner Jr.,109028,WR,HAWAII,13,59.7,42,180,0,37,74,124,4,870,11.8
Trey McBride,75916,TE,COLO STATE,12,74.6,61,144,2,50,91,122,1,1125,12.4
Calvin Austin III,61418,WR,MEMPHIS,12,61.2,47,218,0,75,74,121,8,1145,15.5
John Metchie III,97400,WR,ALABAMA,12,75.0,46,103,0,46,90,120,7,1045,11.6
Jordan Addison,123000,WR,PITTSBURGH,12,70.8,55,268,0,67,85,120,17,1353,15.9
Charleston Rambo,61569,WR,MIAMI FL,12,66.4,44,220,1,60,79,119,7,1165,14.7
Drake London,86519,WR,USC,8,73.9,54,326,0,44,88,119,7,1084,12.3
Stanley Berryhill III,61128,WR,ARIZONA,12,70.3,39,109,0,43,83,118,1,746,9.0
Skyy Moore,97116,WR,W MICHIGAN,11,76.9,58,347,0,74,90,117,10,1255,13.9
Khalil Shakir,84140,WR,BOISE ST,12,67.5,58,120,0,69,77,114,7,1117,14.5
Keytaon Thompson,60457,WR,VIRGINIA,12,69.6,52,335,1,34,78,112,2,990,12.7
Tank Dell,78874,WR,HOUSTON,12,64.9,50,182,1,55,72,111,11,1028,14.3
Hassan Beydoun,78185,WR,E MICHIGAN,12,75.7,49,160,1,64,84,111,4,905,10.8
Romeo Doubs,84329,WR,NEVADA,11,72.7,47,239,0,66,80,110,11,1114,13.9
Jalen Moreno-Cropper,97273,WR,FRESNO ST,12,70.4,40,169,6,86,76,108,11,833,11.0
Zack Kuntz,84084,TE,DOMINION,12,65.7,32,263,1,43,71,108,5,674,9.5
Jack Sorenson,41983,WR,MIAMI OH,12,63.6,53,221,2,83,68,107,10,1260,18.5
Jake Bobo,77997,WR,DUKE,12,70.5,43,154,1,48,74,105,1,794,10.7
Corey Gammage,98735,WR,MARSHALL,12,66.3,41,214,1,64,69,104,2,828,12.0
Jacob Cowing,100894,WR,UTEP,12,64.4,49,330,0,76,67,104,7,1337,20.0
Xavier Hutchinson,122518,WR,IOWA STATE,12,79.6,47,193,1,51,82,103,5,956,11.7
Xavier Worthy,144718,WR,TEXAS,12,60.2,38,311,1,75,62,103,12,981,15.8
Dante Cephas,97665,WR,KENT STATE,12,68.9,41,201,1,52,71,103,8,1022,14.4
Smoke Harris,78918,WR,LA TECH,12,69.6,36,208,0,47,71,102,6,733,10.3
Garrett Wilson,97405,WR,OHIO STATE,11,68.6,49,260,0,77,70,102,12,1058,15.1
Quian Williams,61237,WR,BUFFALO,12,63.7,40,126,0,40,65,102,2,849,13.1
Ryan O'Keefe,101139,WR,UCF,12,77.5,32,323,1,53,79,102,6,742,9.4
