player,player_id,position,team_name,player_game_count,attempts,completion_percent,completions,first_downs,franchise_id,interceptions,qb_rating,sacks,touchdowns,yards,ypa
Jayden Daniels,97993,QB,WAS,3,114,65.8,75,47,32,1,97.9,4,5,822,7.2
Jalen Hurts,40291,QB,PHI,4,91,71.4,65,39,24,1,108.6,13,5,726,8.0
Patrick Mahomes,11765,QB,KC,3,83,66.3,55,37,16,2,101.4,11,5,679,8.2
Josh Allen,46601,QB,BUF,3,82,70.7,58,28,4,0,109.6,5,4,636,7.8
Matthew Stafford,4924,QB,LA,2,71,63.4,45,25,26,0,105.0,7,4,533,7.5
C.J. Stroud,129759,QB,HST,2,61,67.2,41,28,13,1,92.7,11,1,527,8.6
Lamar Jackson,46416,QB,BLT,2,46,73.9,34,24,3,1,122.5,3,4,429,9.3
Sam Darnold,29048,QB,MIN,1,40,62.5,25,12,18,1,77.6,9,1,245,6.1
Jared Goff,10635,QB,DET,1,40,57.5,23,18,11,3,59.7,2,1,313,7.8
Jordan Love,40306,QB,GB,1,33,60.6,20,12,12,3,41.5,2,0,212,6.4
Justin Herbert,28237,QB,LAC,1,32,43.8,14,9,27,4,40.9,4,1,242,7.6
Russell Wilson,7077,QB,PIT,1,29,69.0,20,9,25,0,121.3,4,2,270,9.3
Bo Nix,97790,QB,DEN,1,22,59.1,13,9,10,0,93.8,2,1,144,6.5
Baker Mayfield,46518,QB,TB,1,18,83.3,15,13,30,0,146.5,1,2,185,10.3
Teddy Bridgewater,8667,QB,DET,1,1,100.0,1,1,11,0,79.2,0,0,3,3.0
Kenny Pickett,60515,QB,PHI,1,1,0.0,0,0,24,0,39.6,0,0,0,0.0
Justin Fields,82118,QB,PIT,1,1,0.0,0,0,25,0,39.6,0,0,0,0.0
Riley Dixon,10862,P,DEN,1,1,100.0,1,1,10,0,118.8,0,0,15,15.0
Tress Way,8358,P,WAS,1,1,100.0,1,1,32,0,118.8,0,0,23,23.0
Jameson Williams,101701,WR,DET,1,1,0.0,0,0,11,1,0.0,0,0,0,0.0
David Montgomery,45719,HB,DET,1,1,100.0,1,1,11,0,118.8,0,0,20,20.0
