player,player_id,position,team_name,player_game_count,attempts,completion_percent,completions,first_downs,franchise_id,interceptions,qb_rating,sacks,touchdowns,yards,ypa
JT Daniels,83578,QB,W VIRGINIA,10,327,61.2,200,107,343,9,81.7,17,13,2107,6.4
Chandler Rogers,98683,QB,LA MONROE,12,325,67.4,219,116,209,7,95.5,40,15,2405,7.4
Jaxson Dart,146409,QB,OLE MISS,12,321,62.6,201,125,226,8,96.5,12,18,2613,8.1
Daniel Richardson,97103,QB,C MICHIGAN,11,319,56.1,179,102,134,5,84.2,20,15,2004,6.3
Gavin Hardison,100827,QB,UTEP,10,316,51.9,164,102,330,8,73.4,22,11,2047,6.5
Kedon Slovis,100580,QB,PITTSBURGH,11,316,58.5,185,100,268,9,81.1,14,10,2394,7.6
Chris Reynolds,60361,QB,CHARLOTTE,10,315,63.8,201,127,136,11,97.4,25,22,2525,8.0
Jordan Travis,77615,QB,FLORIDA ST,12,315,62.9,198,133,167,4,109.4,15,22,2790,8.9
Devin Grainger,78496,QB,GA STATE,12,299,58.5,175,125,175,7,95.0,35,18,2428,8.1
Gunnar Watson,83570,QB,TROY,11,293,61.4,180,109,318,10,84.1,29,10,2370,8.1
Jake Haener,60596,QB,FRESNO ST,8,291,72.9,212,118,169,3,112.9,20,17,2436,8.4
Michael Pratt,123229,QB,TULANE,11,289,64.7,187,120,319,4,108.7,23,21,2376,8.2
Graham Mertz,97994,QB,WISCONSIN,12,287,57.1,164,111,349,10,88.1,23,19,2125,7.4
Will Levis,83542,QB,KENTUCKY,11,286,65.0,186,118,202,10,99.1,34,19,2416,8.4
Todd Centeio,60552,QB,JAMES MAD,10,284,63.7,181,119,197,5,116.5,16,25,2682,9.4
Spencer Petras,82136,QB,IOWA,12,282,55.7,157,82,192,5,72.4,32,5,1717,6.1
Casey Thompson,77677,QB,NEBRASKA,10,278,62.2,173,107,238,10,95.4,20,17,2407,8.7
John Rhys Plumlee,97602,QB,UCF,11,273,64.8,177,108,323,7,95.0,19,13,2209,8.1
KJ Jefferson,99129,QB,ARKANSAS,10,273,67.8,185,120,111,4,115.3,24,22,2359,8.6
