player,player_id,position,team_name,player_game_count,attempts,completion_percent,completions,first_downs,franchise_id,interceptions,qb_rating,sacks,touchdowns,yards,ypa
Trace McSorley,32819,QB,ARZ,3,85,54.1,46,28,1,2,67.6,3,1,536,6.3
David Blough,46508,QB,DET,3,82,62.2,51,28,11,1,76.1,4,2,377,4.6
Davis Webb,11842,QB,NYG,3,81,74.1,60,24,21,0,99.7,0,3,457,5.6
Jordan Love,40306,QB,GB,3,74,55.4,41,21,12,4,63.9,2,3,437,5.9
Bailey Zappe,60396,QB,NE,3,71,63.4,45,22,19,3,69.1,3,1,462,6.5
Sam Howell,97599,QB,WAS,3,69,62.3,43,25,32,1,85.8,9,1,547,7.9
Kyle Trask,39987,QB,TB,3,67,64.2,43,19,30,2,76.5,7,1,457,6.8
Ian Book,40216,QB,NO,3,65,64.6,42,26,20,2,73.6,8,2,315,4.8
Brett Rypien,46487,QB,DEN,3,65,67.7,44,23,10,1,85.5,1,1,441,6.8
Jake Browning,46401,QB,CIN,3,64,65.6,42,27,7,0,91.4,2,1,452,7.1
Easton Stick,29466,QB,LAC,3,60,60.0,36,19,27,2,66.5,2,1,327,5.5
Desmond Ridder,55086,QB,ATL,3,56,60.7,34,25,2,2,87.7,2,3,431,7.7
Mike White,46453,QB,NYJ,3,54,64.8,35,16,22,0,96.1,0,2,358,6.6
Joshua Dobbs,11890,QB,CLV,3,53,66.0,35,21,8,0,96.3,0,2,339,6.4
Josh Johnson,4474,QB,DEN,3,53,66.0,35,13,10,0,97.1,0,2,349,6.6
Malik Willis,60341,QB,TEN,3,51,54.9,28,22,31,1,78.7,9,2,318,6.2
Shane Buechele,12659,QB,KC,3,51,60.8,31,18,16,1,91.5,3,3,335,6.6
Kellen Mond,60556,QB,MIN,3,51,56.9,29,17,18,2,71.0,5,2,303,5.9
Chase Daniel,5214,QB,LAC,3,49,69.4,34,20,27,0,109.3,4,3,341,7.0
Bryce Perkins,35299,QB,LA,3,49,71.4,35,22,26,0,109.1,5,2,399,8.1
Brock Purdy,77672,QB,SF,3,49,61.2,30,18,28,1,80.8,4,1,346,7.1
Case Keenum,7323,QB,BUF,3,49,71.4,35,17,4,3,70.7,3,1,327,6.7
Skylar Thompson,60417,QB,MIA,3,48,75.0,36,22,17,0,138.4,3,5,450,9.4
E.J. Perry,60349,QB,JAX,2,48,52.1,25,10,15,3,51.8,3,1,293,6.1
Reid Sinnett,37397,QB,PHI,3,48,52.1,25,11,24,1,72.7,6,2,254,5.3
Jarrett Stidham,13725,QB,LV,4,47,63.8,30,18,23,0,84.7,7,0,332,7.1
Anthony Brown Jr.,40316,QB,BLT,3,47,74.5,35,17,3,1,117.7,0,3,464,9.9
Tim Boyle,21956,QB,DET,3,46,56.5,26,15,11,2,70.4,3,2,274,6.0
Matt Barkley,7880,QB,BUF,3,45,75.6,34,19,4,1,91.8,2,0,389,8.6
Logan Woodside,46517,QB,TEN,3,44,59.1,26,12,31,3,42.0,1,0,201,4.6
P.J. Walker,12134,QB,CAR,3,44,59.1,26,16,5,2,60.1,6,0,293,6.7
Sean Mannion,9522,QB,MIN,3,43,62.8,27,16,18,0,80.1,3,0,265,6.2
Chase Garbers,60356,QB,LV,4,40,60.0,24,13,23,0,78.0,6,0,249,6.2
Drew Lock,39517,QB,SEA,2,39,61.5,24,13,29,3,76.1,2,3,273,7.0
