player,player_id,position,team_name,player_game_count,caught_percent,first_downs,franchise_id,fumbles,longest,receptions,targets,touchdowns,yards,yards_per_reception
Craig Burt Jr.,123445,WR,W KENTUCKY,4,100.0,3,346,0,25,4,4,0,70,17.5
Tyler Moore,144546,TE,IOWA STATE,7,100.0,2,193,0,25,4,4,0,42,10.5
Michael Harrison,131682,WR,COLORADO,5,50.0,0,143,0,9,2,4,0,12,6.0
Bryce Duke,157656,HB,VA TECH,6,75.0,1,337,0,27,3,4,1,29,9.7
Kamdyn Benjamin,123241,WR,TULSA,6,75.0,0,320,0,9,3,4,0,18,6.0
Jaylen Ellis,99563,WR,BAYLOR,2,50.0,2,118,0,50,2,4,1,97,48.5
Jacob Kibodi,57427,HB,LA LAFAYET,7,75.0,1,207,0,8,3,4,0,16,5.3
Beau Coberley,78130,WR,IOWA STATE,2,50.0,0,193,0,9,2,4,0,13,6.5
Greyson Morgan,158181,TE,HAWAII,5,50.0,2,180,0,21,2,4,0,26,13.0
Nate Jefferson,97275,WR,FIU,5,100.0,2,166,0,10,4,4,0,27,6.8
Isaac Jernagin,70363,WR,S JOSE ST,6,75.0,2,285,0,14,3,4,0,29,9.7
Amorion Walker,158547,WR,MICHIGAN,5,25.0,0,222,0,4,1,4,0,4,4.0
Duke Olges,98350,TE,NWESTERN,7,75.0,3,256,0,15,3,4,1,30,10.0
Byron Cardwell Jr.,86353,HB,OREGON,2,100.0,2,264,0,13,4,4,1,34,8.5
John Hassell,77903,TE,MEMPHIS,10,75.0,1,218,0,8,3,4,0,14,4.7
Keagan Johnson,144848,WR,IOWA,2,50.0,0,192,0,7,2,4,0,11,5.5
Hayden Rucci,101680,TE,WISCONSIN,9,100.0,4,349,0,14,4,4,0,47,11.8
Omari Walker,147059,WR,ARK STATE,3,50.0,0,113,0,6,2,4,0,11,5.5
Parker Buchanan,146221,TE,UTAH ST,4,50.0,0,329,0,6,2,4,0,9,4.5
Zach Westmoreland,145752,WR,E MICHIGAN,4,50.0,2,160,0,21,2,4,0,27,13.5
Dewayne McBride,121495,HB,UAB,11,50.0,0,321,0,6,2,4,0,10,5.0
Trey Potts,101647,HB,MINNESOTA,9,75.0,0,225,0,14,3,4,0,23,7.7
Nolan Matthews-Harris,98433,TE,SMU,2,50.0,1,287,0,29,2,4,0,28,14.0
Dante Reynolds,143837,WR,BOSTON COL,6,50.0,0,121,0,6,2,4,0,6,3.0
Preston Fox,123418,WR,W VIRGINIA,5,100.0,1,343,0,26,4,4,1,41,10.3
Kay'Ron Lynch-Adams,101643,HB,UMASS,9,75.0,0,216,0,5,3,4,0,1,0.3
Wyatt Liewer,84324,WR,NEBRASKA,6,50.0,1,238,0,13,2,4,0,18,9.0
Brandon Niemenski,147390,TE,UCONN,12,75.0,1,146,0,11,3,4,1,17,5.7
Connor Witthoft,128287,TE,NEW MEXICO,9,75.0,2,241,0,12,3,4,0,23,7.7
Jalen Royals,163442,WR,UTAH ST,6,0.0,0,329,0,0,0,4,0,0,
Jaden Hullaby,123118,FB,NEW MEXICO,8,50.0,1,241,0,38,2,4,0,44,22.0
Kahlil Brantley,143935,TE,MIAMI FL,8,100.0,2,220,0,8,4,4,1,21,5.3
Darius De Los Reyes,128293,WR,S DIEGO ST,4,25.0,0,284,0,8,1,4,0,8,8.0
Richard Newton,83799,HB,WASHINGTON,7,75.0,2,340,0,36,3,4,1,59,19.7
A.J. Turner,156791,HB,MARSHALL,5,100.0,1,214,0,24,4,4,1,21,5.3
Joshua Lingenfelter,121584,TE,ARMY,12,75.0,3,114,0,44,3,4,0,105,35.0
Aubry Payne,29432,TE,GA STATE,2,25.0,0,175,0,3,1,4,0,3,3.0
Josh Burgett,61086,TE,W MICHIGAN,7,100.0,4,347,0,21,4,4,1,48,12.0
T.Y. Harding,158763,WR,UMASS,4,25.0,0,216,0,-3,1,4,0,-3,-3.0
Cash Jones,155211,HB,GEORGIA,4,50.0,0,173,0,9,2,4,0,11,5.5
Chase Penry,86538,WR,COLORADO,4,50.0,2,143,0,14,2,4,0,25,12.5
Jay'juan Townsend,147198,WR,S ALABAMA,5,100.0,3,288,0,30,4,4,0,62,15.5
Josh Berry,156858,HB,TEXAS ST,4,75.0,2,314,0,17,3,4,0,25,8.3
Alex Perry,158184,WR,HAWAII,1,50.0,1,180,0,15,2,4,0,19,9.5
Jarek Broussard,83656,HB,MICH STATE,11,100.0,2,223,0,21,4,4,0,48,12.0
Jamious Griffin,97189,HB,OREGON ST,10,75.0,1,265,0,19,3,4,0,19,6.3
Nick Nash,98679,QB,S JOSE ST,4,50.0,0,285,0,6,2,4,0,11,5.5
Erick All,52595,TE,MICHIGAN,3,75.0,2,222,0,22,3,4,0,36,12.0
Zyell Griffin,128355,WR,UNLV,2,50.0,1,325,0,14,2,4,1,23,11.5
Isaiah Gash,129577,HB,MICHIGAN,7,75.0,2,222,0,20,3,4,0,24,8.0
John Michael Gyllenborg,150698,TE,WYOMING,2,75.0,1,351,0,10,3,4,0,21,7.0
