player,player_id,position,team_name,player_game_count,attempts,completion_percent,completions,first_downs,franchise_id,interceptions,qb_rating,sacks,touchdowns,yards,ypa
Trey Lance,91399,QB,DAL,3,113,64.6,73,42,9,5,67.8,6,2,662,5.9
Stetson Bennett,60387,QB,LA,2,69,59.4,41,24,26,5,57.5,3,2,437,6.3
Jack Plummer,83543,QB,CAR,3,68,63.2,43,19,5,0,89.5,7,2,406,6.0
Kyle Trask,39987,QB,TB,3,63,65.1,41,23,30,1,91.6,2,3,393,6.2
Tommy DeVito,60545,QB,NYG,3,61,52.5,32,17,21,0,64.2,10,0,270,4.4
Skylar Thompson,60417,QB,MIA,3,61,57.4,35,16,17,2,76.3,1,3,346,5.7
Logan Woodside,46517,QB,CIN,3,58,70.7,41,19,7,2,85.3,4,2,379,6.5
Tim Boyle,21956,QB,HST,4,56,62.5,35,18,13,0,87.0,0,2,281,5.0
Tanner McKee,131770,QB,PHI,3,56,60.7,34,17,24,1,67.1,1,0,294,5.3
Easton Stick,29466,QB,LAC,3,55,45.5,25,11,27,3,46.3,5,1,303,5.5
Dorian Thompson-Robinson,83574,QB,CLV,3,55,69.1,38,17,8,1,86.6,3,1,375,6.8
Clayton Tune,77652,QB,ARZ,3,52,67.3,35,20,1,1,85.5,8,1,361,6.9
Mac Jones,60323,QB,JAX,3,52,73.1,38,22,15,0,115.9,4,3,421,8.1
Nate Sudfeld,10821,QB,DET,2,51,52.9,27,15,11,2,60.3,4,1,292,5.7
Joshua Dobbs,11890,QB,SF,3,51,66.7,34,21,28,1,84.8,1,1,352,6.9
Tyler Huntley,46448,QB,CLV,3,51,72.5,37,20,8,2,92.1,5,3,322,6.3
Sam Howell,97599,QB,SEA,3,50,66.0,33,21,29,0,97.8,6,2,328,6.6
Mason Rudolph,46569,QB,TEN,3,49,63.3,31,22,31,0,92.6,1,1,365,7.4
Jeff Driskel,10841,QB,WAS,3,48,62.5,30,12,32,1,66.5,3,0,242,5.0
Adrian Martinez,83522,QB,NYJ,3,47,53.2,25,15,22,1,61.5,1,0,270,5.7
Jaren Hall,82094,QB,MIN,3,46,60.9,28,18,18,0,112.5,3,4,339,7.4
Taylor Heinicke,9896,QB,ATL,3,44,45.5,20,9,2,0,59.5,2,0,206,4.7
Zach Wilson,82096,QB,DEN,3,44,63.6,28,22,10,0,115.4,6,3,397,9.0
Kenny Pickett,60515,QB,PHI,3,44,70.5,31,11,24,0,88.6,6,1,214,4.9
Hendon Hooker,60593,QB,DET,3,44,65.9,29,24,11,1,83.5,6,1,300,6.8
Mike White,46453,QB,MIA,3,43,46.5,20,6,17,0,58.2,4,0,179,4.2
Jake Haener,60596,QB,NO,3,43,55.8,24,13,20,0,74.8,1,0,270,6.3
Sean Clifford,51708,QB,GB,3,43,51.2,22,14,12,1,62.8,2,1,207,4.8
Trace McSorley,32819,QB,WAS,2,42,54.8,23,13,32,1,67.4,3,1,218,5.2
Spencer Rattler,97408,QB,NO,3,38,52.6,20,13,20,0,76.9,3,1,202,5.3
Case Keenum,7323,QB,HST,4,36,63.9,23,13,13,0,99.7,2,2,223,6.2
Desmond Ridder,55086,QB,ARZ,3,35,57.1,20,14,1,0,76.5,2,0,225,6.4
Michael Pratt,123229,QB,GB,3,35,65.7,23,10,12,1,75.7,1,1,178,5.1
Brett Rypien,46487,QB,CHI,4,34,70.6,24,15,6,0,131.4,0,3,335,9.9
Carter Bradley,77685,QB,LV,2,34,50.0,17,11,23,1,68.9,1,1,225,6.6
Drake Maye,143969,QB,NE,3,34,61.8,21,9,19,0,86.9,1,1,192,5.6
Gardner Minshew,41401,QB,LV,2,33,48.5,16,9,23,0,79.4,0,1,212,6.4
Andrew Peasley,83581,QB,NYJ,3,33,60.6,20,9,22,0,85.5,3,1,181,5.5
Chris Oladokun,40364,QB,KC,3,33,66.7,22,11,16,2,74.1,2,1,250,7.6
John Wolford,46454,QB,TB,2,32,59.4,19,9,30,0,75.4,4,0,183,5.7
Luis Perez,66453,QB,LAC,2,32,56.3,18,4,27,0,67.1,1,0,139,4.3
Mitch Trubisky,11757,QB,BUF,2,31,61.3,19,8,4,1,62.3,4,0,168,5.4
Josh Johnson,4474,QB,BLT,3,30,66.7,20,13,3,0,115.0,2,2,253,8.4
Joe Milton III,82151,QB,NE,3,30,36.7,11,9,19,0,64.9,2,1,152,5.1
Brandon Allen,10835,QB,SF,3,30,63.3,19,8,28,0,81.8,3,0,194,6.5
Bo Nix,97790,QB,DEN,2,30,76.7,23,14,10,0,117.5,0,2,211,7.0
Aidan O'Connell,60516,QB,LV,2,29,72.4,21,14,23,1,84.3,1,1,172,5.9
P.J. Walker,12134,QB,SEA,3,28,53.6,15,8,29,0,68.6,2,0,147,5.3
Kyle Allen,26152,QB,PIT,2,28,71.4,20,11,25,1,97.5,3,1,261,9.3
Devin Leary,77628,QB,BLT,3,28,53.6,15,5,3,2,31.1,2,0,95,3.4
Justin Fields,82118,QB,PIT,3,27,70.4,19,14,25,0,91.4,5,0,199,7.4
Malik Willis,60341,QB,TEN,3,27,74.1,20,9,31,1,104.7,5,2,205,7.6
Sam Ehlinger,60555,QB,IND,3,26,65.4,17,7,14,1,67.1,2,0,166,6.4
Davis Mills,52269,QB,HST,2,26,69.2,18,10,13,0,103.2,2,1,191,7.3
Tyson Bagent,169628,QB,CHI,4,25,68.0,17,10,6,0,119.9,1,2,207,8.3
Bailey Zappe,60396,QB,NE,3,25,60.0,15,8,19,0,74.9,2,0,137,5.5
Jarrett Stidham,13725,QB,DEN,3,22,59.1,13,7,10,2,38.1,1,0,130,5.9
Kedon Slovis,100580,QB,IND,3,22,72.7,16,8,14,0,90.9,2,0,149,6.8
Nick Mullens,12282,QB,MIN,1,21,52.4,11,7,18,0,88.4,3,1,135,6.4
Ian Book,40216,QB,KC,3,21,71.4,15,5,16,0,118.9,5,2,129,6.1
C.J. Beathard,11859,QB,JAX,2,21,57.1,12,7,15,0,98.3,3,1,165,7.9
Caleb Williams,144622,QB,CHI,2,20,50.0,10,8,6,0,79.2,1,0,170,8.5
Ben DiNucci,34311,QB,BUF,2,20,70.0,14,5,4,0,97.1,2,1,96,4.8
John Paddock,77689,QB,ATL,2,20,50.0,10,5,2,0,60.8,0,0,82,4.1
Nathan Peterman,11926,QB,LV,1,19,63.2,12,6,23,0,95.9,0,1,108,5.7
Jason Bean,83529,QB,IND,3,19,78.9,15,14,14,1,105.5,2,1,197,10.4
Jake Browning,46401,QB,CIN,1,18,55.6,10,3,7,1,37.7,0,0,52,2.9
Anthony Richardson,124393,QB,IND,2,18,55.6,10,7,14,1,69.4,1,1,111,6.2
Daniel Jones,39395,QB,NYG,1,18,61.1,11,5,21,2,45.4,0,0,138,7.7
Patrick Mahomes,11765,QB,KC,2,18,61.1,11,6,16,0,80.8,0,0,120,6.7
Brock Purdy,77672,QB,SF,2,18,61.1,11,6,28,1,54.6,2,0,107,5.9
J.J. McCarthy,144918,QB,MIN,1,17,64.7,11,8,18,1,116.8,0,2,188,11.1
Michael Penix Jr.,82134,QB,ATL,1,16,56.3,9,4,2,0,76.0,0,0,104,6.5
Dresser Winn,63583,QB,LA,1,16,56.3,9,5,26,0,67.7,0,0,72,4.5
Austin Reed,111760,QB,CHI,3,16,75.0,12,5,6,0,117.2,0,1,122,7.6
Anthony Brown Jr.,40316,QB,BUF,2,15,80.0,12,8,4,0,101.7,5,0,126,8.4
Jayden Daniels,97993,QB,WAS,2,15,80.0,12,4,32,0,100.8,0,0,123,8.2
Derek Carr,8671,QB,NO,2,15,60.0,9,3,20,0,68.5,0,0,59,3.9
Jacoby Brissett,10725,QB,NE,3,14,35.7,5,1,19,1,14.6,1,0,36,2.6
Carson Wentz,10636,QB,KC,2,14,64.3,9,2,16,0,96.4,2,1,57,4.1
C.J. Stroud,129759,QB,HST,2,14,64.3,9,4,13,0,117.9,0,1,129,9.2
Trevor Lawrence,77632,QB,JAX,2,14,78.6,11,10,15,0,146.1,1,3,134,9.6
Jameis Winston,9434,QB,CLV,2,14,71.4,10,4,8,0,89.3,2,0,93,6.6
Will Levis,83542,QB,TEN,2,13,84.6,11,7,31,0,115.7,0,0,153,11.8
Nathan Rourke,60504,QB,ATL,1,13,23.1,3,3,2,0,39.6,0,0,37,2.8
Sam Hartman,77618,QB,WAS,1,13,61.5,8,4,32,0,80.0,0,0,83,6.4
Russell Wilson,7077,QB,PIT,2,12,83.3,10,2,25,0,92.0,3,0,73,6.1
Will Grier,38265,QB,PHI,2,11,63.6,7,2,24,0,74.4,2,0,51,4.6
Jake Luton,17287,QB,CAR,2,11,81.8,9,3,5,0,88.3,0,0,57,5.2
Tanner Mordecai,77656,QB,SF,2,10,60.0,6,6,28,0,95.0,1,0,103,10.3
Drew Lock,39517,QB,NYG,1,10,40.0,4,0,21,1,8.3,1,0,17,1.7
Emory Jones,82111,QB,BLT,3,10,80.0,8,3,3,0,142.5,2,1,102,10.2
Shane Buechele,12659,QB,BUF,1,10,60.0,6,4,4,1,34.6,6,0,53,5.3
Jake Fromm,60389,QB,DET,1,8,75.0,6,6,11,0,110.9,0,0,89,11.1
