player,player_id,position,team_name,player_game_count,attempts,completion_percent,completions,first_downs,franchise_id,interceptions,qb_rating,sacks,touchdowns,yards,ypa
Brayden Schager,146078,QB,HAWAII,13,526,62.9,331,173,180,14,87.8,40,26,3525,6.7
Davis Brin,77642,QB,GA SOUTHRN,12,514,63.8,328,173,174,16,84.5,25,22,3441,6.7
Cam Ward,133244,QB,WASH STATE,12,486,66.7,324,185,341,7,100.7,43,25,3723,7.7
Austin Reed,111760,QB,W KENTUCKY,12,471,61.6,290,157,346,11,95.1,7,31,3338,7.1
Brayden Fowler-Nicolosi,157207,QB,COLO STATE,12,469,62.0,291,163,144,16,85.8,12,22,3446,7.3
E.J. Warner,156185,QB,TEMPLE,10,445,57.5,256,150,306,12,84.7,8,23,3061,6.9
Seth Henigan,144267,QB,MEMPHIS,12,441,66.4,293,176,218,9,103.3,18,28,3514,8.0
Taulia Tagovailoa,97271,QB,MARYLAND,12,441,66.0,291,160,215,11,97.6,23,25,3386,7.7
Shedeur Sanders,131396,QB,COLORADO,11,435,68.5,298,162,143,3,107.9,49,27,3229,7.4
Nicholas Vattiato,145302,QB,MIDDLE TN,12,430,67.0,288,142,224,13,93.1,34,23,3095,7.2
Michael Penix Jr.,82134,QB,WASHINGTON,12,428,65.7,281,179,340,8,111.9,9,32,3902,9.1
Drake Maye,143969,QB,N CAROLINA,12,425,63.3,269,174,245,9,100.2,29,24,3608,8.5
Chandler Rogers,98683,QB,N TEXAS,12,423,62.2,263,161,251,5,105.2,36,29,3392,8.0
Keegan Shoemaker,108983,QB,SM HOUSTON,11,421,62.5,263,127,281,11,79.9,15,15,2498,5.9
Cade Klubnik,156253,QB,CLEMSON,12,419,62.1,260,146,140,8,86.5,20,19,2567,6.1
Alan Bowman,77679,QB,OKLA STATE,12,415,59.8,248,140,262,11,77.1,5,10,2808,6.8
Spencer Rattler,97408,QB,S CAROLINA,12,403,68.0,274,156,289,8,99.1,39,19,3183,7.9
Byrum Brown,156206,QB,USF,12,403,64.5,260,149,327,11,95.6,43,23,3101,7.7
Donovan Smith,73929,QB,HOUSTON,12,399,64.2,256,146,182,13,89.6,26,22,2801,7.0
Bo Nix,97790,QB,OREGON,12,398,78.4,312,176,264,2,135.9,6,37,3852,9.7
Caleb Williams,144622,QB,USC,12,394,68.0,268,169,326,5,117.4,35,30,3647,9.3
Joey Aguilar,174978,QB,APP STATE,12,392,62.8,246,174,108,9,107.4,13,33,3251,8.3
T.J. Finley,124093,QB,TEXAS ST,12,387,68.5,265,152,314,8,106.6,28,24,3288,8.5
Mikey Keene,70961,QB,FRESNO ST,11,384,65.6,252,133,169,9,92.6,18,20,2599,6.8
Gunnar Watson,83570,QB,TROY,12,383,60.6,232,143,318,5,103.7,22,26,3117,8.1
Dillon Gabriel,86272,QB,OKLAHOMA,12,383,68.9,264,176,261,6,118.9,15,30,3655,9.5
Jordan McCloud,101058,QB,JAMES MAD,12,381,68.2,260,161,197,9,114.0,17,32,3377,8.9
Jacob Zeno,98014,QB,UAB,11,379,73.6,279,146,321,9,105.5,28,20,3129,8.3
Cole Snyder,97617,QB,BUFFALO,12,374,54.3,203,106,126,9,72.6,15,13,2129,5.7
Carson Beck,124010,QB,GEORGIA,12,371,72.2,268,176,173,6,114.7,9,22,3503,9.4
Hudson Card,123109,QB,PURDUE,11,367,58.6,215,125,273,8,82.5,22,15,2384,6.5
Graham Mertz,97994,QB,FLORIDA,11,362,72.1,261,141,163,3,110.6,28,20,2910,8.0
Will Howard,122599,QB,KANSAS ST,12,358,60.9,218,134,199,10,93.2,14,23,2630,7.3
Haynes King,124329,QB,GA TECH,12,357,61.1,218,140,176,15,91.8,14,26,2747,7.7
Kyle McCord,145053,QB,OHIO STATE,12,354,64.7,229,152,260,6,108.8,11,24,3169,9.0
Joe Milton III,82151,QB,TENNESSEE,12,354,64.7,229,128,307,5,102.0,18,20,2809,7.9
Drew Allar,164157,QB,PENN STATE,12,352,60.8,214,136,266,1,101.0,12,23,2333,6.6
Brady Cook,124199,QB,MISSOURI,12,352,65.9,232,143,229,6,106.6,19,20,3187,9.1
Preston Stone,124716,QB,SMU,12,345,59.4,205,140,287,6,110.0,13,28,3192,9.3
Devin Leary,77628,QB,KENTUCKY,12,343,56.0,192,123,202,10,88.6,21,23,2444,7.1
Devin Grainger,78496,QB,GA STATE,12,341,66.6,227,108,175,7,94.5,15,17,2362,6.9
Ta'Quan Roberson,101625,QB,UCONN,11,339,58.1,197,96,146,6,80.7,7,12,2093,6.2
Jack Plummer,83543,QB,LOUISVILLE,12,338,65.4,221,138,210,11,100.1,19,21,2949,8.7
Frank Harris,60586,QB,UTSA,10,336,64.3,216,129,331,8,94.6,16,18,2501,7.4
Chevan Cordeiro,75886,QB,S JOSE ST,12,334,62.0,207,131,285,4,99.5,21,19,2545,7.6
Tyler Van Dyke,122225,QB,MIAMI FL,11,334,65.6,219,129,220,12,94.4,10,19,2699,8.1
Jayden Daniels,97993,QB,LSU,12,332,71.1,236,189,211,4,143.7,21,40,3811,11.5
Keyone Jenkins,170403,QB,FIU,11,331,58.0,192,107,166,11,78.1,40,11,2416,7.3
Rocco Becht,157567,QB,IOWA STATE,12,330,63.3,209,119,193,8,98.7,12,20,2674,8.1
Ashton Daniels,157259,QB,STANFORD,12,328,59.1,194,105,300,8,81.0,25,11,2251,6.9
Carter Bradley,77685,QB,S ALABAMA,11,328,67.4,221,131,288,7,102.3,25,19,2650,8.1
Diego Pavia,156927,QB,NEW MEX ST,13,326,61.0,199,137,242,8,101.0,20,23,2718,8.3
Jordan Travis,77615,QB,FLORIDA ST,11,325,63.7,207,128,167,2,108.4,14,20,2755,8.5
Daniel Richardson,97103,QB,FAU,11,323,64.1,207,96,165,10,81.8,27,13,1999,6.2
Emory Jones,82111,QB,CINCINNATI,12,322,61.2,197,122,138,10,87.5,26,18,2219,6.9
Jaxson Dart,146409,QB,OLE MISS,12,321,64.8,208,136,226,5,109.1,25,20,2984,9.3
Jalen Mayden,83520,QB,S DIEGO ST,12,315,63.2,199,111,284,9,80.3,30,10,2036,6.5
DJ Uiagalelei,122162,QB,OREGON ST,12,314,57.0,179,125,265,7,97.4,11,21,2621,8.3
Tommy Castellanos,158433,QB,BOSTON COL,12,313,56.9,178,110,121,13,76.6,22,15,2141,6.8
Cam Fancher,145266,QB,MARSHALL,10,308,65.6,202,114,214,11,83.0,29,11,2161,7.0
Kurtis Rourke,97998,QB,OHIO,11,307,63.5,195,115,259,5,90.1,13,11,2207,7.2
Sam Hartman,77618,QB,NOTRE DAME,12,305,62.3,190,126,258,8,106.1,14,24,2696,8.8
Quinn Ewers,127253,QB,TEXAS,10,305,69.2,211,135,311,5,108.2,24,17,2690,8.8
Billy Wiles,144144,QB,SO MISS,11,304,53.3,162,97,296,7,75.5,16,11,1934,6.4
Rocky Lombardi,60452,QB,N ILLINOIS,12,302,57.0,172,102,254,5,82.3,18,10,2077,6.9
Austin Smith,145763,QB,E MICHIGAN,12,300,57.0,171,94,160,7,74.5,31,9,1773,5.9
Josh Hoover,127148,QB,TCU,8,298,62.1,185,114,305,9,88.9,9,15,2206,7.4
KJ Jefferson,99129,QB,ARKANSAS,12,297,64.0,190,107,111,8,95.1,42,19,2107,7.1
Noah Fifita,158722,QB,ARIZONA,11,297,73.1,217,125,109,5,117.1,13,23,2517,8.5
Alex Flinn,123797,QB,E CAROLINA,12,295,54.2,160,86,156,12,59.1,26,6,1559,5.3
Athan Kaliakmanis,144971,QB,MINNESOTA,12,294,52.7,155,97,225,9,75.2,23,14,1836,6.2
Blake Shapen,122282,QB,BAYLOR,8,294,60.5,178,111,118,3,93.8,23,13,2171,7.4
Grant Wilson,143041,QB,DOMINION,11,292,56.5,165,91,263,7,86.5,51,16,2035,7.0
Jayden Maiava,158135,QB,UNLV,12,288,63.9,184,124,325,6,100.7,10,14,2614,9.1
Jase Bauer,145714,QB,C MICHIGAN,12,288,55.9,161,92,134,8,78.2,17,12,1878,6.5
JT Daniels,83578,QB,RICE,9,287,63.1,181,107,275,7,104.2,15,21,2432,8.5
Dequan Finn,97804,QB,TOLEDO,12,286,64.7,185,119,316,8,103.6,9,21,2387,8.3
