player,player_id,position,team_name,player_game_count,attempts,completion_percent,completions,first_downs,franchise_id,interceptions,qb_rating,sacks,touchdowns,yards,ypa
Joe Burrow,28022,QB,CIN,4,142,68.3,97,53,7,2,97.3,19,5,1105,7.8
Matthew Stafford,4924,QB,LA,4,140,70.0,98,59,26,3,108.3,7,9,1188,8.5
Patrick Mahomes,11765,QB,KC,3,122,73.0,89,60,16,3,118.8,9,11,1057,8.7
Tom Brady,698,QB,TB,2,91,64.8,59,28,30,1,90.0,7,3,600,6.6
Jimmy Garoppolo,8697,QB,SF,3,74,58.1,43,30,28,3,72.7,4,2,535,7.2
Josh Allen,46601,QB,BUF,2,62,77.4,48,29,4,0,149.0,2,9,637,10.3
Derek Carr,8671,QB,LV,1,54,53.7,29,16,23,1,69.2,3,1,310,5.7
Ben Roethlisberger,1732,QB,PIT,1,44,65.9,29,15,25,0,92.5,2,2,215,4.9
Dak Prescott,10769,QB,DAL,1,43,53.5,23,12,9,1,69.3,5,1,254,5.9
Jalen Hurts,40291,QB,PHI,1,43,53.5,23,11,24,2,60.0,2,1,258,6.0
Mac Jones,60323,QB,NE,1,38,63.2,24,14,19,2,75.8,3,2,232,6.1
Kyler Murray,38334,QB,ARZ,1,34,55.9,19,8,1,2,40.9,2,0,137,4.0
Aaron Rodgers,2241,QB,GB,1,29,69.0,20,8,12,0,91.9,5,0,225,7.8
Ryan Tannehill,7014,QB,TEN,1,24,62.5,15,9,31,3,66.7,1,1,220,9.2
Joe Mixon,11803,HB,CIN,1,1,100.0,1,1,7,0,131.3,0,1,6,6.0
Travis Kelce,7844,TE,KC,1,1,100.0,1,1,16,0,118.8,0,1,2,2.0
Odell Beckham Jr.,8647,WR,LA,1,1,100.0,1,1,26,0,118.8,0,0,40,40.0
Bryan Anger,7072,P,DAL,1,1,100.0,1,1,9,0,118.8,0,0,16,16.0
Cooper Kupp,11824,WR,LA,1,1,0.0,0,0,26,0,39.6,0,0,0,0.0
