player,player_id,position,team_name,player_game_count,attempts,completion_percent,completions,first_downs,franchise_id,interceptions,qb_rating,sacks,touchdowns,yards,ypa
Easton Stick,29466,QB,ATL,3,78,69.2,54,24,2,2,89.7,5,3,520,6.7
Tyson Bagent,169628,QB,CHI,3,69,66.7,46,31,6,1,106.6,4,5,511,7.4
Joe Milton III,82151,QB,DAL,3,65,55.4,36,18,9,2,71.1,3,2,397,6.1
Stetson Bennett,60387,QB,LA,2,64,68.8,44,30,26,2,105.7,2,5,512,8.0
Max Brosmer,105568,QB,MIN,3,58,60.3,35,15,18,1,82.8,4,2,364,6.3
Aidan O'Connell,60516,QB,LV,3,57,63.2,36,23,23,3,66.3,3,1,379,6.6
Trey Lance,91399,QB,LAC,4,57,56.1,32,20,27,0,85.0,3,2,334,5.9
Sam Ehlinger,60555,QB,DEN,3,57,73.7,42,23,10,1,98.2,4,2,415,7.3
Skylar Thompson,60417,QB,PIT,3,56,73.2,41,24,25,1,116.5,4,4,498,8.9
Kyle McCord,145053,QB,PHI,3,56,42.9,24,10,24,2,43.1,2,1,191,3.4
Riley Leonard,143862,QB,IND,3,56,60.7,34,20,14,1,76.9,1,1,345,6.2
Tyler Shough,83537,QB,NO,3,54,66.7,36,17,20,1,81.8,5,1,333,6.2
Adrian Martinez,83522,QB,NYJ,3,51,58.8,30,19,22,2,70.1,1,1,352,6.9
Clayton Tune,77652,QB,ARZ,3,49,61.2,30,11,1,1,67.2,8,1,186,3.8
Jaxson Dart,146409,QB,NYG,3,47,68.1,32,18,21,0,113.1,2,3,372,7.9
Connor Bazelak,99135,QB,TB,3,46,69.6,32,14,30,0,90.9,1,1,261,5.7
Sam Hartman,77618,QB,WAS,3,46,54.3,25,10,32,4,29.9,2,0,207,4.5
Shane Buechele,12659,QB,BUF,3,46,78.3,36,20,4,0,108.3,3,1,380,8.3
Ben Wooldridge,82115,QB,NE,3,45,57.8,26,15,19,1,80.7,1,2,269,6.0
Zach Wilson,82096,QB,MIA,3,45,64.4,29,13,17,0,93.5,7,1,327,7.3
Devin Leary,77628,QB,BLT,3,45,55.6,25,12,3,1,54.6,1,0,167,3.7
Kyle Allen,26152,QB,DET,4,44,79.5,35,24,11,2,123.6,4,5,401,9.1
Josh Johnson,4474,QB,WAS,3,44,63.6,28,14,32,3,60.7,0,1,279,6.3
Spencer Rattler,97408,QB,NO,3,43,69.8,30,12,20,1,86.9,4,1,295,6.9
Kedon Slovis,100580,QB,HST,3,43,62.8,27,12,13,1,75.0,2,1,233,5.4
Quinn Ewers,127253,QB,MIA,3,43,53.5,23,15,17,0,88.6,4,2,273,6.3
Kyle Trask,39987,QB,TB,3,43,65.1,28,15,30,0,87.5,3,1,241,5.6
Carter Bradley,77685,QB,SF,3,41,53.7,22,10,28,1,65.0,4,1,199,4.9
Brandon Allen,10835,QB,TEN,3,41,63.4,26,14,31,2,83.2,2,2,318,7.8
Hendon Hooker,60593,QB,DET,4,40,55.0,22,13,11,3,36.1,7,0,187,4.7
Jake Browning,46401,QB,CIN,2,39,56.4,22,12,7,1,79.1,2,2,221,5.7
Cooper Rush,12324,QB,BLT,3,39,69.2,27,16,3,3,65.4,1,1,273,7.0
Jalen Milroe,146590,QB,SEA,3,39,56.4,22,11,29,0,84.9,6,1,255,6.5
Brady Cook,124199,QB,NYJ,3,38,65.8,25,10,22,1,80.5,1,1,235,6.2
Seth Henigan,144267,QB,JAX,3,38,71.1,27,9,15,2,58.9,1,0,178,4.7
Jack Plummer,83543,QB,CAR,3,38,60.5,23,12,5,3,51.4,3,1,210,5.5
Tommy DeVito,60545,QB,NYG,3,38,78.9,30,18,21,1,126.2,0,4,323,8.5
Jarrett Stidham,13725,QB,DEN,2,38,78.9,30,19,10,0,143.0,2,4,376,9.9
Cam Miller,125299,QB,LV,3,37,54.1,20,10,23,1,67.7,7,1,203,5.5
Desmond Ridder,55086,QB,CIN,3,37,43.2,16,6,7,1,55.3,2,1,173,4.7
Dillon Gabriel,86272,QB,CLV,2,37,67.6,25,18,8,1,86.8,2,1,272,7.4
Nick Mullens,12282,QB,JAX,2,35,71.4,25,13,15,1,83.2,0,1,201,5.7
DJ Uiagalelei,122162,QB,LAC,3,35,54.3,19,11,27,1,83.5,0,2,244,7.0
Drew Lock,39517,QB,SEA,2,34,64.7,22,17,29,1,107.0,0,3,276,8.1
Graham Mertz,97994,QB,HST,3,32,71.9,23,13,13,3,56.0,1,1,174,5.4
Daniel Jones,39395,QB,IND,2,32,53.1,17,11,14,0,78.3,1,0,245,7.7
Jameis Winston,9434,QB,NYG,3,30,56.7,17,13,21,1,88.1,1,2,219,7.3
Shedeur Sanders,131396,QB,CLV,2,29,58.6,17,7,8,0,95.8,7,2,152,5.2
Brett Rypien,46487,QB,MIN,3,29,51.7,15,7,18,1,52.5,3,0,151,5.2
Malik Willis,60341,QB,GB,3,29,44.8,13,9,12,1,61.3,3,1,172,5.9
Joshua Dobbs,11890,QB,NE,2,28,57.1,16,11,19,0,84.1,0,1,151,5.4
Gardner Minshew,41401,QB,KC,3,27,63.0,17,12,16,0,91.7,0,1,161,6.0
Bailey Zappe,60396,QB,KC,3,27,55.6,15,6,16,2,33.6,2,0,104,3.9
Mitch Trubisky,11757,QB,BUF,2,26,61.5,16,8,4,0,97.1,0,1,193,7.4
Bo Nix,97790,QB,DEN,2,25,64.0,16,6,10,0,92.3,0,1,141,5.6
Tanner McKee,131770,QB,PHI,1,25,80.0,20,12,24,0,135.3,2,2,252,10.1
Caleb Williams,144622,QB,CHI,2,25,68.0,17,10,6,0,122.1,1,2,220,8.8
Jason Bean,83529,QB,IND,2,24,58.3,14,9,14,1,72.2,2,1,144,6.0
Mike White,46453,QB,BUF,2,24,50.0,12,6,4,0,100.3,3,2,166,6.9
Joe Burrow,28022,QB,CIN,2,24,75.0,18,11,7,0,136.3,1,3,185,7.7
Taylor Elgersma,197920,QB,GB,3,23,69.6,16,12,12,0,104.6,3,1,166,7.2
Andy Dalton,6187,QB,CAR,2,23,65.2,15,4,5,1,60.6,2,0,123,5.3
Chris Oladokun,40364,QB,KC,3,23,47.8,11,5,16,0,63.7,2,0,120,5.2
Mason Rudolph,46569,QB,PIT,3,23,78.3,18,6,25,2,89.5,1,2,166,7.2
Mac Jones,60323,QB,SF,2,23,73.9,17,10,28,2,65.3,2,0,209,9.1
Dresser Winn,63583,QB,LA,1,23,65.2,15,8,26,0,105.3,4,1,190,8.3
Tyler Huntley,46448,QB,CLV,3,22,77.3,17,5,8,0,106.1,2,1,129,5.9
Taylor Heinicke,9896,QB,LAC,3,21,47.6,10,6,27,0,60.6,2,0,95,4.5
Cam Ward,133244,QB,TEN,3,19,52.6,10,7,31,0,77.7,1,0,145,7.6
Tanner Mordecai,77656,QB,SF,2,19,68.4,13,6,28,1,81.9,1,1,124,6.5
Davis Mills,52269,QB,HST,2,19,63.2,12,8,13,0,96.6,0,1,111,5.8
Sam Howell,97599,QB,MIN,2,18,66.7,12,8,18,1,61.8,0,0,118,6.6
John Wolford,46454,QB,JAX,3,17,52.9,9,6,15,0,75.1,2,0,118,6.9
Austin Reed,111760,QB,CHI,2,17,64.7,11,9,6,0,82.2,0,0,107,6.3
Sean Clifford,51708,QB,GB,3,17,52.9,9,4,12,0,58.7,2,0,44,2.6
Trevor Lawrence,77632,QB,JAX,2,17,82.4,14,7,15,0,115.4,0,1,119,7.0
Jake Haener,60596,QB,NO,2,17,58.8,10,5,20,1,45.7,2,0,78,4.6
Jacoby Brissett,10725,QB,ARZ,2,16,68.8,11,10,1,0,134.9,0,3,138,8.6
Dorian Thompson-Robinson,83574,QB,PHI,2,16,62.5,10,4,24,1,47.1,1,0,73,4.6
Logan Woodside,46517,QB,PIT,2,15,53.3,8,4,25,1,41.8,1,0,83,5.5
Patrick Mahomes,11765,QB,KC,2,14,64.3,9,9,16,0,138.1,0,2,144,10.3
Russell Wilson,7077,QB,NYG,2,14,71.4,10,3,21,1,72.3,0,0,136,9.7
Geno Smith,7820,QB,LV,3,14,64.3,9,5,23,0,108.0,0,1,96,6.9
