player,player_id,position,team_name,player_game_count,attempts,completion_percent,completions,first_downs,franchise_id,interceptions,qb_rating,sacks,touchdowns,yards,ypa
Tom Brady,698,QB,TB,4,138,58.7,81,54,30,3,98.1,6,10,1061,7.7
Josh Allen,46601,QB,BUF,3,120,64.2,77,48,4,1,94.3,8,5,817,6.8
Patrick Mahomes,11765,QB,KC,3,117,65.0,76,47,16,2,90.8,4,4,850,7.3
Aaron Rodgers,2241,QB,GB,2,84,66.7,56,35,12,1,104.4,5,5,642,7.6
Drew Brees,802,QB,NO,2,73,64.4,47,20,20,3,75.1,0,3,399,5.5
Baker Mayfield,46518,QB,CLV,2,71,62.0,44,24,8,1,94.0,1,4,467,6.6
Ben Roethlisberger,1732,QB,PIT,1,68,69.1,47,29,25,4,85.5,0,4,501,7.4
Lamar Jackson,46416,QB,BLT,2,48,64.6,31,14,3,2,68.1,8,0,341,7.1
Jared Goff,10635,QB,LA,2,46,65.2,30,17,26,0,100.7,6,2,329,7.2
Philip Rivers,1725,QB,IND,1,46,58.7,27,17,14,0,93.5,0,2,309,6.7
Taylor Heinicke,9896,QB,WAS,1,44,59.1,26,19,32,1,78.4,2,1,306,7.0
Mitch Trubisky,11757,QB,CHI,1,29,65.5,19,9,6,0,96.8,1,1,199,6.9
Russell Wilson,7077,QB,SEA,1,27,40.7,11,7,29,1,72.1,5,2,174,6.4
Ryan Tannehill,7014,QB,TEN,1,26,69.2,18,9,31,1,83.0,1,1,165,6.3
Tyler Huntley,46448,QB,BLT,1,13,46.2,6,4,3,0,59.8,1,0,60,4.6
Chad Henne,4371,QB,KC,1,8,75.0,6,4,16,1,59.4,1,0,66,8.3
John Wolford,46454,QB,LA,1,6,50.0,3,2,26,0,63.9,1,0,29,4.8
Jameis Winston,9434,QB,NO,1,1,100.0,1,1,20,0,158.3,0,1,56,56.0
