player,player_id,position,team_name,player_game_count,attempts,completion_percent,completions,first_downs,franchise_id,interceptions,qb_rating,sacks,touchdowns,yards,ypa
Sam Howell,97599,QB,WAS,17,612,63.4,388,193,32,21,78.9,65,21,3945,6.4
Jared Goff,10635,QB,DET,17,605,67.3,407,228,11,12,97.9,30,30,4574,7.6
Patrick Mahomes,11765,QB,KC,16,597,67.2,401,232,16,14,92.6,27,27,4183,7.0
Dak Prescott,10769,QB,DAL,17,590,69.5,410,234,9,9,105.9,38,36,4516,7.7
Jordan Love,40306,QB,GB,17,579,64.2,372,216,12,11,96.1,29,32,4158,7.2
Josh Allen,46601,QB,BUF,17,579,66.5,385,223,4,18,92.2,24,29,4307,7.4
Baker Mayfield,46518,QB,TB,17,566,64.3,364,199,30,10,94.6,40,28,4045,7.1
Trevor Lawrence,77632,QB,JAX,16,564,65.6,370,194,15,14,88.5,35,21,4016,7.1
Tua Tagovailoa,60326,QB,MIA,17,561,69.3,389,227,17,14,101.0,29,29,4620,8.2
Derek Carr,8671,QB,NO,17,548,68.4,375,187,20,8,97.7,31,25,3878,7.1
Jalen Hurts,40291,QB,PHI,17,538,65.4,352,202,24,15,89.1,36,23,3858,7.2
Bryce Young,123943,QB,CAR,16,527,59.8,315,150,5,10,73.7,62,11,2877,5.5
Matthew Stafford,4924,QB,LA,15,521,62.6,326,189,26,11,92.5,30,24,3965,7.6
C.J. Stroud,129759,QB,HST,15,499,63.9,319,197,13,5,100.8,38,23,4108,8.2
Geno Smith,7820,QB,SEA,15,499,64.7,323,177,29,9,92.1,31,20,3624,7.3
Gardner Minshew,41401,QB,IND,16,490,62.2,305,153,14,9,84.6,34,15,3305,6.7
Lamar Jackson,46416,QB,BLT,16,457,67.2,307,187,3,7,102.7,37,24,3678,8.0
Justin Herbert,28237,QB,LAC,13,456,65.1,297,163,27,7,93.2,29,20,3134,6.9
Russell Wilson,7077,QB,DEN,15,447,66.4,297,150,10,8,98.0,45,26,3075,6.9
Brock Purdy,77672,QB,SF,16,444,69.4,308,199,28,11,113.0,28,31,4280,9.6
Joshua Dobbs,11890,QB,MIN,13,417,62.8,262,143,18,10,79.5,30,13,2464,5.9
Desmond Ridder,55086,QB,ATL,15,388,64.2,249,146,2,12,83.4,31,12,2836,7.3
Justin Fields,82118,QB,CHI,13,370,61.4,227,141,6,9,86.3,43,16,2562,6.9
Zach Wilson,82096,QB,NYJ,12,368,60.1,221,110,22,7,77.2,46,8,2271,6.2
Joe Burrow,28022,QB,CIN,10,365,66.8,244,122,7,6,91.0,24,15,2309,6.3
Mac Jones,60323,QB,NE,11,345,64.9,224,104,19,12,77.0,22,10,2120,6.1
Aidan O'Connell,60516,QB,LV,11,343,62.1,213,107,23,7,83.9,24,12,2218,6.5
Kenny Pickett,60515,QB,PIT,12,324,62.0,201,96,25,4,81.4,23,6,2070,6.4
