player,player_id,position,team_name,player_game_count,assists,forced_fumbles,franchise_id,hits,interceptions,pass_break_ups,sacks,tackles
Dru Prox,23093,LB,UTSA,1,0,0,331,0,0,0,0,0
Brandon Bouyer-Randle,42637,LB,UCONN,1,6,0,146,0,0,0,0,3
Clifford Chattman,42657,S,UTSA,2,3,0,331,0,2,0,0,12
Anthony Watts,42807,DI,MARSHALL,1,0,0,214,0,0,0,0,1
Ryan McWood,43189,LB,MIAMI OH,1,5,0,221,0,0,0,0,6
Jaydon Grant,43354,S,OREGON ST,1,0,0,265,0,0,0,0,3
Tyrone Hopper,43714,ED,MISSOURI,1,0,0,229,0,0,0,0,0
Semisi Fakasiieiki,44340,LB,PURDUE,1,0,0,273,0,0,0,0,1
George Nyakwol,52203,S,RICE,1,2,0,275,0,0,0,0,2
Kenneth Orji,52209,ED,RICE,1,1,0,275,0,0,0,0,2
Trey Schuman,52216,ED,RICE,1,0,0,275,3,0,0,0,2
Alii Matau,52219,LB,S JOSE ST,1,1,0,285,0,0,0,0,2
Rico Tolefree,52250,LB,S JOSE ST,1,0,0,285,0,0,0,1,1
Tre White,52261,S,S JOSE ST,1,1,0,285,0,0,0,0,4
Gabe Reid,52273,ED,UTAH,2,1,0,328,0,0,0,2,4
Nick Roberts,52318,S,SMU,1,0,0,287,0,0,0,0,3
Bryce Dugan,52425,DI,OHIO,2,2,0,259,0,0,0,0,6
Tyler Bentley,52790,DI,PITTSBURGH,1,0,0,268,0,0,0,0,0
DeShawn Pace,53549,LB,CINCINNATI,1,2,0,138,0,0,0,0,7
Ja'von Hicks,53569,S,CINCINNATI,1,2,0,138,0,1,0,0,2
Eric Phillips,53572,ED,CINCINNATI,1,1,0,138,0,0,0,0,2
Ivan Pace Jr.,53587,LB,CINCINNATI,1,4,0,138,0,0,0,1,9
Ryan Mullaney,53704,ED,CINCINNATI,1,0,0,138,0,0,0,0,1
Jaheim Thomas,54193,LB,CINCINNATI,1,1,0,138,0,0,0,0,5
Isaiah Norman,54967,S,MARSHALL,1,0,0,214,0,0,0,0,2
Troy Brown,55050,LB,OLE MISS,1,0,0,226,0,0,0,0,1
Jabari Taylor,55075,ED,CINCINNATI,1,0,0,138,1,0,0,0,0
Wilson Huber,55090,LB,CINCINNATI,1,0,0,138,0,0,1,0,4
Ian Swenson,55104,LB,UCONN,1,0,1,146,0,0,0,0,3
Chris Bacon,55196,S,BOWL GREEN,1,0,0,122,0,1,0,0,7
Zachary Ford,55353,S,TOLEDO,2,2,0,316,0,0,2,0,4
Nate Givhan,55355,ED,TOLEDO,2,1,1,316,1,0,0,2,1
Anthony Montalvo,55417,DI,UCF,2,1,0,323,0,0,0,0,2
Mike Allen,55430,ED,W KENTUCKY,1,1,0,346,0,0,0,1,0
Tyler Williams,55432,DI,WAKE,1,0,0,339,2,0,0,2,2
DJ Taylor,55438,LB,BOWL GREEN,1,1,0,122,0,0,0,0,3
Azizi Hearn,55569,CB,UCLA,1,0,0,324,0,0,1,0,4
Cedrick Dort Jr.,55614,CB,WISCONSIN,1,0,0,349,0,1,1,0,0
Zack Sanders,55638,CB,OHIO,1,1,0,259,0,0,0,0,8
Tre Shaw,55648,CB,W KENTUCKY,1,2,0,346,0,0,0,0,4
Tariq Drake,55668,S,OHIO,2,0,0,259,0,0,0,0,3
Justin Broiles,55678,S,OKLAHOMA,1,1,0,261,0,0,1,0,6
Grayson Cash,55727,S,UAB,1,1,0,321,0,0,0,0,1
Zahodri Jackson,55736,CB,N TEXAS,1,0,0,251,0,0,0,0,1
C.J. Coldon Jr.,55750,CB,OKLAHOMA,1,1,0,261,0,0,0,0,1
Jarques McClellion,55795,S,FLORIDA ST,1,0,0,167,0,0,0,0,2
Korey Hernandez,55796,CB,E MICHIGAN,1,1,0,160,0,0,0,0,0
Cyrus Fagan,55895,S,NC STATE,1,2,0,248,0,1,2,0,1
Latavious Brini,55915,S,ARKANSAS,1,3,0,111,0,0,0,0,2
Devodric Bynum,55931,CB,UAB,1,0,0,321,0,0,1,0,4
Bennett Williams,55954,CB,OREGON,1,4,0,264,0,0,0,0,3
Camron Harrell,55965,CB,SO MISS,1,0,0,296,0,0,0,0,4
Datrone Young,55969,CB,DUKE,1,0,0,154,0,0,1,0,5
Gervarrius Owens,55987,S,HOUSTON,1,0,0,182,0,0,0,0,3
Tyrell Ajian,55995,S,KENTUCKY,1,0,0,202,0,0,0,0,0
Bralen Trahan,56012,S,LA LAFAYET,1,0,0,207,0,0,0,0,5
Xavier Cullens,56044,LB,MEMPHIS,1,3,0,218,0,0,1,0,5
Derrick Smith,56050,LB,W KENTUCKY,1,0,0,346,0,0,2,0,7
Hunter Reynolds,56060,S,UTAH ST,1,0,0,329,0,0,0,0,5
Tavyn Jackson,56164,S,COAST CAR,2,2,0,141,0,0,0,0,3
Adrian Frye,56233,CB,TEXAS TECH,1,2,0,315,0,0,1,0,4
Jordan Perryman,56240,CB,WASHINGTON,1,0,0,340,0,0,0,0,5
Elijah Gates,56243,S,FRESNO ST,1,0,0,169,0,0,0,0,0
Jay Shaw,56244,CB,WISCONSIN,1,0,0,349,0,1,0,0,0
Mo Osling III,56246,S,UCLA,1,2,0,324,0,0,0,0,5
Armani Marsh,56292,CB,WASH STATE,1,0,0,341,0,0,1,0,7
Jose Ramirez,56323,ED,E MICHIGAN,1,0,0,160,1,0,0,0,3
