player,player_id,position,team_name,player_game_count,attempts,first_downs,franchise_id,fumbles,longest,rec_yards,receptions,targets,total_touches,touchdowns,yards,ypa
Tyler Vitt,83566,QB,TEXAS ST,7,28,15,314,1,21,0,0,0,24,1,180,6.4
Chase Garbers,60356,QB,CAL,4,28,8,130,1,22,0,0,0,9,2,142,5.1
Spencer Petras,82136,QB,IOWA,8,28,10,192,2,10,0,0,0,18,2,54,1.9
B.J. Baylor,52122,HB,OREGON ST,7,27,8,265,0,25,30,5,7,32,1,124,4.6
Jayden Daniels,97993,QB,ARIZONA ST,4,27,13,110,2,53,0,0,0,17,4,267,9.9
Layne Hatcher,82068,QB,ARK STATE,11,27,6,113,2,15,0,0,0,5,0,110,4.1
DK Billingsley,57432,HB,TROY,6,27,7,318,0,14,23,3,3,30,1,96,3.6
Jordan Mims,57209,HB,FRESNO ST,6,27,4,169,0,84,92,10,12,37,1,148,5.5
Xavier Williams,57263,HB,KENT STATE,4,27,12,201,0,49,0,0,0,27,3,216,8.0
Chance Nolan,78493,QB,OREGON ST,4,26,10,265,2,28,0,0,0,12,1,183,7.0
Chez Mellusi,99597,HB,CLEMSON,8,26,7,140,0,38,7,3,3,29,3,150,5.8
Jabari Small,124298,HB,TENNESSEE,6,26,8,307,0,17,24,4,5,30,0,117,4.5
Craig Williams,77756,HB,BAYLOR,4,26,8,118,0,32,0,0,0,26,2,192,7.4
Marcus Major Jr.,99488,HB,OKLAHOMA,4,26,6,261,0,21,29,2,2,28,2,77,3.0
Blake Corum,129574,HB,MICHIGAN,6,26,5,222,0,15,73,5,7,31,2,77,3.0
Daniyel Ngata,131623,HB,ARIZONA ST,4,26,6,110,0,10,16,1,2,27,1,104,4.0
Ari Broussard,75824,HB,RICE,4,26,6,275,0,16,10,1,1,27,0,88,3.4
Michael Penix Jr.,82134,QB,INDIANA,6,26,5,190,1,25,-4,0,0,22,2,23,0.9
Myles Fells,57326,HB,NAVY,10,25,9,237,1,33,108,3,6,27,0,161,6.4
Calvin Brownholtz,83584,QB,UTEP,8,25,9,330,3,29,0,0,0,21,3,139,5.6
Knowledge McDaniel,97294,HB,MARSHALL,4,25,9,214,0,18,0,0,0,25,1,158,6.3
Rocky Lombardi,60452,QB,MICH STATE,6,25,6,223,4,21,0,0,0,21,0,106,4.2
Bryson Carroll,60479,HB,NEW MEXICO,7,25,4,241,0,37,81,9,10,34,0,118,4.7
Jason Shelley,60581,QB,UTAH ST,4,24,9,329,1,20,0,0,0,12,0,135,5.6
Kadin Remsberg,83598,HB,AIR FORCE,4,24,7,101,0,21,0,0,0,24,1,149,6.2
Logan Bonner,39990,QB,ARK STATE,11,24,4,113,5,23,17,1,1,12,0,111,4.6
Jase McClellan,123926,HB,ALABAMA,5,24,9,103,0,80,1,1,1,25,2,250,10.4
Don Ragsdale,121470,HB,SO MISS,3,24,6,296,0,21,1,1,3,25,1,79,3.3
Brandon Peters,40416,QB,ILLINOIS,5,24,8,187,4,31,0,0,0,21,1,144,6.0
Justice Ellison,123383,HB,WAKE,4,24,3,339,0,17,0,0,0,24,1,94,3.9
Todd Centeio,60552,QB,COLO STATE,3,24,6,144,1,35,0,0,0,21,0,103,4.3
Jeremy Hunt,123483,QB,LA MONROE,7,24,4,209,4,22,0,0,0,11,1,100,4.2
T.J. Finley,124093,QB,LSU,5,24,7,211,3,10,0,0,0,19,1,69,2.9
Marvin Scott III,129711,HB,NEBRASKA,5,24,5,238,0,8,17,2,2,26,0,62,2.6
Justin Hall,61158,WR,BALL ST,6,24,6,117,0,34,625,44,57,68,1,176,7.3
Evan Hull,97302,HB,NWESTERN,6,23,7,256,0,50,32,3,3,26,2,202,8.8
Warren Bryan,101291,QB,AIR FORCE,3,23,8,101,0,27,0,0,0,21,1,116,5.0
KJ Jefferson,99129,QB,ARKANSAS,5,23,7,111,2,19,0,0,1,21,2,94,4.1
Tommy DeVito,60545,QB,SYRACUSE,4,23,7,304,0,19,0,0,0,10,0,132,5.7
Markenzy Pierre,57421,HB,SYRACUSE,7,23,2,304,0,7,2,1,1,24,0,46,2.0
