player,player_id,position,team_name,player_game_count,attempts,first_downs,franchise_id,fumbles,longest,rec_yards,receptions,targets,total_touches,touchdowns,yards,ypa
Dillon Johnson,124176,HB,WASHINGTON,3,60,15,340,0,18,49,6,6,66,4,234,3.9
Blake Corum,129574,HB,MICHIGAN,3,56,11,222,1,59,45,5,5,61,5,269,4.8
Rashad Amos,124224,HB,MIAMI OH,2,46,14,221,1,28,34,2,2,48,3,259,5.6
Kimani Vidal,123727,HB,TROY,2,43,16,318,0,49,3,1,2,44,5,312,7.3
Ollie Gordon II,157792,HB,OKLA STATE,2,40,7,262,0,25,58,6,9,46,1,152,3.8
George Holani,72154,HB,BOISE ST,2,37,10,120,0,66,48,2,3,39,2,214,5.8
Ashton Jeanty,157196,HB,BOISE ST,2,37,10,120,1,50,32,6,7,43,1,241,6.5
Emmanuel Michel,145972,FB,AIR FORCE,1,35,11,101,0,54,0,0,0,35,2,203,5.8
Darius Taylor,173422,HB,MINNESOTA,1,35,13,225,0,17,11,2,2,37,1,209,6.0
Quinshon Judkins,157128,HB,OLE MISS,1,34,8,226,0,18,14,1,2,35,0,106,3.1
Cody Schrader,157177,HB,MISSOURI,1,29,5,229,0,11,0,0,0,29,1,128,4.4
Jalen Milroe,146590,QB,ALABAMA,2,28,7,103,5,30,0,0,0,21,0,160,5.7
DJ Giddens,144595,HB,KANSAS ST,1,28,8,199,0,20,37,1,2,29,1,151,5.4
Anderson Castle,122234,HB,APP STATE,2,28,10,108,1,26,15,2,3,30,0,166,5.9
Isaac Guerendo,83806,HB,LOUISVILLE,2,27,11,210,0,32,42,5,5,32,3,171,6.3
Ron Wiggins,125380,HB,JVILLE ST,1,27,8,196,0,19,17,3,3,30,1,126,4.7
Vincent Davis,99593,HB,UNLV,2,27,6,325,0,14,1,1,1,28,2,93,3.4
Makhi Hughes,158417,HB,TULANE,2,26,6,319,0,24,8,1,1,27,0,132,5.1
Kyle Monangai,129891,HB,RUTGERS,1,25,8,278,0,40,17,2,2,27,1,163,6.5
Kaidon Salter,132046,QB,LIBERTY,2,25,10,206,1,52,0,0,0,18,1,195,7.8
Freddie Brock IV,142276,HB,GA STATE,1,24,9,175,0,60,15,2,2,26,1,276,11.5
Ismail Mahdi,161419,HB,TEXAS ST,1,24,4,314,0,33,-1,2,2,26,0,122,5.1
Antario Brown,145868,HB,N ILLINOIS,1,24,7,254,0,32,0,0,0,24,0,130,5.4
Kanye Roberts,157543,HB,APP STATE,2,23,7,108,1,19,16,3,3,26,2,101,4.4
Jaylan Knighton,122215,HB,SMU,2,23,6,287,0,23,20,5,6,28,1,100,4.3
Kevin Jennings,158272,QB,SMU,2,23,7,287,3,17,0,0,0,11,0,130,5.7
Bucky Irving,144970,HB,OREGON,2,23,5,264,0,44,34,8,9,31,1,137,6.0
Tommy Castellanos,158433,QB,BOSTON COL,1,23,10,121,0,24,0,0,0,21,2,152,6.6
Kendall Milton,124031,HB,GEORGIA,2,22,7,173,0,43,4,1,1,23,4,146,6.6
Tahj Brooks,123133,HB,TEXAS TECH,1,22,6,315,0,11,-3,5,5,27,1,96,4.4
CJ Baxter,173153,HB,TEXAS,2,22,6,311,1,16,72,6,6,28,2,105,4.8
LeQuint Allen,158290,HB,SYRACUSE,1,21,1,304,1,6,13,2,2,23,0,0,0.0
Dylan Sampson,163772,HB,TENNESSEE,1,20,7,307,0,31,0,0,1,20,0,133,6.7
Diego Pavia,156927,QB,NEW MEX ST,2,20,6,242,1,25,0,0,0,11,2,131,6.6
Devin Neal,144558,HB,KANSAS,1,20,3,198,0,16,3,1,1,21,1,71,3.6
Aveon Smith,130529,QB,MIAMI OH,1,20,3,221,0,50,0,0,0,15,0,108,5.4
Omarion Hampton,162750,HB,N CAROLINA,1,20,2,245,1,9,7,3,3,23,0,62,3.1
TJ Harden,162457,HB,UCLA,1,20,6,324,0,27,26,4,4,24,2,105,5.3
Malik Sherrod,128189,HB,FRESNO ST,1,20,2,169,0,34,81,8,8,28,0,90,4.5
Devin Grainger,78496,QB,GA STATE,1,20,10,175,2,32,0,0,0,17,2,138,6.9
Jaydon Blue,157303,HB,TEXAS,2,19,7,311,1,16,83,7,9,26,1,92,4.8
Quinton Cooley,123380,HB,LIBERTY,2,19,10,206,0,41,10,2,2,21,3,150,7.9
Ethan Vasko,163817,QB,COAST CAR,1,19,4,141,0,10,0,0,0,15,0,48,2.5
Billy Lucas,109083,HB,LIBERTY,2,19,6,206,0,43,21,1,1,20,1,96,5.1
TreVeyon Henderson,145059,HB,OHIO STATE,1,19,3,260,0,20,0,0,1,19,0,71,3.7
Trey Benson,131705,HB,FLORIDA ST,1,18,3,167,0,21,15,2,2,20,0,67,3.7
Jamal Haynes,143918,HB,GA TECH,1,18,8,176,0,35,0,0,2,18,0,128,7.1
Harrison Waylee,130584,HB,WYOMING,1,18,4,351,1,18,3,3,3,21,0,87,4.8
Bhayshul Tuten,150568,HB,VA TECH,1,18,5,337,1,44,19,2,3,20,2,136,7.6
Daijun Edwards,124021,HB,GEORGIA,2,17,9,173,0,17,39,3,3,20,2,100,5.9
Kyron Drones,144506,QB,VA TECH,1,17,10,337,3,51,0,1,1,13,1,206,12.1
Jaydn Ott,158325,HB,CAL,1,17,3,130,0,26,55,5,6,22,1,54,3.2
Parker Navarro,123758,QB,OHIO,1,17,2,259,0,24,0,0,0,16,0,68,4.0
Roydell Williams,123939,HB,ALABAMA,2,17,3,103,0,12,9,1,1,18,1,64,3.8
Brady Cook,124199,QB,MISSOURI,1,17,7,229,1,17,0,0,0,12,0,91,5.4
Rickey Hunt Jr.,171350,HB,OHIO,1,17,7,259,0,40,18,1,1,18,4,115,6.8
Zion Webb,63555,QB,JVILLE ST,1,17,5,196,0,15,0,0,0,16,0,68,4.0
Jaylon Glover,158484,HB,UTAH,1,16,2,328,1,12,18,1,1,17,0,49,3.1
Dre Washington,147143,HB,LA LAFAYET,1,16,3,207,0,17,1,1,1,17,0,73,4.6
Dontae Smith,77717,HB,GA TECH,1,16,6,176,0,11,7,2,3,18,1,65,4.1
Caden Veltkamp,156642,QB,W KENTUCKY,1,16,5,346,0,28,0,0,0,14,0,76,4.8
Brennan Armstrong,77696,QB,NC STATE,1,16,6,248,0,31,0,0,0,12,1,123,7.7
Haynes King,124329,QB,GA TECH,1,16,4,176,0,32,0,0,0,15,1,82,5.1
Leshon Williams,129487,HB,IOWA,2,15,1,192,0,7,0,1,1,16,0,42,2.8
