player,player_id,position,team_name,player_game_count,assists,forced_fumbles,franchise_id,hits,interceptions,pass_break_ups,sacks,tackles
Devin White,43089,LB,TB,2,3,0,30,4,0,1,0,8
Damar Hamlin,43291,S,BUF,1,0,0,4,0,0,0,0,1
Myles Bryant,43336,CB,NE,1,0,0,19,0,0,0,0,2
Alex Highsmith,43507,ED,PIT,1,1,0,25,0,0,0,1,2
Jeffery Simmons,43742,DI,TEN,1,1,0,31,0,0,0,3,4
Byron Murphy Jr.,44027,CB,ARZ,1,0,0,1,0,0,0,0,5
Boogie Basham,44320,ED,BUF,2,1,0,4,0,0,0,1,4
Naquan Jones,44363,DI,TEN,1,0,0,31,1,0,0,1,1
Isaiahh Loudermilk,44416,DI,PIT,1,1,0,25,0,0,0,0,1
Rashard Lawrence,44515,DI,ARZ,1,0,0,1,0,0,0,0,1
Trysten Hill,44519,DI,DAL,1,1,0,9,0,0,0,0,0
Leki Fotu,44614,DI,ARZ,1,1,0,1,1,0,0,0,0
Terrell Burgess,45255,S,LA,2,2,0,26,0,0,0,0,5
A.J. Brown,48327,WR,TEN,1,0,0,31,0,0,0,0,0
Kentavius Street,48404,DI,SF,3,0,0,28,0,0,0,0,2
Anthony Nelson,48405,ED,TB,2,0,0,30,2,0,0,0,1
Mike Danna,48415,ED,KC,3,0,0,16,2,0,0,1,2
Sam Hubbard,48457,ED,CIN,4,5,1,7,1,0,0,3,12
Justin Hollins,48498,ED,LA,4,1,0,26,0,0,0,0,1
Dorance Armstrong,48557,ED,DAL,1,0,0,9,1,0,0,0,3
Harold Landry III,48600,ED,TEN,1,1,0,31,0,0,0,2,3
Tyler Lancaster,48604,DI,GB,1,0,0,12,0,0,0,0,1
Harrison Phillips,48690,DI,BUF,2,1,0,4,0,0,0,0,6
Greg Gaines,48706,DI,LA,4,3,0,26,0,0,0,0,8
Michael Dogbe,48850,DI,ARZ,1,0,0,1,0,0,0,0,0
Daniel Ekuale,48874,DI,NE,1,0,0,19,0,0,0,0,1
Henry Mondeaux,48889,DI,PIT,1,0,0,25,0,0,0,0,1
Vita Vea,48956,DI,TB,2,0,0,30,1,0,0,1,3
Kevin Strong,48981,DI,TEN,1,0,0,31,0,0,0,0,0
Nick Scott,49012,S,LA,4,1,0,26,0,1,2,0,12
Tre Flowers,49059,CB,CIN,4,1,0,7,0,0,1,0,5
Jalen Thompson,49116,S,ARZ,1,2,0,1,0,0,0,0,9
Dallin Leavitt,49120,S,LV,1,1,0,23,0,0,0,0,0
Jessie Bates III,49162,S,CIN,4,5,0,7,0,2,3,0,15
Jordan Whitehead,49196,S,TB,2,4,0,30,0,0,0,0,11
Marcus Allen,49263,LB,PIT,1,1,0,25,0,0,0,0,0
Rashad Fenton,49329,CB,KC,1,1,0,16,0,0,0,0,3
Carlton Davis III,49335,CB,TB,2,1,0,30,0,0,1,0,6
Chandon Sullivan,49349,CB,GB,1,0,0,12,0,0,0,0,3
Jaire Alexander,49350,CB,GB,1,0,0,12,0,0,0,0,0
Cam Lewis,49395,CB,BUF,1,1,0,4,0,0,0,0,1
