player,player_id,position,team_name,player_game_count,caught_percent,first_downs,franchise_id,fumbles,longest,receptions,targets,touchdowns,yards,yards_per_reception
Puka Nacua,100632,WR,LA,3,60.0,17,26,0,44,24,40,2,332,13.8
Jaxon Smith-Njigba,129758,WR,SEA,3,68.0,11,29,0,42,17,25,2,199,11.7
Colston Loveland,158540,TE,CHI,2,48.0,9,6,0,29,12,25,0,193,16.1
Davante Adams,8688,WR,LA,3,45.8,10,26,0,35,11,24,1,185,16.8
Cooper Kupp,11824,WR,SEA,3,68.2,8,29,0,23,15,22,1,157,10.5
Khalil Shakir,84140,WR,BUF,2,90.5,5,4,0,46,19,21,0,157,8.3
Stefon Diggs,9579,WR,NE,4,70.0,4,19,0,26,14,20,1,110,7.9
Kayshon Boutte,124087,WR,NE,4,47.4,6,19,0,42,9,19,1,168,18.7
Rhamondre Stevenson,98689,HB,NE,4,80.0,6,19,0,48,12,15,1,126,10.5
Hunter Henry,10669,TE,NE,4,60.0,4,19,0,28,9,15,1,112,12.4
Xavier Hutchinson,122518,WR,HST,2,40.0,3,13,0,23,6,15,0,65,10.8
DJ Moore,48267,WR,CHI,2,73.3,5,6,0,34,11,15,2,116,10.5
Jayden Higgins,150240,WR,HST,2,64.3,5,13,0,16,9,14,0,98,10.9
Colby Parkinson,52266,TE,LA,3,57.1,7,26,1,40,8,14,1,152,19.0
Courtland Sutton,48164,WR,DEN,2,50.0,4,10,0,25,7,14,1,70,10.0
Christian Kirk,47546,WR,HST,2,71.4,8,13,0,46,10,14,2,164,16.4
Christian McCaffrey,11763,HB,SF,2,78.6,7,28,0,29,11,14,2,105,9.5
Marvin Mims Jr.,122937,WR,DEN,2,85.7,7,10,0,52,12,14,1,155,12.9
Luther Burden III,157170,WR,CHI,2,50.0,3,6,0,25,6,12,0,66,11.0
Rome Odunze,73774,WR,CHI,2,33.3,4,6,0,27,4,12,0,88,22.0
Demario Douglas,104155,WR,NE,4,66.7,3,19,0,28,8,12,1,84,10.5
Kenneth Walker III,97199,HB,SEA,3,81.8,7,29,0,20,9,11,0,104,11.6
Jalen Coker,143068,WR,CAR,1,81.8,5,5,0,52,9,11,1,134,14.9
Brandin Cooks,8655,WR,BUF,2,45.5,4,4,0,36,5,11,0,78,15.6
Dalton Kincaid,91791,TE,BUF,2,81.8,6,4,0,25,9,11,2,111,12.3
RJ Harvey,99622,HB,DEN,2,81.8,3,10,0,24,9,11,0,68,7.6
Romeo Doubs,84329,WR,GB,1,72.7,7,12,0,34,8,11,1,124,15.5
Rashid Shaheed,63707,WR,SEA,3,30.0,3,29,0,51,3,10,0,78,26.0
Parker Washington,129799,WR,JAX,1,70.0,5,15,0,34,7,10,1,107,15.3
DeVonta Smith,61100,WR,PHI,1,80.0,2,24,0,15,8,10,0,70,8.8
Jake Tonges,60864,TE,SF,2,60.0,5,28,1,16,6,10,0,73,12.2
Mack Hollins,11873,WR,NE,2,60.0,5,19,0,35,6,10,1,129,21.5
Kyren Williams,97118,HB,LA,3,88.9,5,26,0,14,8,9,2,70,8.8
Dawson Knox,35883,TE,BUF,2,75.0,3,4,0,24,6,8,0,62,10.3
Keenan Allen,7857,WR,LAC,1,37.5,2,27,0,10,3,8,0,25,8.3
Jauan Jennings,48027,WR,SF,2,37.5,2,28,0,45,3,8,0,68,22.7
Demarcus Robinson,10760,WR,SF,2,87.5,5,28,0,61,7,8,1,112,16.0
Austin Hooper,10715,TE,NE,4,37.5,3,19,0,14,3,8,0,24,8.0
A.J. Brown,48327,WR,PHI,1,42.9,1,24,0,10,3,7,0,25,8.3
Dallas Goedert,47272,TE,PHI,1,57.1,2,24,0,15,4,7,1,33,8.3
Kyle Monangai,129891,HB,CHI,2,71.4,3,6,0,22,5,7,0,58,11.6
Lil'Jordan Humphrey,42247,WR,DEN,2,42.9,2,10,0,29,3,7,1,38,12.7
AJ Barner,129433,TE,SEA,3,85.7,5,29,1,16,6,7,1,67,11.2
Jayden Reed,78171,WR,GB,1,57.1,2,12,0,20,4,7,1,43,10.8
Christian Watson,66581,WR,GB,1,42.9,2,12,1,22,3,7,1,36,12.0
Nico Collins,61441,WR,HST,1,42.9,1,13,0,13,3,7,0,21,7.0
Matthew Golden,156165,WR,GB,1,66.7,4,12,0,36,4,6,1,84,21.0
Tetairoa McMillan,158735,WR,CAR,1,83.3,5,5,0,22,5,6,0,81,16.2
Kenneth Gainwell,77737,HB,PIT,1,66.7,0,25,0,12,4,6,0,26,6.5
Kyle Williams,128374,WR,NE,4,33.3,1,19,0,7,2,6,0,14,7.0
Dalton Schultz,47304,TE,HST,2,83.3,2,13,0,42,5,6,0,59,11.8
Terrance Ferguson,146563,TE,LA,2,16.7,1,26,0,19,1,6,0,19,19.0
Konata Mumpfield,145598,WR,LA,3,50.0,1,26,0,11,3,6,0,22,7.3
TreVeyon Henderson,145059,HB,NE,4,83.3,1,19,0,24,5,6,0,33,6.6
Evan Engram,11778,TE,DEN,2,50.0,1,10,0,12,3,6,0,26,8.7
Blake Corum,129574,HB,LA,3,100.0,1,26,0,15,5,5,0,37,7.4
Cade Stover,101486,TE,HST,2,60.0,0,13,0,8,3,5,0,15,5.0
Quentin Johnston,123085,WR,LAC,1,60.0,0,27,0,9,3,5,0,20,6.7
Kyle Juszczyk,7912,FB,SF,2,100.0,3,28,0,27,5,5,0,60,12.0
Harrison Bryant,26394,TE,HST,2,60.0,1,13,0,9,3,5,0,21,7.0
Travis Etienne Jr.,57185,HB,JAX,1,100.0,3,15,0,14,5,5,1,49,9.8
Cole Kmet,60995,TE,CHI,2,60.0,2,6,0,14,3,5,1,31,10.3
Tyler Higbee,10744,TE,LA,3,80.0,3,26,0,36,4,5,0,84,21.0
Calvin Austin III,61418,WR,PIT,1,60.0,1,25,0,6,3,5,0,8,2.7
George Holani,72154,HB,SEA,2,80.0,1,29,0,13,4,5,0,34,8.5
James Cook,83666,HB,BUF,2,80.0,1,4,0,24,4,5,0,29,7.3
Pat Bryant,144800,WR,DEN,2,100.0,3,10,0,15,4,4,0,34,8.5
Brenton Strange,101694,TE,JAX,1,50.0,0,15,0,9,2,4,0,9,4.5
Keon Coleman,144949,WR,BUF,2,50.0,2,4,0,36,2,4,1,46,23.0
D.K. Metcalf,47864,WR,PIT,1,50.0,2,25,0,25,2,4,0,42,21.0
Marquez Valdes-Scantling,47809,WR,PIT,1,75.0,1,25,0,14,3,4,0,26,8.7
Jakobi Meyers,47468,WR,JAX,1,25.0,1,15,0,12,1,4,0,12,12.0
Woody Marks,124179,HB,HST,2,50.0,1,13,0,13,2,4,0,19,9.5
Saquon Barkley,45791,HB,PHI,1,75.0,1,24,0,20,3,4,0,25,8.3
Olamide Zaccheaus,44920,WR,CHI,2,50.0,1,6,0,9,2,4,1,17,8.5
Ladd McConkey,124030,WR,LAC,1,75.0,2,27,0,20,3,4,0,32,10.7
Xavier Legette,99197,WR,CAR,1,25.0,0,5,0,8,1,4,0,8,8.0
Curtis Samuel,11795,WR,BUF,1,33.3,0,4,0,2,1,3,0,2,2.0
Kimani Vidal,123727,HB,LAC,1,66.7,0,27,0,11,2,3,0,20,10.0
Durham Smythe,47257,TE,CHI,2,66.7,0,6,0,6,2,3,0,11,5.5
Oronde Gadsden II,144046,TE,LAC,1,100.0,2,27,0,10,3,3,0,30,10.0
Tre Harris,122676,WR,LAC,1,66.7,2,27,0,14,2,3,0,20,10.0
Jake Bobo,77997,WR,SEA,3,66.7,2,29,0,17,2,3,1,33,16.5
Tommy Tremble,84025,TE,CAR,1,100.0,1,5,0,11,3,3,0,22,7.3
Chuba Hubbard,57373,HB,CAR,1,66.7,1,5,0,7,2,3,0,13,6.5
Pat Freiermuth,84085,TE,PIT,1,33.3,1,25,0,18,1,3,0,18,18.0
Gabe Davis,55410,WR,BUF,1,66.7,1,4,0,9,2,3,0,14,7.0
Tucker Fisk,52286,TE,LAC,1,100.0,0,27,0,7,3,3,0,12,4.0
Luke Farrell,42353,TE,SF,2,33.3,0,28,0,1,1,3,0,1,1.0
Jonnu Smith,11855,TE,PIT,1,66.7,0,25,0,0,2,3,0,-1,-0.5
Jordan Whittington,97623,WR,LA,2,100.0,2,26,0,20,2,2,0,35,17.5
Adam Thielen,8288,WR,PIT,1,100.0,2,25,0,21,2,2,0,25,12.5
George Kittle,11901,TE,SF,1,50.0,0,28,0,6,1,2,0,6,6.0
Kendrick Bourne,12270,WR,SF,2,0.0,0,28,0,0,0,2,0,0,
Rico Dowdle,40693,HB,CAR,1,50.0,0,5,0,6,1,2,0,6,6.0
Mecole Hardman Jr.,42683,WR,BUF,1,50.0,1,4,0,4,1,2,1,4,4.0
Josh Jacobs,45953,HB,GB,1,50.0,0,12,0,3,1,2,0,3,3.0
D'Andre Swift,57212,HB,CHI,2,100.0,2,6,0,23,2,2,0,38,19.0
Tyrell Shavers,61107,WR,BUF,1,50.0,1,4,0,14,1,2,0,14,14.0
Tyler Badie,83714,HB,DEN,2,50.0,0,10,0,7,1,2,0,7,7.0
Luke Musgrave,98499,TE,GB,1,50.0,0,12,0,9,1,2,0,9,9.0
Ray Davis,101072,HB,BUF,2,100.0,2,4,0,24,2,2,0,33,16.5
Adam Trautman,109795,TE,DEN,2,0.0,0,10,0,0,0,2,0,0,
Jaylin Noel,125155,WR,HST,2,0.0,0,13,0,0,0,2,0,0,
Jaleel McLaughlin,138346,HB,DEN,2,50.0,0,10,0,2,1,2,0,2,2.0
Jimmy Horn Jr.,144483,WR,CAR,1,0.0,0,5,0,0,0,2,0,0,
Brian Thomas Jr.,146760,WR,JAX,1,100.0,2,15,0,18,2,2,1,21,10.5
Skyy Moore,97116,WR,SF,2,0.0,0,28,0,0,0,1,0,0,
Nate Adkins,87625,TE,DEN,2,100.0,0,10,0,1,1,1,0,1,1.0
Brycen Tremayne,84425,WR,CAR,1,0.0,0,5,0,0,0,1,0,0,
Jahan Dotson,84375,WR,PHI,1,0.0,0,24,0,0,0,1,0,0,
Elijah Moore,84302,WR,DEN,1,100.0,0,10,0,4,1,1,0,4,4.0
Darius Cooper,136866,WR,PHI,1,100.0,1,24,0,9,1,1,0,9,9.0
Tim Patrick,12087,WR,JAX,1,0.0,0,15,0,0,0,1,0,0,
Efton Chism III,141521,WR,NE,2,100.0,1,19,0,20,1,1,0,20,20.0
Jack Westover,84079,FB,NE,4,100.0,1,19,0,8,1,1,0,8,8.0
Drake Maye,143969,QB,NE,4,0.0,0,19,6,0,0,1,0,0,
