player,player_id,position,team_name,player_game_count,attempts,completion_percent,completions,first_downs,franchise_id,interceptions,qb_rating,sacks,touchdowns,yards,ypa
Michael Penix Jr.,82134,QB,WASHINGTON,3,128,64.8,83,47,340,3,89.5,3,4,1004,7.8
Quinn Ewers,127253,QB,TEXAS,2,89,66.3,59,38,311,1,107.4,3,5,770,8.7
Alan Bowman,77679,QB,OKLA STATE,2,87,64.4,56,34,262,3,91.7,1,5,652,7.5
Kevin Jennings,158272,QB,SMU,2,81,53.1,43,27,287,2,64.5,3,2,394,4.9
J.J. McCarthy,144918,QB,MICHIGAN,3,76,64.5,49,27,222,0,96.8,5,3,508,6.7
Joey Aguilar,174978,QB,APP STATE,2,72,63.9,46,25,108,1,77.7,5,0,486,6.8
Bo Nix,97790,QB,OREGON,2,69,71.0,49,35,264,1,130.2,0,8,602,8.7
Jayden Maiava,158135,QB,UNLV,2,64,60.9,39,21,325,4,72.2,1,3,457,7.1
Jack Plummer,83543,QB,LOUISVILLE,2,62,56.5,35,11,210,1,59.1,9,0,249,4.0
Gunnar Watson,83570,QB,TROY,2,61,60.7,37,21,318,1,80.1,4,1,422,6.9
Caden Veltkamp,156642,QB,W KENTUCKY,1,52,76.9,40,19,346,1,120.7,3,5,380,7.3
Deacon Hill,145170,QB,IOWA,2,50,50.0,25,8,192,2,41.8,8,0,176,3.5
Kaidon Salter,132046,QB,LIBERTY,2,49,71.4,35,25,206,1,111.1,0,3,442,9.0
Brock Glenn,170335,QB,FLORIDA ST,2,47,36.2,17,8,167,2,31.7,6,0,194,4.1
Carson Beck,124010,QB,GEORGIA,2,47,72.3,34,21,173,0,116.1,3,2,446,9.5
Jalen Milroe,146590,QB,ALABAMA,2,46,63.0,29,17,103,0,97.0,11,2,308,6.7
Jackson Arnold,173684,QB,OKLAHOMA,1,45,57.8,26,14,261,3,70.1,3,2,355,7.9
Garrett Nussmeier,146757,QB,LSU,1,45,68.9,31,19,211,1,109.0,0,3,395,8.8
Cade Klubnik,156253,QB,CLEMSON,1,43,69.8,30,15,140,1,76.5,7,0,268,6.2
Behren Morton,144747,QB,TEXAS TECH,1,43,62.8,27,12,315,1,92.8,1,3,256,6.0
Davis Brin,77642,QB,GA SOUTHRN,1,42,76.2,32,10,174,3,85.9,5,2,345,8.2
Diego Pavia,156927,QB,NEW MEX ST,2,41,53.7,22,13,242,1,86.0,4,3,246,6.0
Tanner Mordecai,77656,QB,WISCONSIN,1,40,67.5,27,15,349,0,122.7,5,3,378,9.5
Mikey Keene,70961,QB,FRESNO ST,1,40,77.5,31,19,169,1,120.8,0,3,380,9.5
Jaxson Dart,146409,QB,OLE MISS,1,40,62.5,25,20,226,0,118.6,1,3,379,9.5
Connor Bazelak,99135,QB,BOWL GREEN,1,39,53.8,21,11,122,0,79.1,3,1,221,5.7
Rocco Becht,157567,QB,IOWA STATE,1,39,56.4,22,19,193,0,122.4,2,3,446,11.4
Drew Allar,164157,QB,PENN STATE,1,39,48.7,19,16,266,1,80.5,1,2,294,7.5
