player,player_id,position,team_name,player_game_count,caught_percent,first_downs,franchise_id,fumbles,longest,receptions,targets,touchdowns,yards,yards_per_reception
ShunDerrick Powell,154768,HB,PHI,3,100.0,0,24,0,2,1,1,0,2,2.0
Tee Higgins,61211,WR,CIN,2,0.0,0,7,0,0,0,1,0,0,
Nikola Kalinic,156095,TE,ATL,3,0.0,0,2,0,0,0,1,0,0,
Jerry Jeudy,61103,WR,CLV,1,0.0,0,8,0,0,0,1,0,0,
Cade Otton,61071,TE,TB,1,0.0,0,30,0,0,0,1,0,0,
Grant Calcaterra,60997,TE,PHI,1,0.0,0,24,0,0,0,1,0,0,
Cole Kmet,60995,TE,CHI,2,100.0,1,6,0,29,1,1,0,29,29.0
Mason Taylor,157122,TE,NYJ,1,100.0,0,22,0,4,1,1,0,4,4.0
Xazavian Valladay,57490,HB,MIN,1,100.0,0,18,0,2,1,1,0,2,2.0
Chuba Hubbard,57373,HB,CAR,2,0.0,0,5,0,0,0,1,0,0,
Ashton Jeanty,157196,HB,LV,3,100.0,0,23,0,2,1,1,0,2,2.0
J.K. Dobbins,57366,HB,DEN,1,100.0,0,10,0,4,1,1,0,4,4.0
Ben Skowronek,27948,WR,PIT,1,100.0,0,25,0,3,1,1,0,3,3.0
Elijah Mitchell,57272,HB,KC,3,100.0,1,16,0,13,1,1,0,13,13.0
D'Andre Swift,57212,HB,CHI,1,100.0,0,6,0,6,1,1,0,6,6.0
Gary Brightwell,57133,HB,CIN,3,100.0,0,7,0,9,1,1,0,9,9.0
Tucker Fisk,52286,TE,LAC,4,100.0,1,27,0,19,1,1,0,19,19.0
Giovanni Ricci,13756,TE,MIN,3,100.0,0,18,0,11,1,1,0,11,11.0
Nick Westbrook-Ikhine,47861,WR,MIA,2,100.0,1,17,0,35,1,1,0,35,35.0
Drew Sample,47259,TE,CIN,2,100.0,0,7,0,1,1,1,0,1,1.0
Tyler Conklin,47124,TE,LAC,2,0.0,0,27,0,0,0,1,0,0,
Jaleel McLaughlin,138346,HB,DEN,2,100.0,0,10,0,5,1,1,0,5,5.0
Isaiah Davis,138299,HB,NYJ,1,100.0,0,22,0,11,1,1,0,11,11.0
Kisean Johnson,141735,WR,CLV,2,0.0,0,8,0,0,0,1,0,0,
Benjamin Yurosek,131786,TE,MIN,3,100.0,0,18,0,5,1,1,0,5,5.0
Nick Chubb,45783,HB,HST,1,100.0,0,13,0,4,1,1,0,4,4.0
Trey Benson,131705,HB,ARZ,1,100.0,0,1,0,20,1,1,0,20,20.0
Eric Saubert,11929,TE,SEA,2,100.0,0,29,0,9,1,1,0,9,9.0
Luke Floriea,130491,WR,CLV,1,100.0,1,8,0,30,1,1,0,30,30.0
Jaxon Smith-Njigba,129758,WR,SEA,1,100.0,1,29,0,7,1,1,0,7,7.0
Mike Strachan,143358,WR,WAS,1,0.0,0,32,0,0,0,1,0,0,
AJ Barner,129433,TE,SEA,1,100.0,0,29,0,5,1,1,0,5,5.0
Tip Reiman,129423,TE,ARZ,1,100.0,0,1,0,7,1,1,0,7,7.0
Jabari Small,124298,HB,DET,2,100.0,0,11,0,6,1,1,0,6,6.0
Kayshon Boutte,124087,WR,NE,2,100.0,0,19,0,8,1,1,0,8,8.0
Darnell Washington,124044,TE,PIT,3,100.0,1,25,0,19,1,1,1,19,19.0
Kendall Milton,124031,HB,CIN,2,0.0,0,7,0,0,0,1,0,0,
Ladd McConkey,124030,WR,LAC,1,100.0,1,27,0,17,1,1,0,17,17.0
Jahmal Banks,123373,WR,BLT,3,100.0,1,3,0,6,1,1,0,6,6.0
