player,player_id,position,team_name,player_game_count,attempts,first_downs,franchise_id,fumbles,longest,rec_yards,receptions,targets,total_touches,touchdowns,yards,ypa
Kenneth Walker III,97199,HB,SEA,3,65,17,29,0,30,104,9,11,74,4,313,4.8
Rhamondre Stevenson,98689,HB,NE,4,58,11,19,0,20,126,12,15,70,0,217,3.7
Kyren Williams,97118,HB,LA,3,44,7,26,0,11,70,8,9,52,2,183,4.2
James Cook,83666,HB,BUF,2,39,8,4,1,24,29,4,5,43,0,163,4.2
Woody Marks,124179,HB,HST,2,33,5,13,1,20,19,2,4,35,1,129,3.9
D'Andre Swift,57212,HB,CHI,2,32,4,6,0,13,38,2,2,34,1,130,4.1
TreVeyon Henderson,145059,HB,NE,4,30,1,19,0,15,33,5,6,35,0,76,2.5
Drake Maye,143969,QB,NE,4,29,12,19,7,37,0,0,1,16,1,178,6.1
Blake Corum,129574,HB,LA,3,26,5,26,0,19,37,5,5,31,0,119,4.6
Christian McCaffrey,11763,HB,SF,2,26,2,28,0,10,105,11,14,37,0,83,3.2
Saquon Barkley,45791,HB,PHI,1,26,6,24,0,29,25,3,4,29,0,106,4.1
Josh Allen,46601,QB,BUF,2,23,13,4,3,26,0,0,0,16,2,99,4.3
Kyle Monangai,129891,HB,CHI,2,21,6,6,0,15,58,5,7,26,0,63,3.0
Josh Jacobs,45953,HB,GB,1,19,3,12,0,13,3,1,2,20,0,55,2.9
RJ Harvey,99622,HB,DEN,2,19,2,10,0,12,68,9,11,28,0,57,3.0
Brock Purdy,77672,QB,SF,2,14,5,28,2,18,0,0,0,7,0,61,4.4
Nick Chubb,45783,HB,HST,2,14,3,13,0,9,0,0,1,14,0,62,4.4
Chuba Hubbard,57373,HB,CAR,1,13,4,5,0,8,13,2,3,15,2,46,3.5
Bo Nix,97790,QB,DEN,1,12,4,10,1,11,0,0,0,8,0,29,2.4
Jaylen Warren,98692,HB,PIT,1,12,3,25,0,12,4,1,1,13,0,43,3.6
Kimani Vidal,123727,HB,LAC,1,11,2,27,0,10,20,2,3,13,0,31,2.8
Justin Herbert,28237,QB,LAC,1,10,4,27,2,16,0,0,0,3,0,57,5.7
Travis Etienne Jr.,57185,HB,JAX,1,10,3,15,0,26,49,5,5,15,0,67,6.7
Caleb Williams,144622,QB,CHI,2,9,5,6,1,26,0,0,0,3,0,60,6.7
Jaleel McLaughlin,138346,HB,DEN,2,8,1,10,0,13,2,1,2,9,0,32,4.0
Kenneth Gainwell,77737,HB,PIT,1,6,2,25,0,14,26,4,6,10,0,20,3.3
Jordan James,163295,HB,SF,1,6,1,28,0,7,7,1,1,7,0,28,4.7
Velus Jones Jr.,40573,HB,SEA,1,6,0,29,0,6,0,0,0,6,0,10,1.7
Trevor Lawrence,77632,QB,JAX,1,6,2,15,0,18,0,0,0,4,0,31,5.2
Puka Nacua,100632,WR,LA,3,6,2,26,0,5,332,24,40,30,1,24,4.0
Zach Charbonnet,97630,HB,SEA,1,5,1,29,0,15,0,0,0,5,0,20,4.0
Rico Dowdle,40693,HB,CAR,1,5,0,5,0,8,6,1,2,6,0,9,1.8
Jalen Hurts,40291,QB,PHI,1,5,3,24,0,4,0,0,0,4,0,14,2.8
Sam Darnold,29048,QB,SEA,3,5,2,29,1,14,0,0,0,3,0,14,2.8
Matthew Stafford,4924,QB,LA,3,5,3,26,3,13,0,0,0,3,0,15,3.0
George Holani,72154,HB,SEA,2,5,1,29,0,5,34,4,5,9,0,10,2.0
Bhayshul Tuten,150568,HB,JAX,1,4,3,15,0,20,0,0,0,4,0,51,12.8
Jarrett Stidham,13725,QB,DEN,1,4,0,10,1,8,0,0,0,1,0,23,5.8
Rashid Shaheed,63707,WR,SEA,3,4,1,29,0,30,78,3,10,7,0,22,5.5
Tank Bigsby,123974,HB,PHI,1,4,1,24,0,9,0,0,0,4,0,19,4.8
C.J. Stroud,129759,QB,HST,2,3,1,13,5,10,0,0,0,1,0,11,3.7
Brian Robinson,57120,HB,SF,2,3,0,28,0,2,3,1,1,4,0,4,1.3
Cade Stover,101486,TE,HST,2,3,3,13,0,4,15,3,5,6,0,10,3.3
Bryce Young,123943,QB,CAR,1,3,1,5,0,16,0,0,0,1,1,24,8.0
DJ Moore,48267,WR,CHI,2,2,1,6,0,8,116,11,15,13,0,3,1.5
Parker Washington,129799,WR,JAX,1,2,0,15,0,5,107,7,10,9,0,2,1.0
Luther Burden III,157170,WR,CHI,2,2,0,6,0,0,66,6,12,8,0,-4,-2.0
AJ Barner,129433,TE,SEA,3,1,1,29,1,2,67,6,7,7,0,2,2.0
Tyler Badie,83714,HB,DEN,2,1,1,10,0,4,7,1,2,2,0,4,4.0
Chris Brooks,83644,HB,GB,1,1,1,12,0,16,11,1,1,2,0,16,16.0
Omarion Hampton,162750,HB,LAC,1,1,0,27,0,-1,0,0,0,1,0,-1,-1.0
Jayden Reed,78171,WR,GB,1,1,1,12,0,14,43,4,7,5,0,14,14.0
Cole Kmet,60995,TE,CHI,2,1,0,6,0,1,31,3,5,3,0,1,1.0
Mac Jones,60323,QB,SF,1,1,1,28,0,7,0,0,0,0,0,7,7.0
Dallas Goedert,47272,TE,PHI,1,1,1,24,0,1,33,4,7,5,1,1,1.0
Pat Bryant,144800,WR,DEN,2,1,0,10,0,1,34,4,4,5,0,1,1.0
Jordan Love,40306,QB,GB,1,1,1,12,1,11,0,0,0,0,0,11,11.0
Adam Prentice,35639,FB,DEN,2,1,1,10,0,3,0,0,1,1,0,3,3.0
Emanuel Wilson,154173,HB,GB,1,1,0,12,0,3,0,0,0,1,0,3,3.0
Kyle Juszczyk,7912,FB,SF,2,1,0,28,1,-3,60,5,5,6,0,-3,-3.0
Trevor Etienne,157730,HB,CAR,1,1,0,5,0,4,0,0,0,1,0,4,4.0
LeQuint Allen,158290,HB,JAX,1,1,0,15,0,3,9,1,1,2,0,3,3.0
Jordan Whittington,97623,WR,LA,2,1,0,26,0,0,35,2,2,3,0,0,0.0
Skyy Moore,97116,WR,SF,2,1,0,28,0,3,0,0,1,1,0,3,3.0
