player,player_id,position,team_name,player_game_count,caught_percent,first_downs,franchise_id,fumbles,longest,receptions,targets,touchdowns,yards,yards_per_reception
Casey Washington,101710,WR,ATL,3,25.0,3,2,0,20,5,20,0,58,11.6
Xavier Hutchinson,122518,WR,HST,4,63.2,4,13,0,20,12,19,0,114,9.5
Cody Thompson,48152,WR,TB,3,83.3,7,30,0,21,15,18,1,137,9.1
Jordan Whittington,97623,WR,LA,2,64.7,7,26,0,30,11,17,0,126,11.5
Xavier Smith,102585,WR,LA,3,76.5,6,26,0,22,13,17,0,101,7.8
Malik Heath,124173,WR,GB,3,60.0,6,12,0,14,9,15,1,83,9.2
Isaiah Williams,97156,WR,DET,3,78.6,7,11,0,37,11,14,0,123,11.2
Javon Baker,123904,WR,NE,3,35.7,4,19,0,17,5,14,0,56,11.2
Tejhaun Palmer,145443,WR,ARZ,3,28.6,2,1,0,21,4,14,0,51,12.8
John Metchie III,97400,WR,HST,4,71.4,6,13,0,19,10,14,1,100,10.0
Jamari Thrash,97399,WR,CLV,3,71.4,7,8,1,46,10,14,1,141,14.1
A.T. Perry,77975,WR,NO,3,53.8,5,20,0,58,7,13,0,165,23.6
Kyric McGowan,61544,WR,MIA,3,46.2,3,17,0,14,6,13,1,33,5.5
Kwamie Lassiter II,23226,WR,CIN,3,61.5,4,7,0,15,8,13,0,47,5.9
Mitchell Tinsley,123470,WR,WAS,3,46.2,2,32,0,12,6,13,0,45,7.5
Ronnie Bell,84288,WR,SF,3,38.5,3,28,0,21,5,13,0,51,10.2
Kristian Wilkerson,28729,WR,LV,3,53.8,5,23,0,18,7,13,1,69,9.9
Trent Sherfield,48021,WR,MIN,3,58.3,3,18,0,33,7,12,1,89,12.7
Ryan Miller,78734,WR,TB,3,41.7,3,30,0,24,5,12,1,56,11.2
E.J. Jenkins,109834,TE,PHI,3,75.0,5,24,0,19,9,12,0,66,7.3
Trent Taylor,11932,WR,SF,3,58.3,5,28,1,45,7,12,0,117,16.7
Ryan Flournoy,159617,WR,DAL,3,75.0,5,9,1,11,9,12,2,61,6.8
Brenden Rice,131692,WR,LAC,3,8.3,1,27,0,11,1,12,0,11,11.0
Chris Blair,84096,WR,ATL,3,72.7,6,2,1,41,8,11,0,154,19.3
Andre Baccellia,47901,WR,ARZ,3,63.6,4,1,0,18,7,11,0,85,12.1
Jesse Matthews,84395,WR,ATL,3,63.6,4,2,0,15,7,11,0,57,8.1
Dayton Wade,97181,WR,BLT,3,63.6,5,3,0,56,7,11,1,99,14.1
Michael Woods II,84117,WR,CLV,3,63.6,4,8,0,18,7,11,2,75,10.7
Sam Wiglusz,88315,WR,LA,2,27.3,2,26,0,16,3,11,0,36,12.0
Xavier Weaver,101130,WR,ARZ,3,54.5,5,1,0,43,6,11,0,95,15.8
Ainias Smith,99207,WR,PHI,3,72.7,2,24,0,12,8,11,0,43,5.4
David Martin-Robinson,77892,TE,TEN,3,81.8,6,31,0,21,9,11,0,113,12.6
Jason Brownlee,121451,WR,NYJ,3,45.5,3,22,0,16,5,11,1,47,9.4
Tay Martin,61811,WR,SF,3,72.7,4,28,1,17,8,11,0,86,10.8
Laquon Treadwell,10657,WR,IND,3,90.9,8,14,0,20,10,11,1,121,12.1
Zaire Mitchell-Paden,145197,TE,CLV,3,72.7,4,8,0,30,8,11,0,82,10.3
Ihmir Smith-Marsette,61324,WR,CAR,3,81.8,2,5,0,8,9,11,0,43,4.8
Marcus Rosemy-Jacksaint,124037,WR,WAS,3,63.6,2,32,0,27,7,11,0,77,11.0
Kayshon Boutte,124087,WR,NE,3,54.5,4,19,0,28,6,11,0,76,12.7
