player,player_id,position,team_name,player_game_count,attempts,completion_percent,completions,first_downs,franchise_id,interceptions,qb_rating,sacks,touchdowns,yards,ypa
Caden Veltkamp,156642,QB,FAU,12,512,67.4,345,169,165,17,88.9,22,23,3629,7.1
Sawyer Robertson,146839,QB,BAYLOR,12,505,60.2,304,172,118,12,93.2,21,31,3683,7.3
Nick Minicucci,173617,QB,DELAWARE,12,483,62.9,304,162,151,7,94.1,24,22,3527,7.3
Malik Washington,198729,QB,MARYLAND,12,474,57.6,273,150,215,9,80.2,9,17,2963,6.3
Jaylen Raynor,172203,QB,ARK STATE,12,472,66.5,314,171,113,11,86.2,29,16,3066,6.5
Jaron-Keawe Sagapolutele,198237,QB,CAL,12,456,62.9,287,154,130,9,87.2,29,17,3118,6.8
Darian Mensah,169984,QB,DUKE,12,426,67.1,286,167,154,4,109.6,24,28,3430,8.1
Kevin Jennings,158272,QB,SMU,12,424,66.3,281,150,287,10,101.0,20,26,3370,7.9
Ty Simpson,157008,QB,ALABAMA,13,419,65.6,275,175,103,4,106.9,27,27,3282,7.8
Joe Fagnano,104768,QB,UCONN,12,414,69.1,286,152,146,1,116.0,16,28,3462,8.4
Josh Hoover,127148,QB,TCU,12,413,65.9,272,167,305,13,101.2,19,28,3445,8.3
Katin Houser,158386,QB,E CAROLINA,12,407,65.8,268,156,156,6,100.4,15,19,3323,8.2
Noah Kim,129623,QB,E MICHIGAN,12,403,61.3,247,127,160,11,85.9,11,18,2822,7.0
John Mateer,158516,QB,OKLAHOMA,12,402,61.9,249,141,261,11,83.8,27,14,2884,7.2
Walker Eget,146170,QB,S JOSE ST,11,397,58.2,231,133,285,9,87.4,6,17,3046,7.7
Joey Aguilar,174978,QB,TENNESSEE,12,388,66.5,258,159,307,10,104.4,16,24,3450,8.9
Noah Fifita,158722,QB,ARIZONA,12,386,64.0,247,142,109,5,104.4,25,26,2963,7.7
Drew Mestemaker,190616,QB,N TEXAS,12,384,70.8,272,178,251,4,123.6,14,29,3837,10.0
Micah Alejado,184162,QB,HAWAII,10,384,65.6,252,138,180,9,95.8,23,21,2821,7.3
Owen McCown,157688,QB,UTSA,12,384,67.4,259,134,331,7,103.5,16,27,2706,7.0
Marcel Reed,175940,QB,TEXAS A&M,13,380,61.6,234,166,312,12,96.8,15,25,3156,8.3
Jayden Maiava,158135,QB,USC,12,376,65.7,247,161,326,8,106.4,11,23,3431,9.1
CJ Bailey,183349,QB,NC STATE,12,375,69.1,259,149,248,9,102.1,18,23,2884,7.7
Arch Manning,173162,QB,TEXAS,12,373,60.9,227,138,311,7,99.3,22,24,2942,7.9
Carson Beck,124010,QB,MIAMI FL,13,373,74.3,277,150,220,10,111.5,10,26,3175,8.5
Jake Retzlaff,70874,QB,TULANE,13,371,61.5,228,160,319,7,92.7,9,15,3012,8.1
Athan Kaliakmanis,144971,QB,RUTGERS,12,370,61.9,229,155,278,7,99.0,38,20,3123,8.4
Ben Finley,122864,QB,AKRON,11,366,51.1,187,129,102,9,79.9,30,19,2474,6.8
JC French IV,162521,QB,GA SOUTHRN,12,366,62.6,229,148,174,8,93.8,29,19,2753,7.5
Drake Lindsey,184727,QB,MINNESOTA,12,364,62.6,228,109,225,6,87.6,18,16,2235,6.1
Logan Fife,128176,QB,NEW MEX ST,10,364,56.3,205,113,242,12,71.0,29,11,2240,6.2
Ta'Quan Roberson,101625,QB,BUFFALO,11,362,56.9,206,125,126,12,80.2,24,17,2511,6.9
Trinidad Chambliss,178723,QB,OLE MISS,12,362,66.6,241,164,226,3,109.5,13,19,3295,9.1
Nicholas Vattiato,145302,QB,MIDDLE TN,9,360,60.6,218,112,224,7,84.2,20,16,2155,6.0
Miller Moss,70727,QB,LOUISVILLE,11,359,63.5,228,117,210,7,89.2,20,14,2526,7.0
Chandler Morris,122938,QB,VIRGINIA,12,358,65.9,236,129,335,7,92.0,13,14,2586,7.2
Cade Klubnik,156253,QB,CLEMSON,11,355,66.2,235,132,140,6,97.5,13,16,2753,7.8
Braylon Braxton,144442,QB,SO MISS,11,350,65.7,230,126,296,7,103.8,17,23,2807,8.0
Anthony Colandrea,170131,QB,UNLV,12,350,68.0,238,152,325,8,106.4,21,22,3043,8.7
Alonza Barnett III,156710,QB,JAMES MAD,13,345,59.7,206,119,197,7,97.5,18,22,2718,7.9
Avery Johnson,173108,QB,KANSAS ST,12,344,59.3,204,117,199,6,90.6,10,18,2385,6.9
Brendon Lewis,131687,QB,MEMPHIS,12,343,69.4,238,136,218,6,98.3,29,15,2562,7.5
Byrum Brown,156206,QB,USF,12,342,65.8,225,141,327,7,113.8,15,28,3131,9.2
Preston Stone,124716,QB,NWESTERN,12,341,59.5,203,112,256,12,77.3,16,14,2174,6.4
Ryan Browne,174949,QB,PURDUE,12,341,58.4,199,124,273,10,73.6,16,9,2153,6.3
Rocco Becht,157567,QB,IOWA STATE,12,340,60.3,205,125,193,9,88.7,22,16,2584,7.6
Jacob Clark,101628,QB,MO STATE,11,340,65.0,221,139,230,11,101.6,40,24,2877,8.5
Diego Pavia,156927,QB,VANDERBILT,12,340,71.2,242,182,333,8,117.0,17,27,3180,9.4
Kaden Anderson,127312,QB,WYOMING,12,340,55.6,189,94,351,10,72.0,16,12,1969,5.8
Dante Moore,173983,QB,OREGON,13,339,72.3,245,139,264,8,117.3,13,28,3031,8.9
DJ Lagway,184426,QB,FLORIDA,12,338,63.0,213,108,163,14,81.0,23,16,2265,6.7
Jalen Kitna,146688,QB,UAB,10,336,66.4,223,122,321,10,88.4,18,13,2459,7.3
Brendan Sorsby,156398,QB,CINCINNATI,12,336,61.0,205,142,138,5,107.0,7,26,2782,8.3
Bryson Barnes,131845,QB,UTAH ST,12,335,59.7,200,134,329,4,98.2,35,18,2691,8.0
Luke Altmyer,146802,QB,ILLINOIS,12,332,67.5,224,143,187,5,108.2,30,21,2798,8.4
Brad Jackson,184354,QB,TEXAS ST,12,332,70.8,235,142,314,7,108.4,24,18,3035,9.1
Demond Williams Jr.,183648,QB,WASHINGTON,12,331,69.8,231,157,340,8,107.2,25,21,2850,8.6
Nico Iamaleava,174728,QB,UCLA,11,329,63.8,210,129,324,7,84.2,28,13,1941,5.9
Gunner Stockton,157072,QB,GEORGIA,12,329,70.2,231,140,173,5,106.6,15,20,2535,7.7
Taylen Green,145996,QB,ARKANSAS,12,329,60.2,198,145,111,11,91.9,27,19,2713,8.2
Julian Sayin,183708,QB,OHIO STATE,12,328,78.7,258,153,260,5,129.7,8,30,3065,9.3
Tucker Gleason,122475,QB,TOLEDO,12,325,64.3,209,120,316,9,97.9,9,21,2517,7.7
Haynes King,124329,QB,GA TECH,11,324,71.0,230,123,176,5,101.7,10,12,2686,8.3
Bear Bachmeier,203434,QB,BYU,12,324,64.2,208,124,128,4,98.1,14,14,2586,8.0
Jalon Daniels,122555,QB,KANSAS,12,321,61.7,198,132,198,7,100.1,19,22,2531,7.9
Conner Weigman,158683,QB,HOUSTON,12,319,63.9,204,125,182,9,97.9,19,21,2475,7.8
Baylor Hayes,192135,QB,TULSA,10,319,58.0,185,115,320,6,83.3,24,12,2161,6.8
Kyron Drones,144506,QB,VA TECH,12,317,55.8,177,96,337,9,80.1,25,17,1937,6.1
Tayven Jackson,157615,QB,UCF,11,317,63.1,200,91,323,8,83.1,16,10,2161,6.8
Evan Simon,129906,QB,TEMPLE,12,314,60.5,190,118,306,2,104.3,18,25,2100,6.7
Tommy Castellanos,158433,QB,FLORIDA ST,12,311,58.2,181,132,167,9,91.6,15,15,2765,8.9
Devon Dampier,171556,QB,UTAH,11,305,63.0,192,110,328,5,101.3,8,22,2161,7.1
Cutter Boley,184630,QB,KENTUCKY,11,305,64.9,198,123,202,12,85.9,25,15,2175,7.1
Blake Shapen,122282,QB,MISS STATE,11,303,64.4,195,101,227,8,94.6,35,15,2428,8.0
Jack Layne,158966,QB,NEW MEXICO,12,301,66.1,199,122,241,9,92.3,29,13,2399,8.0
CJ Carr,184093,QB,NOTRE DAME,12,299,65.2,195,137,258,6,113.0,8,24,2741,9.2
Bishop Davenport,163426,QB,S ALABAMA,12,298,67.8,202,102,288,6,92.6,21,12,2075,7.0
Fernando Mendoza,158323,QB,INDIANA,12,296,71.3,211,145,190,5,129.3,15,32,2758,9.3
LaNorris Sellers,174326,QB,S CAROLINA,12,296,59.8,177,106,289,8,89.5,40,13,2433,8.2
Bryce Underwood,198795,QB,MICHIGAN,12,293,61.1,179,120,222,6,86.4,19,9,2229,7.6
Parker Navarro,123758,QB,OHIO,12,293,60.4,177,130,259,10,85.9,19,14,2236,7.6
Colton Joseph,172283,QB,DOMINION,12,291,59.5,173,116,263,10,99.0,17,21,2629,9.0
Robby Ashford,131702,QB,WAKE,11,290,59.0,171,98,339,7,82.6,11,9,2166,7.5
Garrett Nussmeier,146757,QB,LSU,9,288,67.4,194,97,211,5,92.7,15,12,1922,6.7
Dylan Lonergan,172386,QB,BOSTON COL,10,284,66.9,190,101,121,5,94.1,15,12,2015,7.1
Maalik Murphy,157302,QB,OREGON ST,10,280,58.2,163,87,265,8,76.5,12,9,1818,6.5
Mason Heintschel,199088,QB,PITTSBURGH,9,277,63.2,175,108,268,7,93.7,28,15,2089,7.5
Kiael Kelly,145634,QB,BALL ST,12,275,56.7,156,93,117,8,75.0,49,11,1614,5.9
Beau Pribula,164182,QB,MISSOURI,10,271,67.2,182,112,229,9,87.6,25,11,1941,7.2
Behren Morton,144747,QB,TEXAS TECH,10,270,67.0,181,99,315,4,113.9,15,20,2428,9.0
