player,player_id,position,team_name,player_game_count,attempts,first_downs,franchise_id,fumbles,longest,rec_yards,receptions,targets,total_touches,touchdowns,yards,ypa
Chase Brown,77787,HB,ILLINOIS,12,329,79,187,5,49,240,27,30,356,10,1632,5.0
Brad Roberts,125398,HB,AIR FORCE,12,307,86,101,2,71,9,1,1,308,15,1607,5.2
Mohamed Ibrahim,55226,HB,MINNESOTA,11,304,104,225,2,54,50,7,7,311,19,1604,5.3
Carson Steele,145632,HB,BALL ST,12,289,75,117,3,48,166,29,36,318,14,1528,5.3
Marquez Cooper,130489,HB,KENT STATE,12,284,80,201,1,46,94,8,13,292,13,1318,4.6
Khalan Laborn,57204,HB,MARSHALL,12,282,80,214,5,83,122,17,25,299,16,1445,5.1
Bijan Robinson,123126,HB,TEXAS,12,257,79,311,2,78,314,19,29,276,18,1575,6.1
Quinshon Judkins,157128,HB,OLE MISS,12,252,86,226,2,61,116,13,15,265,16,1476,5.9
Blake Corum,129574,HB,MICHIGAN,12,248,96,222,1,61,82,10,11,258,18,1461,5.9
Deuce Vaughn,122624,HB,KANSAS ST,12,244,53,199,1,69,343,41,52,285,7,1300,5.3
Israel Abanikanda,122999,HB,PITTSBURGH,11,241,73,268,3,80,146,12,17,253,20,1426,5.9
Calvin Tyler Jr.,52133,HB,UTAH ST,12,237,53,329,2,31,114,13,16,250,7,1043,4.4
Dewayne McBride,121495,HB,UAB,11,233,83,321,5,68,10,2,4,235,19,1702,7.3
Ray Davis,101072,HB,VANDERBILT,12,233,55,333,1,45,169,29,37,262,5,1044,4.5
Samson Evans,84228,HB,E MICHIGAN,11,223,69,160,2,42,82,15,19,238,14,1094,4.9
Raheim Sanders,146626,HB,ARKANSAS,12,221,67,111,3,76,248,27,31,248,10,1449,6.6
Evan Hull,97302,HB,NWESTERN,12,220,48,256,2,29,536,54,66,274,5,914,4.2
Jordan Mims,57209,HB,FRESNO ST,12,217,62,169,0,82,100,16,22,233,14,1079,5.0
Anthony Grant,77701,HB,NEBRASKA,12,216,47,238,2,46,104,18,21,234,6,909,4.2
Xazavian Valladay,57490,HB,ARIZONA ST,12,215,61,110,1,44,289,37,41,252,16,1192,5.5
Toa Taua,83722,HB,NEVADA,12,214,49,239,0,40,300,42,51,256,11,920,4.3
Eric Gray,99143,HB,OKLAHOMA,12,212,78,261,1,54,238,34,40,246,11,1374,6.5
Sean Tyler,97124,HB,W MICHIGAN,12,210,41,347,5,63,111,12,18,222,7,1022,4.9
Aidan Robbins,98030,HB,UNLV,11,209,47,325,0,66,125,23,28,232,9,1017,4.9
Braelon Allen,145159,HB,WISCONSIN,11,208,46,349,1,96,104,11,16,219,10,1126,5.4
Frank Gore Jr.,121457,HB,SO MISS,12,207,56,296,2,46,219,19,24,225,7,1054,5.1
Titus Swen,97314,HB,WYOMING,12,207,47,351,2,83,108,14,25,221,8,1039,5.0
Sean Tucker,123056,HB,SYRACUSE,12,204,54,304,1,60,262,37,52,241,11,1062,5.2
George Holani,72154,HB,BOISE ST,11,201,57,120,2,59,153,22,25,223,10,1058,5.3
Kendre Miller,123091,HB,TCU,12,199,59,305,1,75,115,14,18,213,16,1260,6.3
La'Damian Webb,122423,HB,S ALABAMA,11,197,64,288,1,69,184,17,21,214,13,1017,5.2
De'Von Achane,124305,HB,TEXAS A&M,10,196,63,312,1,65,196,36,44,232,8,1100,5.6
Zach Charbonnet,97630,HB,UCLA,10,194,76,324,1,49,320,37,44,231,14,1358,7.0
Larry McCammon III,97309,HB,FAU,12,193,43,165,0,58,165,15,19,208,7,1006,5.2
Tyjae Spears,97195,HB,TULANE,12,192,57,319,0,75,234,20,23,212,14,1182,6.2
Kimani Vidal,123727,HB,TROY,12,190,50,318,1,40,122,22,28,212,9,1002,5.3
Richard Reese,158568,HB,BAYLOR,12,189,64,118,0,52,84,12,13,201,14,971,5.1
Dedrick Parson,78572,HB,HAWAII,13,187,52,180,3,37,171,30,36,217,11,830,4.4
Will Shipley,144138,HB,CLEMSON,12,186,63,140,4,53,195,30,32,216,14,1076,5.8
Daba Fofana,144305,FB,NAVY,12,184,38,237,1,50,0,0,0,184,6,760,4.1
Marquis Crosby,145241,HB,LA TECH,12,183,50,208,2,68,65,9,11,192,9,909,5.0
Keaton Mitchell,123826,HB,E CAROLINA,11,179,65,156,0,81,235,25,32,204,13,1325,7.4
Tank Bigsby,123974,HB,AUBURN,12,178,46,115,1,50,180,30,42,208,10,976,5.5
Sieh Bangura,145886,HB,OHIO,10,177,47,259,2,64,179,19,27,196,11,883,5.0
Isaiah Bowser,66123,HB,UCF,12,175,48,323,1,30,157,12,12,187,13,671,3.8
Lew Nichols,97187,HB,C MICHIGAN,9,175,36,134,2,31,128,21,31,196,6,616,3.5
Chris Rodriguez Jr.,83689,HB,KENTUCKY,8,175,45,202,1,72,41,5,7,180,6,904,5.2
Brian Battie,123274,HB,USF,12,174,44,327,3,68,101,14,18,188,8,1201,6.9
Avery Morrow,128240,HB,COLO STATE,12,173,36,144,2,67,62,18,22,191,4,834,4.8
Lincoln Pare,121537,HB,TEXAS ST,12,172,49,314,2,64,237,29,31,201,5,752,4.4
Tucker Gregg,83669,HB,GA STATE,12,171,47,175,0,56,67,6,7,177,12,709,4.1
Devin Neal,144558,HB,KANSAS,12,170,46,198,2,80,160,19,25,189,9,1064,6.3
Jaydn Ott,158325,HB,CAL,12,170,42,130,1,73,321,46,54,216,8,890,5.2
Frank Peasant,121817,HB,MIDDLE TN,12,166,40,224,2,85,268,25,31,191,9,753,4.5
Harrison Waylee,130584,HB,N ILLINOIS,11,163,40,254,1,76,117,17,21,180,5,895,5.5
Ronald Awatt,57461,HB,UTEP,12,163,38,330,1,37,76,6,8,169,2,734,4.5
Devin Mockobee,145111,HB,PURDUE,11,163,49,273,2,68,217,23,32,186,8,840,5.2
Roman Hemby,144891,HB,MARYLAND,12,163,38,215,0,75,293,32,33,195,10,923,5.7
Jalen White,122464,HB,GA SOUTHRN,11,162,48,174,0,71,217,22,29,184,10,923,5.7
Blake Watson,84363,HB,DOMINION,11,159,39,263,1,67,314,37,45,196,5,921,5.8
Percy Agyei-Obese,57255,HB,JAMES MAD,10,159,52,197,3,36,11,2,3,161,8,905,5.7
Damien Martinez,162437,HB,OREGON ST,12,158,53,265,1,50,61,4,9,162,7,970,6.1
Kaytron Allen,164158,HB,PENN STATE,12,156,43,266,1,59,172,17,21,173,9,827,5.3
Cody Schrader,157177,HB,MISSOURI,12,156,35,229,1,63,134,18,27,174,8,685,4.4
Brenden Brady,83795,HB,UTSA,12,154,45,331,1,42,197,19,20,173,9,698,4.5
Ellis Merriweather,128096,HB,UMASS,10,152,29,216,2,36,21,7,13,159,3,611,4.0
Logan Diggs,147475,HB,NOTRE DAME,11,152,37,258,1,51,130,8,9,160,3,732,4.8
Edward Saydee,97300,HB,TEMPLE,12,150,28,306,1,75,267,37,43,187,6,638,4.3
Nicholas Singleton,164188,HB,PENN STATE,12,149,36,266,3,70,85,11,16,160,10,937,6.3
Shadrick Byrd,101661,HB,CHARLOTTE,12,149,31,136,0,18,222,21,26,170,4,633,4.2
Justice Ellison,123383,HB,WAKE,12,149,42,339,1,45,56,5,6,154,5,635,4.3
Dominic Richardson,122985,HB,OKLA STATE,9,149,38,262,3,19,216,21,23,170,8,560,3.8
Jalen Berger,129914,HB,MICH STATE,12,148,33,223,2,50,128,19,25,167,6,678,4.6
Travis Dye,83738,HB,USC,10,146,51,326,1,36,202,21,26,167,9,889,6.1
Montrell Johnson Jr.,147141,HB,FLORIDA,12,145,41,163,1,62,64,11,14,156,10,827,5.7
Bucky Irving,144970,HB,OREGON,12,144,44,264,0,65,298,29,34,173,3,915,6.4
Shaun Shivers,83634,HB,INDIANA,12,144,32,190,0,79,128,22,25,166,6,587,4.1
Jabari Small,124298,HB,TENNESSEE,12,144,45,307,0,52,106,12,15,156,12,696,4.8
Jermaine Brown Jr.,97084,HB,UAB,12,143,35,321,1,54,115,16,19,159,6,825,5.8
Kaleb Johnson,156419,HB,IOWA,12,142,30,192,1,75,27,4,5,146,6,760,5.4
Malik Jackson,84267,HB,LA MONROE,12,142,36,209,1,27,62,16,19,158,6,518,3.6
Audric Estime,147476,HB,NOTRE DAME,12,142,50,258,3,46,127,8,8,150,11,811,5.7
Mike Washington Jr.,145672,HB,BUFFALO,12,142,37,126,3,92,135,22,31,164,7,600,4.2
Tavion Thomas,77732,HB,UTAH,10,142,43,328,2,36,43,6,7,148,7,676,4.8
Kairee Robinson,101299,HB,S JOSE ST,11,142,46,285,1,38,127,23,26,165,10,700,4.9
Trey Benson,131705,HB,FLORIDA ST,12,141,44,167,0,45,109,11,14,152,9,969,6.9
Charles McClelland,77733,HB,CINCINNATI,12,140,33,138,1,76,117,13,20,153,7,834,6.0
Jayden Daniels,97993,QB,LSU,12,140,57,211,4,31,0,0,0,74,11,1003,7.2
Deion Hankins,97310,HB,UTEP,12,139,35,330,0,72,42,4,6,143,3,704,5.1
Tyhier Tyler,82083,QB,ARMY,11,139,50,114,3,36,17,2,3,136,12,684,4.9
Ron Cook Jr.,97070,HB,BUFFALO,10,138,36,126,0,49,207,16,21,154,4,602,4.4
Devin Grainger,78496,QB,GA STATE,12,136,44,175,11,60,0,0,0,89,6,889,6.5
Jahmyr Gibbs,122474,HB,ALABAMA,11,136,33,103,0,76,378,42,50,178,7,850,6.3
Zach Evans,123072,HB,OLE MISS,11,136,50,226,3,48,93,8,13,144,8,893,6.6
Drake Maye,143969,QB,N CAROLINA,12,135,48,245,5,42,0,0,1,66,6,801,5.9
Tony Mathis Jr.,99481,HB,W VIRGINIA,10,135,37,343,1,37,19,7,9,142,5,562,4.2
Jaylen Wright,146934,HB,TENNESSEE,12,135,46,307,4,83,8,2,2,137,10,789,5.8
Tahj Brooks,123133,HB,TEXAS TECH,12,134,36,315,1,31,164,26,28,160,7,605,4.5
Jawhar Jordan,99595,HB,LOUISVILLE,12,133,29,210,1,44,74,8,9,141,2,700,5.3
Robby Ashford,131702,QB,AUBURN,12,133,43,115,12,49,0,0,0,82,7,849,6.4
Pat Garwo III,97120,HB,BOSTON COL,12,132,24,121,2,30,238,28,40,160,3,404,3.1
Haaziq Daniels,125263,QB,AIR FORCE,12,131,44,101,7,65,0,0,0,125,7,620,4.7
SaRodorick Thompson,77777,HB,TEXAS TECH,12,131,46,315,2,36,125,22,24,153,6,666,5.1
Henry Parrish Jr.,124144,HB,MIAMI FL,10,131,40,220,0,24,120,17,24,148,4,617,4.7
Jaison Patterson,145654,HB,BOWL GREEN,12,130,25,122,3,36,31,7,7,137,1,552,4.2
CJ Beasley,122317,HB,COAST CAR,11,130,28,141,1,56,159,17,20,147,4,672,5.2
Noah Whittington,123472,HB,OREGON,12,129,50,264,0,55,132,17,18,146,5,750,5.8
DJ Uiagalelei,122162,QB,CLEMSON,12,129,42,140,8,40,6,1,1,112,7,664,5.1
Nakia Watson,83807,HB,WASH STATE,10,129,40,341,2,65,290,29,32,158,8,733,5.7
Christian Turner,83703,HB,WAKE,12,128,30,339,0,35,39,5,7,133,7,516,4.0
Marcus Carroll,123849,HB,GA STATE,12,127,37,175,3,44,29,5,7,132,6,619,4.9
Jordan Houston,99592,HB,NC STATE,11,127,28,248,1,16,210,24,36,151,0,530,4.2
Deneric Prince,83774,HB,TULSA,8,127,34,320,2,84,84,9,11,136,5,734,5.8
DK Billingsley,57432,HB,TROY,12,125,35,318,0,44,20,4,4,129,5,601,4.8
Miyan Williams,62608,HB,OHIO STATE,10,125,47,260,0,70,27,5,7,130,13,817,6.5
Victor Rosa,158629,HB,UCONN,11,124,26,146,3,61,15,5,7,129,9,568,4.6
Wayne Taulapapa,91020,HB,WASHINGTON,12,124,39,340,2,57,208,21,31,145,10,776,6.3
Kenny McIntosh,99158,HB,GEORGIA,12,124,42,173,1,45,442,34,39,158,8,649,5.2
KJ Jefferson,99129,QB,ARKANSAS,10,124,49,111,7,26,0,0,0,97,7,647,5.2
John Rhys Plumlee,97602,QB,UCF,11,122,51,323,7,67,0,0,1,99,11,904,7.4
Ashton Jeanty,157196,HB,BOISE ST,12,121,30,120,1,32,154,13,14,134,6,611,5.0
Casey Filkins,131759,HB,STANFORD,7,120,32,300,4,23,205,17,27,137,4,474,4.0
Jordan Waters,97754,HB,DUKE,12,119,40,154,1,42,106,16,18,135,8,553,4.6
Tyler Lavine,97307,HB,SMU,12,119,49,287,1,28,97,12,14,131,9,551,4.6
