player,player_id,position,team_name,player_game_count,attempts,completion_percent,completions,first_downs,franchise_id,interceptions,qb_rating,sacks,touchdowns,yards,ypa
Mac Jones,60323,QB,ALABAMA,3,119,79.0,94,63,103,1,143.7,4,14,1179,9.9
Nick Starkel,40326,QB,S JOSE ST,2,95,60.0,57,31,285,3,84.6,3,4,721,7.6
Justin Fields,82118,QB,OHIO STATE,3,88,58.0,51,39,260,3,95.5,6,7,693,7.9
Trevor Lawrence,77632,QB,CLEMSON,2,86,67.4,58,30,140,2,99.1,4,4,722,8.4
Zach Smith,25631,QB,TULSA,2,76,51.3,39,28,320,4,59.8,8,2,512,6.7
Peyton Ramsey,40186,QB,NWESTERN,2,72,66.7,48,28,256,2,89.8,4,3,515,7.2
Ian Book,40216,QB,NOTRE DAME,2,70,67.1,47,27,258,1,78.8,9,0,448,6.4
Kyle Vantrease,55029,QB,BUFFALO,2,69,65.2,45,21,126,2,79.7,1,1,505,7.3
Brock Purdy,77672,QB,IOWA STATE,2,69,68.1,47,30,193,3,79.3,4,2,478,6.9
Kyle Trask,39987,QB,FLORIDA,2,68,61.8,42,26,163,3,84.6,6,3,566,8.3
Desmond Ridder,55086,QB,CINCINNATI,2,66,65.2,43,20,138,0,101.1,11,3,469,7.1
Spencer Rattler,97408,QB,OKLAHOMA,2,57,63.2,36,26,261,0,116.0,4,4,519,9.1
Kedon Slovis,100580,QB,USC,1,52,53.8,28,18,326,3,61.4,3,2,320,6.2
Drew Plitt,39879,QB,BALL ST,2,51,62.7,32,25,117,1,111.0,7,4,473,9.3
Grant Wells,97784,QB,MARSHALL,2,45,46.7,21,13,214,0,79.1,4,2,252,5.6
Jack Tuttle,83580,QB,INDIANA,1,45,57.8,26,10,190,1,59.2,2,0,197,4.4
Dillon Gabriel,86272,QB,UCF,1,45,46.7,21,14,323,0,75.9,0,2,217,4.8
Matt Corral,83517,QB,OLE MISS,1,44,68.2,30,19,226,0,106.4,2,2,342,7.8
Bo Nix,97790,QB,AUBURN,1,42,59.5,25,12,115,0,88.5,1,1,291,6.9
Hank Bachmeier,101284,QB,BOISE ST,1,42,47.6,20,11,120,0,63.7,3,0,221,5.3
Spencer Sanders,77660,QB,OKLA STATE,1,40,67.5,27,18,262,0,123.4,2,4,305,7.6
Bailey Hockman,60383,QB,NC STATE,1,40,67.5,27,14,248,3,63.3,3,1,268,6.7
Clayton Tune,77652,QB,HOUSTON,1,38,52.6,20,12,182,3,54.3,4,2,216,5.7
JT Daniels,83578,QB,GEORGIA,1,38,68.4,26,13,173,1,99.9,3,1,392,10.3
Sam Hartman,77618,QB,WAKE,1,37,54.1,20,17,339,4,70.4,0,3,318,8.6
Jason Bean,83529,QB,N TEXAS,1,36,58.3,21,13,251,1,86.7,3,2,251,7.0
N'Kosi Perry,60446,QB,MIAMI FL,1,34,55.9,19,12,220,0,96.2,1,2,228,6.7
Brady White,25506,QB,MEMPHIS,1,34,64.7,22,14,218,1,107.6,0,3,281,8.3
