player,player_id,position,team_name,player_game_count,assists,forced_fumbles,franchise_id,hits,interceptions,pass_break_ups,sacks,tackles
Damon Arnette,28080,CB,HST,3,1,0,13,0,1,0,0,1
Malik Harrison,28081,LB,PIT,3,2,0,25,0,0,0,0,7
Jerome Baker,28091,LB,CLV,3,0,0,8,0,0,0,0,5
Neville Gallimore,28094,DI,IND,3,0,0,14,2,0,0,0,2
Tremon Smith,28196,CB,HST,3,1,0,13,0,0,0,0,4
Troy Dye,28251,LB,LAC,3,2,0,27,0,0,1,0,2
Brenden Schooler,28253,S,NE,1,0,0,19,0,0,0,0,0
Myles Adams,28430,DI,DET,4,1,0,11,0,0,0,0,6
DeShon Elliott,28854,S,PIT,1,1,0,25,0,0,0,0,0
Jack Jones,29050,CB,MIA,3,0,0,17,0,0,0,0,4
Darius Harris,29188,LB,DAL,3,5,0,9,1,0,1,1,10
Germaine Pratt,29407,LB,LV,3,0,0,23,0,0,0,0,1
Chris Board,29456,LB,NYG,3,1,0,21,0,0,0,0,4
Logan Wilson,29623,LB,CIN,2,0,0,7,0,0,0,0,0
T.J. Edwards,30737,LB,CHI,2,0,0,6,0,0,0,0,2
Khalen Saunders,31534,DI,JAX,2,0,0,15,0,0,0,0,1
Dane Jackson,32989,CB,BUF,3,2,0,4,0,0,2,0,9
Cam Gill,33560,ED,MIN,2,1,0,18,1,0,0,0,6
Robert Rochell,33693,CB,DAL,2,1,0,9,0,1,1,0,7
Eric Johnson,33698,DI,IND,3,7,0,14,0,0,0,0,6
Kendall Sheffield,34105,CB,MIA,2,1,0,17,0,0,0,0,2
Darnell Savage,34247,S,JAX,2,1,0,15,0,0,1,0,5
Zayne Anderson,34622,S,GB,1,0,0,12,0,0,0,0,0
Akeem Davis-Gaither,34788,LB,ARZ,2,2,0,1,0,0,0,0,1
Jamel Dean,34918,CB,TB,1,0,0,30,0,0,0,0,1
Trevis Gipson,35241,ED,SF,2,1,0,28,1,0,0,1,2
Kenny Willekes,35624,ED,PIT,1,0,0,25,0,0,0,0,0
