event_id,league,season,date,name,away,home,away_score,home_score,completed,status
401282714,CFB,2021,2021-08-28T17:20Z,Nebraska Cornhuskers at Illinois Fighting Illini,Nebraska Cornhuskers,Illinois Fighting Illini,22,30,True,Final
401286187,CFB,2021,2021-08-28T18:00Z,UConn Huskies at Fresno State Bulldogs,UConn Huskies,Fresno State Bulldogs,0,45,True,Final
401309833,CFB,2021,2021-08-28T19:30Z,Hawai'i Rainbow Warriors at UCLA Bruins,Hawai'i Rainbow Warriors,UCLA Bruins,10,44,True,Final
401282049,CFB,2021,2021-08-29T01:30Z,UTEP Miners at New Mexico State Aggies,UTEP Miners,New Mexico State Aggies,30,3,True,Final
401310693,CFB,2021,2021-08-29T02:00Z,Southern Utah Thunderbirds at San José State Spartans,Southern Utah Thunderbirds,San José State Spartans,14,45,True,Final
401282050,CFB,2021,2021-09-01T23:30Z,UAB Blazers at Jacksonville State Gamecocks,UAB Blazers,Jacksonville State Gamecocks,31,0,True,Final
401300995,CFB,2021,2021-09-02T23:00Z,Boise State Broncos at UCF Knights,Boise State Broncos,UCF Knights,31,36,True,Final
401309540,CFB,2021,2021-09-02T23:00Z,Western Illinois Leathernecks at Ball State Cardinals,Western Illinois Leathernecks,Ball State Cardinals,21,31,True,Final
401309542,CFB,2021,2021-09-02T23:00Z,Wagner Seahawks at Buffalo Bulls,Wagner Seahawks,Buffalo Bulls,7,69,True,Final
401328175,CFB,2021,2021-09-02T23:00Z,Delaware Blue Hens at Maine Black Bears,Delaware Blue Hens,Maine Black Bears,34,24,True,Final
401328545,CFB,2021,2021-09-02T23:00Z,The Citadel Bulldogs at Coastal Carolina Chanticleers,The Citadel Bulldogs,Coastal Carolina Chanticleers,14,52,True,Final
401282607,CFB,2021,2021-09-02T23:30Z,South Florida Bulls at NC State Wolfpack,South Florida Bulls,NC State Wolfpack,0,45,True,Final
401300993,CFB,2021,2021-09-02T23:30Z,East Carolina Pirates at Appalachian State Mountaineers,East Carolina Pirates,Appalachian State Mountaineers,19,33,True,Final
401300994,CFB,2021,2021-09-02T23:30Z,UC Davis Aggies at Tulsa Golden Hurricane,UC Davis Aggies,Tulsa Golden Hurricane,19,17,True,Final
401309834,CFB,2021,2021-09-02T23:30Z,Weber State Wildcats at Utah Utes,Weber State Wildcats,Utah Utes,17,40,True,Final
401281952,CFB,2021,2021-09-03T00:00Z,Bowling Green Falcons at Tennessee Volunteers,Bowling Green Falcons,Tennessee Volunteers,6,38,True,Final
401282180,CFB,2021,2021-09-03T00:00Z,UT Martin Skyhawks at Western Kentucky Hilltoppers,UT Martin Skyhawks,Western Kentucky Hilltoppers,21,59,True,Final
401282789,CFB,2021,2021-09-03T00:00Z,Ohio State Buckeyes at Minnesota Golden Gophers,Ohio State Buckeyes,Minnesota Golden Gophers,45,31,True,Final
401310696,CFB,2021,2021-09-03T00:00Z,Houston Baptist Huskies at New Mexico Lobos,Houston Baptist Huskies,New Mexico Lobos,17,27,True,Final
401328138,CFB,2021,2021-09-03T00:00Z,Reinhardt Eagles at Kennesaw State Owls,Reinhardt Eagles,Kennesaw State Owls,25,35,True,Final
401282051,CFB,2021,2021-09-03T00:05Z,Long Island University Sharks at Florida International Panthers,Long Island University Sharks,Florida International Panthers,10,48,True,Final
401328011,CFB,2021,2021-09-03T01:00Z,Sam Houston Bearkats at Northern Arizona Lumberjacks,Sam Houston Bearkats,Northern Arizona Lumberjacks,42,16,True,Final
401310694,CFB,2021,2021-09-03T02:00Z,Eastern Washington Eagles at UNLV Rebels,Eastern Washington Eagles,UNLV Rebels,35,33,True,Final
401309835,CFB,2021,2021-09-03T02:30Z,Southern Utah Thunderbirds at Arizona State Sun Devils,Southern Utah Thunderbirds,Arizona State Sun Devils,14,41,True,Final
401309937,CFB,2021,2021-09-03T22:00Z,North Carolina Tar Heels at Virginia Tech Hokies,North Carolina Tar Heels,Virginia Tech Hokies,10,17,True,Final
401282052,CFB,2021,2021-09-03T23:00Z,Duke Blue Devils at Charlotte 49ers,Duke Blue Devils,Charlotte 49ers,28,31,True,Final
401282608,CFB,2021,2021-09-03T23:00Z,Old Dominion Monarchs at Wake Forest Demon Deacons,Old Dominion Monarchs,Wake Forest Demon Deacons,10,42,True,Final
401309541,CFB,2021,2021-09-03T23:00Z,St. Francis (PA) Red Flash at Eastern Michigan Eagles,St. Francis (PA) Red Flash,Eastern Michigan Eagles,15,35,True,Final
401287888,CFB,2021,2021-09-04T00:00Z,South Dakota Coyotes at Kansas Jayhawks,South Dakota Coyotes,Kansas Jayhawks,14,17,True,Final
401282782,CFB,2021,2021-09-04T01:00Z,Michigan State Spartans at Northwestern Wildcats,Michigan State Spartans,Northwestern Wildcats,38,21,True,Final
401309836,CFB,2021,2021-09-04T01:00Z,Northern Colorado Bears at Colorado Buffaloes,Northern Colorado Bears,Colorado Buffaloes,7,35,True,Final
401310695,CFB,2021,2021-09-04T01:00Z,South Dakota State Jackrabbits at Colorado State Rams,South Dakota State Jackrabbits,Colorado State Rams,42,23,True,Final
401281947,CFB,2021,2021-09-04T16:00Z,UL Monroe Warhawks at Kentucky Wildcats,UL Monroe Warhawks,Kentucky Wildcats,10,45,True,Final
401282609,CFB,2021,2021-09-04T16:00Z,Colgate Raiders at Boston College Eagles,Colgate Raiders,Boston College Eagles,0,51,True,Final
401282772,CFB,2021,2021-09-04T16:00Z,Western Michigan Broncos at Michigan Wolverines,Western Michigan Broncos,Michigan Wolverines,14,47,True,Final
401282815,CFB,2021,2021-09-04T16:00Z,Penn State Nittany Lions at Wisconsin Badgers,Penn State Nittany Lions,Wisconsin Badgers,16,10,True,Final
401282822,CFB,2021,2021-09-04T16:00Z,Temple Owls at Rutgers Scarlet Knights,Temple Owls,Rutgers Scarlet Knights,14,61,True,Final
401286188,CFB,2021,2021-09-04T16:00Z,Holy Cross Crusaders at UConn Huskies,Holy Cross Crusaders,UConn Huskies,38,28,True,Final
401287889,CFB,2021,2021-09-04T16:00Z,Stanford Cardinal at Kansas State Wildcats,Stanford Cardinal,Kansas State Wildcats,7,24,True,Final
401287894,CFB,2021,2021-09-04T16:00Z,Tulane Green Wave at Oklahoma Sooners,Tulane Green Wave,Oklahoma Sooners,35,40,True,Final
401309601,CFB,2021,2021-09-04T16:00Z,Army Black Knights at Georgia State Panthers,Army Black Knights,Georgia State Panthers,43,10,True,Final
401327913,CFB,2021,2021-09-04T16:00Z,Fordham Rams at Nebraska Cornhuskers,Fordham Rams,Nebraska Cornhuskers,7,52,True,Final
401281943,CFB,2021,2021-09-04T18:00Z,Rice Owls at Arkansas Razorbacks,Rice Owls,Arkansas Razorbacks,17,38,True,Final
401309838,CFB,2021,2021-09-04T18:00Z,Fresno State Bulldogs at Oregon Ducks,Fresno State Bulldogs,Oregon Ducks,24,31,True,Final
401310861,CFB,2021,2021-09-04T18:00Z,Lafayette Leopards at Air Force Falcons,Lafayette Leopards,Air Force Falcons,14,35,True,Final
401281942,CFB,2021,2021-09-04T19:30Z,Alabama Crimson Tide at Miami Hurricanes,Alabama Crimson Tide,Miami Hurricanes,44,13,True,Final
401282174,CFB,2021,2021-09-04T19:30Z,Marshall Thundering Herd at Navy Midshipmen,Marshall Thundering Herd,Navy Midshipmen,49,7,True,Final
401282723,CFB,2021,2021-09-04T19:30Z,Indiana Hoosiers at Iowa Hawkeyes,Indiana Hoosiers,Iowa Hawkeyes,6,34,True,Final
401282764,CFB,2021,2021-09-04T19:30Z,West Virginia Mountaineers at Maryland Terrapins,West Virginia Mountaineers,Maryland Terrapins,24,30,True,Final
401300996,CFB,2021,2021-09-04T19:30Z,Miami (OH) RedHawks at Cincinnati Bearcats,Miami (OH) RedHawks,Cincinnati Bearcats,14,49,True,Final
401328159,CFB,2021,2021-09-04T19:30Z,Albany Great Danes at North Dakota State Bison,Albany Great Danes,North Dakota State Bison,6,28,True,Final
401281949,CFB,2021,2021-09-04T20:00Z,Louisiana Tech Bulldogs at Mississippi State Bulldogs,Louisiana Tech Bulldogs,Mississippi State Bulldogs,34,35,True,Final
401281950,CFB,2021,2021-09-04T20:00Z,Central Michigan Chippewas at Missouri Tigers,Central Michigan Chippewas,Missouri Tigers,24,34,True,Final
401282612,CFB,2021,2021-09-04T20:00Z,Massachusetts Minutemen at Pittsburgh Panthers,Massachusetts Minutemen,Pittsburgh Panthers,7,51,True,Final
401310697,CFB,2021,2021-09-04T20:00Z,Montana State Bobcats at Wyoming Cowboys,Montana State Bobcats,Wyoming Cowboys,16,19,True,Final
