team,season,role,name,source
ATL,2020,oc,Dirk Koetter,pfr-derived (jchernak96/NFL_Coordinator_Data)
ATL,2020,dc,"Raheem Morris, Jeff Ulbrich",pfr-derived (jchernak96/NFL_Coordinator_Data)
ATL,2021,oc,Dave Ragone,pfr-derived (jchernak96/NFL_Coordinator_Data)
ATL,2021,dc,Dean Pees,pfr-derived (jchernak96/NFL_Coordinator_Data)
BAL,2006,oc,Jim Fassel,pfr-derived (jchernak96/NFL_Coordinator_Data)
BAL,2006,dc,Rex Ryan,pfr-derived (jchernak96/NFL_Coordinator_Data)
BAL,2007,oc,Rick Neuheisel,pfr-derived (jchernak96/NFL_Coordinator_Data)
BAL,2007,dc,Rex Ryan,pfr-derived (jchernak96/NFL_Coordinator_Data)
BAL,2008,oc,Cam Cameron,pfr-derived (jchernak96/NFL_Coordinator_Data)
BAL,2008,dc,Rex Ryan,pfr-derived (jchernak96/NFL_Coordinator_Data)
BAL,2009,oc,Cam Cameron,pfr-derived (jchernak96/NFL_Coordinator_Data)
BAL,2009,dc,Greg Mattison,pfr-derived (jchernak96/NFL_Coordinator_Data)
BAL,2010,oc,Cam Cameron,pfr-derived (jchernak96/NFL_Coordinator_Data)
BAL,2010,dc,Greg Mattison,pfr-derived (jchernak96/NFL_Coordinator_Data)
BAL,2011,oc,Cam Cameron,pfr-derived (jchernak96/NFL_Coordinator_Data)
BAL,2011,dc,Chuck Pagano,pfr-derived (jchernak96/NFL_Coordinator_Data)
BAL,2012,oc,"Jim Caldwell, Cam Cameron",pfr-derived (jchernak96/NFL_Coordinator_Data)
BAL,2012,dc,Dean Pees,pfr-derived (jchernak96/NFL_Coordinator_Data)
BAL,2013,oc,Jim Caldwell,pfr-derived (jchernak96/NFL_Coordinator_Data)
BAL,2013,dc,Dean Pees,pfr-derived (jchernak96/NFL_Coordinator_Data)
BAL,2014,oc,Gary Kubiak,pfr-derived (jchernak96/NFL_Coordinator_Data)
BAL,2014,dc,Dean Pees,pfr-derived (jchernak96/NFL_Coordinator_Data)
BAL,2015,oc,Marc Trestman,pfr-derived (jchernak96/NFL_Coordinator_Data)
BAL,2015,dc,Dean Pees,pfr-derived (jchernak96/NFL_Coordinator_Data)
BAL,2016,oc,"Marty Mornhinweg, Marc Trestman",pfr-derived (jchernak96/NFL_Coordinator_Data)
BAL,2016,dc,Dean Pees,pfr-derived (jchernak96/NFL_Coordinator_Data)
BAL,2017,oc,Marty Mornhinweg,pfr-derived (jchernak96/NFL_Coordinator_Data)
BAL,2017,dc,Dean Pees,pfr-derived (jchernak96/NFL_Coordinator_Data)
BAL,2018,oc,Marty Mornhinweg,pfr-derived (jchernak96/NFL_Coordinator_Data)
BAL,2018,dc,Don Martindale,pfr-derived (jchernak96/NFL_Coordinator_Data)
BAL,2019,oc,Greg Roman,pfr-derived (jchernak96/NFL_Coordinator_Data)
BAL,2019,dc,Don Martindale,pfr-derived (jchernak96/NFL_Coordinator_Data)
BAL,2020,oc,Greg Roman,pfr-derived (jchernak96/NFL_Coordinator_Data)
BAL,2020,dc,Don Martindale,pfr-derived (jchernak96/NFL_Coordinator_Data)
BAL,2021,oc,Greg Roman,pfr-derived (jchernak96/NFL_Coordinator_Data)
BAL,2021,dc,Don Martindale,pfr-derived (jchernak96/NFL_Coordinator_Data)
BUF,2006,oc,Steve Fairchild,pfr-derived (jchernak96/NFL_Coordinator_Data)
BUF,2006,dc,Perry Fewell,pfr-derived (jchernak96/NFL_Coordinator_Data)
BUF,2007,oc,Steve Fairchild,pfr-derived (jchernak96/NFL_Coordinator_Data)
BUF,2007,dc,Perry Fewell,pfr-derived (jchernak96/NFL_Coordinator_Data)
BUF,2008,oc,Turk Schonert,pfr-derived (jchernak96/NFL_Coordinator_Data)
BUF,2008,dc,Perry Fewell,pfr-derived (jchernak96/NFL_Coordinator_Data)
BUF,2009,oc,Alex Van Pelt,pfr-derived (jchernak96/NFL_Coordinator_Data)
BUF,2009,dc,Perry Fewell,pfr-derived (jchernak96/NFL_Coordinator_Data)
BUF,2010,oc,Curtis Modkins,pfr-derived (jchernak96/NFL_Coordinator_Data)
BUF,2010,dc,George Edwards,pfr-derived (jchernak96/NFL_Coordinator_Data)
BUF,2011,oc,Curtis Modkins,pfr-derived (jchernak96/NFL_Coordinator_Data)
BUF,2011,dc,George Edwards,pfr-derived (jchernak96/NFL_Coordinator_Data)
BUF,2012,oc,Curtis Modkins,pfr-derived (jchernak96/NFL_Coordinator_Data)
BUF,2012,dc,Dave Wannstedt,pfr-derived (jchernak96/NFL_Coordinator_Data)
BUF,2013,oc,Nathaniel Hackett,pfr-derived (jchernak96/NFL_Coordinator_Data)
BUF,2013,dc,Mike Pettine,pfr-derived (jchernak96/NFL_Coordinator_Data)
BUF,2014,oc,Nathaniel Hackett,pfr-derived (jchernak96/NFL_Coordinator_Data)
