event_id,league,season,date,team,opponent,home_away,points_allowed,pass_yds_allowed,rush_yds_allowed,total_yds_allowed,interceptions_forced,fumbles_forced,turnovers_forced
401426532,CFB,2022,2022-08-27,Austin Peay Governors,Western Kentucky Hilltoppers,away,38.0,276.0,107.0,383.0,1.0,0,1.0
401426532,CFB,2022,2022-08-27,Western Kentucky Hilltoppers,Austin Peay Governors,home,27.0,156.0,163.0,319.0,2.0,2.0,4.0
401405059,CFB,2022,2022-08-27,Nebraska Cornhuskers,Northwestern Wildcats,away,31.0,314.0,214.0,528.0,0,1.0,1.0
401405059,CFB,2022,2022-08-27,Northwestern Wildcats,Nebraska Cornhuskers,home,28.0,355.0,110.0,465.0,2.0,1.0,3.0
401413213,CFB,2022,2022-08-27,Stephen F. Austin Lumberjacks,Jacksonville State Gamecocks,away,42.0,160.0,283.0,443.0,1.0,1.0,2.0
401413213,CFB,2022,2022-08-27,Jacksonville State Gamecocks,Stephen F. Austin Lumberjacks,home,17.0,135.0,70.0,205.0,1.0,1.0,2.0
401413256,CFB,2022,2022-08-27,Idaho State Bengals,UNLV Rebels,away,52.0,405.0,149.0,554.0,0,0,0
401413256,CFB,2022,2022-08-27,UNLV Rebels,Idaho State Bengals,home,21.0,191.0,50.0,241.0,1.0,0,1.0
401404146,CFB,2022,2022-08-27,UConn Huskies,Utah State Aggies,away,31.0,281.0,261.0,542.0,0,2.0,2.0
401404146,CFB,2022,2022-08-27,Utah State Aggies,UConn Huskies,home,20.0,119.0,245.0,364.0,2.0,1.0,3.0
401405058,CFB,2022,2022-08-27,Wyoming Cowboys,Illinois Fighting Illini,away,38.0,217.0,258.0,475.0,0,0,0
401405058,CFB,2022,2022-08-27,Illinois Fighting Illini,Wyoming Cowboys,home,6.0,30.0,182.0,212.0,1.0,1.0,2.0
401411090,CFB,2022,2022-08-27,Duquesne Dukes,Florida State Seminoles,away,47.0,232.0,406.0,638.0,1.0,0,1.0
401411090,CFB,2022,2022-08-27,Florida State Seminoles,Duquesne Dukes,home,7.0,71.0,93.0,164.0,0,0,0
401426530,CFB,2022,2022-08-27,Charlotte 49ers,Florida Atlantic Owls,away,43.0,264.0,218.0,482.0,0,0,0
401426530,CFB,2022,2022-08-27,Florida Atlantic Owls,Charlotte 49ers,home,13.0,217.0,62.0,279.0,1.0,0,1.0
401411091,CFB,2022,2022-08-28,Florida A&M Rattlers,North Carolina Tar Heels,away,56.0,294.0,314.0,608.0,0,0,0
401411091,CFB,2022,2022-08-28,North Carolina Tar Heels,Florida A&M Rattlers,home,24.0,279.0,56.0,335.0,1.0,1.0,2.0
401409235,CFB,2022,2022-08-28,Nevada Wolf Pack,New Mexico State Aggies,away,12.0,218.0,85.0,303.0,4.0,1.0,5.0
401409235,CFB,2022,2022-08-28,New Mexico State Aggies,Nevada Wolf Pack,home,23.0,78.0,179.0,257.0,0,0,0
401426531,CFB,2022,2022-08-28,North Texas Mean Green,UTEP Miners,away,13.0,293.0,107.0,400.0,0,1.0,1.0
401426531,CFB,2022,2022-08-28,UTEP Miners,North Texas Mean Green,home,31.0,236.0,163.0,399.0,0,1.0,1.0
401403853,CFB,2022,2022-08-28,Vanderbilt Commodores,Hawai'i Rainbow Warriors,away,10.0,250.0,108.0,358.0,0,2.0,2.0
401403853,CFB,2022,2022-08-28,Hawai'i Rainbow Warriors,Vanderbilt Commodores,home,63.0,197.0,404.0,601.0,0,0,0
401416568,CFB,2022,2022-09-01,St. Francis (PA) Red Flash,Akron Zips,away,30.0,286.0,98.0,384.0,0,0,0
401416568,CFB,2022,2022-09-01,Akron Zips,St. Francis (PA) Red Flash,home,23.0,264.0,189.0,453.0,1.0,0,1.0
401403864,CFB,2022,2022-09-01,Ball State Cardinals,Tennessee Volunteers,away,59.0,351.0,218.0,569.0,0,1.0,1.0
401403864,CFB,2022,2022-09-01,Tennessee Volunteers,Ball State Cardinals,home,10.0,269.0,74.0,343.0,2.0,1.0,3.0
401411092,CFB,2022,2022-09-01,West Virginia Mountaineers,Pittsburgh Panthers,away,38.0,308.0,76.0,384.0,0,1.0,1.0
401411092,CFB,2022,2022-09-01,Pittsburgh Panthers,West Virginia Mountaineers,home,31.0,214.0,190.0,404.0,1.0,1.0,2.0
401415610,CFB,2022,2022-09-01,South Carolina State Bulldogs,UCF Knights,away,56.0,308.0,297.0,605.0,0,1.0,1.0
401415610,CFB,2022,2022-09-01,UCF Knights,South Carolina State Bulldogs,home,10.0,56.0,35.0,91.0,1.0,0,1.0
401416569,CFB,2022,2022-09-01,Central Michigan Chippewas,Oklahoma State Cowboys,away,58.0,406.0,125.0,531.0,0,0,0
401416569,CFB,2022,2022-09-01,Oklahoma State Cowboys,Central Michigan Chippewas,home,44.0,424.0,122.0,546.0,1.0,0,1.0
401418645,CFB,2022,2022-09-01,Kennesaw State Owls,Samford Bulldogs,away,27.0,289.0,113.0,402.0,0,2.0,2.0
401418645,CFB,2022,2022-09-01,Samford Bulldogs,Kennesaw State Owls,home,17.0,135.0,193.0,328.0,1.0,0,1.0
401426533,CFB,2022,2022-09-01,Bryant Bulldogs,Florida International Panthers,away,38.0,310.0,67.0,377.0,0,0,0
401426533,CFB,2022,2022-09-01,Florida International Panthers,Bryant Bulldogs,home,37.0,349.0,121.0,470.0,0,1.0,1.0
401441990,CFB,2022,2022-09-01,Long Island University Sharks,Toledo Rockets,away,37.0,211.0,226.0,437.0,1.0,0,1.0
401441990,CFB,2022,2022-09-01,Toledo Rockets,Long Island University Sharks,home,0.0,68.0,45.0,113.0,1.0,0,1.0
401411093,CFB,2022,2022-09-01,VMI Keydets,Wake Forest Demon Deacons,away,44.0,294.0,212.0,506.0,0,0,0
401411093,CFB,2022,2022-09-01,Wake Forest Demon Deacons,VMI Keydets,home,10.0,139.0,83.0,222.0,0,1.0,1.0
401405064,CFB,2022,2022-09-02,Penn State Nittany Lions,Purdue Boilermakers,away,31.0,365.0,61.0,426.0,0,1.0,1.0
401405064,CFB,2022,2022-09-02,Purdue Boilermakers,Penn State Nittany Lions,home,35.0,308.0,98.0,406.0,1.0,0,1.0
401416592,CFB,2022,2022-09-02,Eastern Illinois Panthers,Northern Illinois Huskies,away,34.0,192.0,187.0,379.0,0,0,0
401416592,CFB,2022,2022-09-02,Northern Illinois Huskies,Eastern Illinois Panthers,home,27.0,276.0,165.0,441.0,2.0,0,2.0
401420806,CFB,2022,2022-09-02,Missouri State Bears,Central Arkansas Bears,away,14.0,173.0,168.0,341.0,2.0,0,2.0
401420806,CFB,2022,2022-09-02,Central Arkansas Bears,Missouri State Bears,home,27.0,266.0,90.0,356.0,0,2.0,2.0
401426534,CFB,2022,2022-09-02,Alabama A&M Bulldogs,UAB Blazers,away,59.0,247.0,231.0,478.0,1.0,0,1.0
401426534,CFB,2022,2022-09-02,UAB Blazers,Alabama A&M Bulldogs,home,0.0,137.0,98.0,235.0,3.0,1.0,4.0
401426537,CFB,2022,2022-09-02,Louisiana Tech Bulldogs,Missouri Tigers,away,52.0,235.0,323.0,558.0,1.0,1.0,2.0
401426537,CFB,2022,2022-09-02,Missouri Tigers,Louisiana Tech Bulldogs,home,24.0,336.0,8.0,344.0,3.0,0,3.0
401405060,CFB,2022,2022-09-02,New Mexico State Aggies,Minnesota Golden Gophers,away,38.0,188.0,297.0,485.0,0,0,0
401405060,CFB,2022,2022-09-02,Minnesota Golden Gophers,New Mexico State Aggies,home,0.0,53.0,38.0,91.0,1.0,0,1.0
401403965,CFB,2022,2022-09-02,Northern Arizona Lumberjacks,Arizona State Sun Devils,away,40.0,152.0,267.0,419.0,0,1.0,1.0
401403965,CFB,2022,2022-09-02,Arizona State Sun Devils,Northern Arizona Lumberjacks,home,3.0,97.0,23.0,120.0,2.0,0,2.0
401413224,CFB,2022,2022-09-02,Cal Poly Mustangs,Fresno State Bulldogs,away,35.0,377.0,174.0,551.0,0,0,0
401413224,CFB,2022,2022-09-02,Fresno State Bulldogs,Cal Poly Mustangs,home,7.0,211.0,106.0,317.0,0,0,0
401415213,CFB,2022,2022-09-02,Portland State Vikings,San José State Spartans,away,21.0,239.0,49.0,288.0,0,0,0
401415213,CFB,2022,2022-09-02,San José State Spartans,Portland State Vikings,home,17.0,270.0,125.0,395.0,2.0,1.0,3.0
401416590,CFB,2022,2022-09-02,Eastern Kentucky Colonels,Eastern Michigan Eagles,away,42.0,271.0,124.0,395.0,1.0,1.0,2.0
401416590,CFB,2022,2022-09-02,Eastern Michigan Eagles,Eastern Kentucky Colonels,home,34.0,351.0,141.0,492.0,1.0,1.0,2.0
401416591,CFB,2022,2022-09-02,Western Michigan Broncos,Michigan State Spartans,away,35.0,233.0,197.0,430.0,1.0,1.0,2.0
401416591,CFB,2022,2022-09-02,Michigan State Spartans,Western Michigan Broncos,home,13.0,193.0,141.0,334.0,0,2.0,2.0
401426330,CFB,2022,2022-09-02,Virginia Tech Hokies,Old Dominion Monarchs,away,20.0,165.0,84.0,249.0,0,2.0,2.0
401426330,CFB,2022,2022-09-02,Old Dominion Monarchs,Virginia Tech Hokies,home,17.0,197.0,136.0,333.0,4.0,1.0,5.0
401426535,CFB,2022,2022-09-02,William & Mary Tribe,Charlotte 49ers,away,24.0,248.0,131.0,379.0,0,0,0
401426535,CFB,2022,2022-09-02,Charlotte 49ers,William & Mary Tribe,home,41.0,256.0,303.0,559.0,0,0,0
401411094,CFB,2022,2022-09-02,Temple Owls,Duke Blue Devils,away,30.0,328.0,172.0,500.0,0,0,0
401411094,CFB,2022,2022-09-02,Duke Blue Devils,Temple Owls,home,0.0,114.0,65.0,179.0,0,2.0,2.0
401404052,CFB,2022,2022-09-03,Tennessee Tech Golden Eagles,Kansas Jayhawks,away,56.0,205.0,297.0,502.0,1.0,2.0,3.0
401404052,CFB,2022,2022-09-03,Kansas Jayhawks,Tennessee Tech Golden Eagles,home,10.0,97.0,93.0,190.0,1.0,0,1.0
401405061,CFB,2022,2022-09-03,Illinois Fighting Illini,Indiana Hoosiers,away,23.0,330.0,32.0,362.0,1.0,1.0,2.0
401405061,CFB,2022,2022-09-03,Indiana Hoosiers,Illinois Fighting Illini,home,20.0,232.0,216.0,448.0,1.0,3.0,4.0
401403966,CFB,2022,2022-09-03,TCU Horned Frogs,Colorado Buffaloes,away,13.0,235.0,113.0,348.0,0,0,0
401403966,CFB,2022,2022-09-03,Colorado Buffaloes,TCU Horned Frogs,home,38.0,138.0,275.0,413.0,0,0,0
401403865,CFB,2022,2022-09-03,Sam Houston Bearkats,Texas A&M Aggies,away,31.0,387.0,110.0,497.0,2.0,0,2.0
401403865,CFB,2022,2022-09-03,Texas A&M Aggies,Sam Houston Bearkats,home,0.0,91.0,107.0,198.0,1.0,1.0,2.0
401404147,CFB,2022,2022-09-03,Central Connecticut Blue Devils,UConn Huskies,away,28.0,172.0,274.0,446.0,1.0,2.0,3.0
401404147,CFB,2022,2022-09-03,UConn Huskies,Central Connecticut Blue Devils,home,3.0,164.0,78.0,242.0,1.0,0,1.0
401405062,CFB,2022,2022-09-03,South Dakota State Jackrabbits,Iowa Hawkeyes,away,7.0,109.0,57.0,166.0,1.0,1.0,2.0
401405062,CFB,2022,2022-09-03,Iowa Hawkeyes,South Dakota State Jackrabbits,home,3.0,87.0,33.0,120.0,0,0,0
401405066,CFB,2022,2022-09-03,Buffalo Bulls,Maryland Terrapins,away,31.0,297.0,149.0,446.0,1.0,0,1.0
401405066,CFB,2022,2022-09-03,Maryland Terrapins,Buffalo Bulls,home,10.0,160.0,108.0,268.0,0,0,0
401405067,CFB,2022,2022-09-03,Colorado State Rams,Michigan Wolverines,away,51.0,206.0,234.0,440.0,0,0,0
401405067,CFB,2022,2022-09-03,Michigan Wolverines,Colorado State Rams,home,7.0,137.0,82.0,219.0,1.0,1.0,2.0
401405069,CFB,2022,2022-09-03,Rutgers Scarlet Knights,Boston College Eagles,away,21.0,283.0,29.0,312.0,2.0,1.0,3.0
401405069,CFB,2022,2022-09-03,Boston College Eagles,Rutgers Scarlet Knights,home,22.0,110.0,212.0,322.0,1.0,0,1.0
401411095,CFB,2022,2022-09-03,North Carolina Tar Heels,Appalachian State Mountaineers,away,61.0,361.0,288.0,649.0,1.0,0,1.0
401411095,CFB,2022,2022-09-03,Appalachian State Mountaineers,North Carolina Tar Heels,home,63.0,352.0,215.0,567.0,0,1.0,1.0
401411096,CFB,2022,2022-09-03,NC State Wolfpack,East Carolina Pirates,away,20.0,267.0,116.0,383.0,2.0,0,2.0
401411096,CFB,2022,2022-09-03,East Carolina Pirates,NC State Wolfpack,home,21.0,211.0,133.0,344.0,1.0,1.0,2.0
401415611,CFB,2022,2022-09-03,Delaware Blue Hens,Navy Midshipmen,away,7.0,135.0,184.0,319.0,0,3.0,3.0
