event_id,league,season,date,team,player_id,player_name,pass_cmp,pass_att,pass_yds,pass_td,pass_int,sacks_taken,rush_att,rush_yds,rush_td,rec,rec_yds,rec_td,rec_targets
401282714,CFB,2021,2021-08-28,Nebraska Cornhuskers,4361182,Adrian Martinez,16.0,32.0,232.0,1.0,0.0,,,,,,,,
401282714,CFB,2021,2021-08-28,Nebraska Cornhuskers,4361182,Adrian Martinez,,,,,,,17.0,111.0,1.0,,,,
401282714,CFB,2021,2021-08-28,Nebraska Cornhuskers,4595354,Gabe Ervin Jr.,,,,,,,12.0,33.0,0.0,,,,
401282714,CFB,2021,2021-08-28,Nebraska Cornhuskers,4427609,Rahmir Johnson,,,,,,,4.0,11.0,0.0,,,,
401282714,CFB,2021,2021-08-28,Nebraska Cornhuskers,4374306,Markese Stepp,,,,,,,3.0,10.0,1.0,,,,
401282714,CFB,2021,2021-08-28,Nebraska Cornhuskers,4027873,Samori Toure,,,,,,,2.0,9.0,0.0,,,,
401282714,CFB,2021,2021-08-28,Nebraska Cornhuskers,-6842, Team,,,,,,,1.0,-14.0,0.0,,,,
401282714,CFB,2021,2021-08-28,Nebraska Cornhuskers,4258189,Oliver Martin,,,,,,,,,,6.0,103.0,1.0,
401282714,CFB,2021,2021-08-28,Nebraska Cornhuskers,4027873,Samori Toure,,,,,,,,,,3.0,37.0,0.0,
401282714,CFB,2021,2021-08-28,Nebraska Cornhuskers,4374306,Markese Stepp,,,,,,,,,,1.0,30.0,0.0,
401282714,CFB,2021,2021-08-28,Nebraska Cornhuskers,4241798,Omar Manning,,,,,,,,,,2.0,26.0,0.0,
401282714,CFB,2021,2021-08-28,Nebraska Cornhuskers,4240787,Austin Allen,,,,,,,,,,2.0,23.0,0.0,
401282714,CFB,2021,2021-08-28,Nebraska Cornhuskers,4361181,Wyatt Liewer,,,,,,,,,,2.0,13.0,0.0,
401282714,CFB,2021,2021-08-28,Illinois Fighting Illini,4361530,Artur Sitkowski,12.0,15.0,124.0,2.0,0.0,,,,,,,,
401282714,CFB,2021,2021-08-28,Illinois Fighting Illini,4036262,Brandon Peters,3.0,4.0,35.0,0.0,0.0,,,,,,,,
401282714,CFB,2021,2021-08-28,Illinois Fighting Illini,4240543,Mike Epstein,,,,,,,16.0,75.0,1.0,,,,
401282714,CFB,2021,2021-08-28,Illinois Fighting Illini,4696690,Reggie Love III,,,,,,,12.0,45.0,0.0,,,,
401282714,CFB,2021,2021-08-28,Illinois Fighting Illini,4362238,Chase Brown,,,,,,,5.0,24.0,0.0,,,,
401282714,CFB,2021,2021-08-28,Illinois Fighting Illini,4360370,Jakari Norwood,,,,,,,3.0,16.0,0.0,,,,
401282714,CFB,2021,2021-08-28,Illinois Fighting Illini,4242158,Chase Hayden,,,,,,,4.0,12.0,0.0,,,,
401282714,CFB,2021,2021-08-28,Illinois Fighting Illini,4569371,Isaiah Williams,,,,,,,2.0,8.0,0.0,,,,
401282714,CFB,2021,2021-08-28,Illinois Fighting Illini,4361530,Artur Sitkowski,,,,,,,3.0,4.0,0.0,,,,
401282714,CFB,2021,2021-08-28,Illinois Fighting Illini,-6210, Team,,,,,,,1.0,-2.0,0.0,,,,
401282714,CFB,2021,2021-08-28,Illinois Fighting Illini,4036262,Brandon Peters,,,,,,,2.0,-15.0,0.0,,,,
401282714,CFB,2021,2021-08-28,Illinois Fighting Illini,4696686,Deuce Spann,,,,,,,,,,1.0,45.0,0.0,
401282714,CFB,2021,2021-08-28,Illinois Fighting Illini,4569371,Isaiah Williams,,,,,,,,,,6.0,41.0,1.0,
401282714,CFB,2021,2021-08-28,Illinois Fighting Illini,4379402,Luke Ford,,,,,,,,,,3.0,30.0,1.0,
401282714,CFB,2021,2021-08-28,Illinois Fighting Illini,4249535,Donny Navarro III,,,,,,,,,,1.0,21.0,0.0,
401282714,CFB,2021,2021-08-28,Illinois Fighting Illini,4428796,Casey Washington,,,,,,,,,,2.0,13.0,0.0,
401282714,CFB,2021,2021-08-28,Illinois Fighting Illini,4360370,Jakari Norwood,,,,,,,,,,1.0,7.0,0.0,
401282714,CFB,2021,2021-08-28,Illinois Fighting Illini,4240543,Mike Epstein,,,,,,,,,,1.0,2.0,0.0,
401286187,CFB,2021,2021-08-28,UConn Huskies,4428977,Jack Zergiotis,12.0,24.0,61.0,0.0,0.0,,,,,,,,
401286187,CFB,2021,2021-08-28,UConn Huskies,4362140,Steven Krajewski,2.0,6.0,11.0,0.0,0.0,,,,,,,,
401286187,CFB,2021,2021-08-28,UConn Huskies,4257363,Kevin Mensah,,,,,,,11.0,31.0,0.0,,,,
401286187,CFB,2021,2021-08-28,UConn Huskies,4605841,Nathan Carter,,,,,,,8.0,10.0,0.0,,,,
401286187,CFB,2021,2021-08-28,UConn Huskies,4240636,Robert Burns,,,,,,,3.0,5.0,0.0,,,,
401286187,CFB,2021,2021-08-28,UConn Huskies,4608772,Brian Brewton,,,,,,,1.0,4.0,0.0,,,,
